,Company
0,WIPRO LTD.
1,TECH MAHINDRA LTD.
2,BHARAT PETROLEUM CORPORATION LTD.
3,HDFC Life Insurance Company Ltd
4,INDIAN OIL CORPORATION LTD.
5,LARSEN & TOUBRO LTD.
6,KOTAK MAHINDRA BANK LTD.
7,STATE BANK OF INDIA
8,HOUSING DEVELOPMENT FINANCE CORP.LTD.
9,HDFC Bank Ltd
10,TATA CONSULTANCY SERVICES LTD.
11,Titan Company Limited
12,ICICI BANK LTD.
13,COAL INDIA LTD.
14,ITC LTD.
15,SHREE CEMENT LTD.
