,Company
0,BOSCH LTD.
1,WIPRO LTD.
2,INFOSYS LTD.
3,BHARTI INFRATEL LTD.
4,HCL TECHNOLOGIES LTD.
5,MARUTI SUZUKI INDIA LTD.
6,TATA STEEL LTD.
7,PIDILITE INDUSTRIES LTD.
8,Vedanta Limited
9,JSW STEEL LTD.
10,GODREJ CONSUMER PRODUCTS LTD.
11,BHARAT PETROLEUM CORPORATION LTD.
12,HDFC Life Insurance Company Ltd
13,ASIAN PAINTS LTD.
14,KOTAK MAHINDRA BANK LTD.
15,STATE BANK OF INDIA
16,HOUSING DEVELOPMENT FINANCE CORP.LTD.
17,HINDUSTAN UNILEVER LTD.
18,RELIANCE INDUSTRIES LTD.
19,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.
20,SUN PHARMACEUTICAL INDUSTRIES LTD.
21,AXIS BANK LTD.
22,ICICI BANK LTD.
23,ITC LTD.
24,HINDUSTAN ZINC LTD.
