,Company
0,WIPRO LTD.
1,NTPC LTD.
2,MAHINDRA & MAHINDRA LTD.
3,ASIAN PAINTS LTD.
4,LARSEN & TOUBRO LTD.
5,BRITANNIA INDUSTRIES LTD.
