,Company
0,BOSCH LTD.
1,HERO MOTOCORP LTD.
2,BHARTI AIRTEL LTD.
3,Vedanta Limited
4,BAJAJ AUTO LTD.
5,INDUSIND BANK LTD.
6,ULTRATECH CEMENT LTD.
7,BAJAJ FINSERV LTD.
8,Bajaj Finance Limited
9,STATE BANK OF INDIA
10,ICICI BANK LTD.
