District,count
ADILABAD,3
AGAR,0
AGRA,1
AHMADABAD,0
AHMEDNAGAR,8
AIZAWL,0
AJMER,0
AKOLA,0
ALAPPUZHA,0
ALIGARH,1
ALIPURDUAR,0
ALIRAJPUR,1
ALLAHABAD,0
ALMORA,0
ALWAR,0
AMBALA,1
AMBEDKAR,0
AMETHI,0
AMRAVATI,0
AMRELI,0
AMRITSAR,0
AMROHA,0
ANAND,0
ANANTAPUR,0
ANANTNAG,0
ANDAMAN,0
ANJAW,0
ANUGUL,0
ANUPPUR,0
ARARIA,0
ARIYALUR,1
ARVALLI,0
ARWAL,0
ASHOKNAGAR,0
ASIFABAD,0
AURAIYA,0
AURANGABAD,0
AZAMGARH,0
BADGAM,0
BAGALKOT,1
BAGESHWAR,0
BAGHPAT,0
BAHRAICH,0
BAKSA,0
BALAGHAT,0
BALANGIR,0
BALESHWAR,0
BALLARI,0
BALLIA,0
BALOD,0
BALODA,0
BALRAMPUR,0
BANDA,0
BANDIPORA,0
BANKA,0
BANKURA,0
BANSWARA,0
BARABANKI,0
BARAMULLA,0
BARAN,3
BARDHAMAN,0
BAREILLY,0
BARGARH,0
BARMER,0
BARNALA,0
BARPETA,0
BARWANI,0
BASTAR,0
BASTI,0
BATHINDA,1
BEED,0
BEGUSARAI,0
BELAGAVI,0
BEMETARA,0
BENGALURU,20
BETUL,0
BHABUA,0
BHADOHI,0
BHADRADRI,0
BHADRAK,1
BHAGALPUR,0
BHANDARA,0
BHARATPUR,1
BHARUCH,6
BHAVNAGAR,0
BHILWARA,0
BHIND,0
BHIWANI,0
BHOI,0
BHOJPUR,0
BHOPAL,4
BIDAR,0
BIJAPUR,0
BIJNOR,0
BIKANER,1
BILASPUR,0
BIRBHUM,0
BISHNUPUR,0
BOKARO,1
BONGAIGAON,0
BOTAD,0
BOUDH,0
BUDAUN,0
BUDDHA,0
BULANDSHAHR,0
BULDHANA,0
BUNDI,0
BURHANPUR,0
BUXAR,0
CACHAR,0
CHAMARAJANAGAR,0
CHAMBA,0
CHAMOLI,0
CHAMPA,0
CHAMPARAN,0
CHAMPAWAT,0
CHAMPHAI,0
CHANDAULI,0
CHANDEL,0
CHANDIGARH,4
CHANDRAPUR,0
CHANGLANG,0
CHATRA,0
CHENNAI,62
CHHATARPUR,1
CHHINDWARA,0
CHHOTAUDEPUR,0
CHIKBALLAPUR,0
CHIKKAMAGALURU,0
CHIRANG,0
CHITRADURGA,0
CHITRAKOOT,0
CHITTOOR,0
CHITTORGARH,0
CHURACHANDPUR,0
CHURU,2
COIMBATORE,16
COOCHBEHAR,0
CUDDALORE,0
CUTTACK,4
DAADI,0
DADRA,0
DADRI,0
DAMAN,1
DAMOH,0
DANG,0
DANTEWADA,0
DARBHANGA,0
DARJEELING,0
DARRANG,0
DATIA,0
DAUSA,0
DAVANGERE,0
DEHRADUN,0
DELHI,28
DEOGARH,0
DEOGHAR,1
DEORIA,0
DEVBHUMI,0
DEWAS,0
DHALAI,0
DHAMTARI,0
DHANBAD,0
DHAR,0
DHARMAPURI,1
DHARWAD,0
DHEMAJI,0
DHENKANAL,0
DHOLPUR,0
DHUBRI,0
DHULE,0
DIBANG,0
DIBRUGARH,0
DIMAPUR,0
DINAJPUR,2
DINDIGUL,1
DINDORI,0
DIU,0
DODA,0
DOHAD,0
DUMKA,0
DUNGARPUR,0
DURG,0
ERNAKULAM,1
ERODE,1
ETAH,0
ETAWAH,0
FAIZABAD,0
FARIDABAD,4
FARIDKOT,0
FARRUKHABAD,0
FATEHABAD,0
FATEHGARH SAHIB,0
FATEHPUR,0
FAZILKA,0
FIROZABAD,0
FIROZEPUR,0
GADAG,3
GADCHIROLI,0
GAJAPATI,0
GANDERBAL,0
GANDHINAGAR,1
GANGANAGAR,0
GANJAM,1
GARHWA,0
GARHWAL,0
GARIYABAND,0
GARO,0
GAYA,0
GHAZIABAD,1
GHAZIPUR,0
GIRIDIH,0
GOA,1
GOALPARA,0
GODAVARI,1
GODDA,0
GOLAGHAT,0
GOMATI,0
GONDA,0
GONDIA,0
GOPALGANJ,0
GORAKHPUR,1
GUMLA,0
GUNA,0
GUNTUR,0
GURDASPUR,0
GURUGRAM,0
GWALIOR,0
HAILAKANDI,0
HAMIRPUR,0
HANUMANGARH,0
HAPUR,0
HARDA,0
HARDOI,0
HARIDWAR,0
HASAO,0
HASSAN,9
HATHRAS,0
HAVERI,0
HAZARIBAGH,0
HINGOLI,0
HISAR,0
HOOGHLY,1
HOSHANGABAD,0
HOSHIARPUR,0
HOWRAH,0
HYDERABAD,60
IDUKKI,0
IMPHAL,0
INDORE,3
JABALPUR,0
JAGATSINGHAPUR,0
JAGITIAL,0
JAINTIA,0
JAIPUR,9
JAISALMER,0
JAJAPUR,0
JALANDHAR,0
JALAUN,0
JALGAON,0
JALNA,0
JALORE,0
JALPAIGURI,0
JAMMU,2
JAMNAGAR,0
JAMTARA,0
JAMUI,0
JANGOAN,0
JASHPUR,0
JAUNPUR,0
JAYASHANKAR,0
JEHANABAD,0
JHABUA,0
JHAJJAR,0
JHALAWAR,0
JHANSI,0
JHARSUGUDA,1
JHUNJHUNU,0
JIND,0
JODHPUR,1
JOGULAMBA,0
JORHAT,0
JUNAGADH,0
KABEER,0
KABIRDHAM,0
KACHCHH,0
KADAPA,0
KAITHAL,0
KALABURAGI,0
KALAHANDI,2
KAMAREDDY,0
KAMENG,0
KAMRUP,0
KANCHIPURAM,7
KANDHAMAL,0
KANGRA,0
KANKER,0
KANNAD,0
KANNAUJ,0
KANNIYAKUMARI,0
KANNUR,3
KANPUR,1
KANTHA,1
KAPURTHALA,0
KARAIKAL,0
KARAULI,1
KARBI,0
KARGIL,0
KARIMGANJ,0
KARIMNAGAR,0
KARNAL,0
KARUR,0
KASARAGOD,0
KASGANJ,0
KATHUA,0
KATIHAR,0
KATNI,0
KAUSHAMBI,0
KENDRAPARA,0
KENDUJHAR,0
KHAGARIA,0
KHALILABAD,0
