District,count
ADILABAD,0
AGAR,0
AGRA,1
AHMADABAD,0
AHMEDNAGAR,1
AIZAWL,1
AJMER,1
AKOLA,1
ALAPPUZHA,0
ALIGARH,1
ALIPURDUAR,1
ALIRAJPUR,0
ALLAHABAD,2
ALMORA,0
ALWAR,1
AMBALA,1
AMBEDKAR,0
AMETHI,0
AMRAVATI,1
AMRELI,1
AMRITSAR,1
AMROHA,0
ANAND,1
ANANTAPUR,1
ANANTNAG,2
ANDAMAN,0
ANJAW,0
ANUGUL,0
ANUPPUR,0
ARARIA,0
ARIYALUR,0
ARVALLI,0
ARWAL,0
ASHOKNAGAR,0
ASIFABAD,0
AURAIYA,0
AURANGABAD,1
AZAMGARH,1
BADGAM,0
BAGALKOT,0
BAGESHWAR,0
BAGHPAT,0
BAHRAICH,0
BAKSA,0
BALAGHAT,0
BALANGIR,0
BALESHWAR,0
BALLARI,0
BALLIA,0
BALOD,0
BALODA,0
BALRAMPUR,0
BANDA,1
BANDIPORA,1
BANKA,0
BANKURA,0
BANSWARA,0
BARABANKI,0
BARAMULLA,1
BARAN,1
BARDHAMAN,1
BAREILLY,1
BARGARH,0
BARMER,0
BARNALA,0
BARPETA,0
BARWANI,0
BASTAR,0
BASTI,1
BATHINDA,0
BEED,0
BEGUSARAI,1
BELAGAVI,1
BEMETARA,0
BENGALURU,3
BETUL,0
BHABUA,0
BHADOHI,0
BHADRADRI,0
BHADRAK,0
BHAGALPUR,1
BHANDARA,1
BHARATPUR,0
BHARUCH,1
BHAVNAGAR,1
BHILWARA,1
BHIND,0
BHIWANI,1
BHOI,0
BHOJPUR,0
BHOPAL,1
BIDAR,0
BIJAPUR,1
BIJNOR,0
BIKANER,2
BILASPUR,1
BIRBHUM,1
BISHNUPUR,0
BOKARO,2
BONGAIGAON,1
BOTAD,0
BOUDH,0
BUDAUN,0
BUDDHA,0
BULANDSHAHR,0
BULDHANA,0
BUNDI,0
BURHANPUR,0
BUXAR,0
CACHAR,0
CHAMARAJANAGAR,0
CHAMBA,0
CHAMOLI,0
CHAMPA,0
CHAMPARAN,0
CHAMPAWAT,0
CHAMPHAI,0
CHANDAULI,0
CHANDEL,0
CHANDIGARH,1
CHANDRAPUR,1
CHANGLANG,0
CHATRA,0
CHENNAI,4
CHHATARPUR,0
CHHINDWARA,0
CHHOTAUDEPUR,0
CHIKBALLAPUR,0
CHIKKAMAGALURU,1
CHIRANG,0
CHITRADURGA,0
CHITRAKOOT,0
CHITTOOR,1
CHITTORGARH,0
CHURACHANDPUR,0
CHURU,0
COIMBATORE,1
COOCHBEHAR,0
CUDDALORE,0
CUTTACK,1
DAADI,0
DADRA,0
DADRI,0
DAMAN,0
DAMOH,0
DANG,0
DANTEWADA,0
DARBHANGA,0
DARJEELING,0
DARRANG,0
DATIA,0
DAUSA,0
DAVANGERE,1
DEHRADUN,2
DELHI,14
DEOGARH,0
DEOGHAR,1
DEORIA,1
DEVBHUMI,0
DEWAS,0
DHALAI,0
DHAMTARI,0
DHANBAD,1
DHAR,1
DHARMAPURI,2
DHARWAD,1
DHEMAJI,0
DHENKANAL,0
DHOLPUR,0
DHUBRI,0
DHULE,0
DIBANG,0
DIBRUGARH,1
DIMAPUR,0
DINAJPUR,1
DINDIGUL,1
DINDORI,0
DIU,0
DODA,0
DOHAD,0
DUMKA,0
DUNGARPUR,0
DURG,0
ERNAKULAM,0
ERODE,2
ETAH,0
ETAWAH,0
FAIZABAD,1
FARIDABAD,3
FARIDKOT,1
FARRUKHABAD,0
FATEHABAD,0
FATEHGARH SAHIB,0
FATEHPUR,0
FAZILKA,0
FIROZABAD,1
FIROZEPUR,0
GADAG,0
GADCHIROLI,0
GAJAPATI,0
GANDERBAL,0
