Month,SMB,HML,WML,Rm,Rf,Rm-Rf
201402,1.1006559384,-3.4916602354,4.4877504677,2.1748048485,0.6602368236,1.505156076
201403,-1.9161780005,3.4027900896,-9.6453335054,7.9251625674,0.7383343657,7.1367013004
201404,6.7645852007,9.8656128169,-4.030811895,1.0409924042,0.6148715322,0.4236480605
201405,2.0150936522,12.6149630313,-15.8612168458,12.3130767104,0.7092747321,11.526139924
201406,7.7342478764,7.8663712966,3.182130883,7.3511169708,0.6925603249,6.6149671437
201407,-0.5583666615,-9.2384317161,-2.2428468557,0.003518704,0.7263144571,-0.717850484
201408,2.5578376718,-4.7605012229,2.0199057499,2.6616391564,0.6323140617,2.0172313524
201409,8.1970743218,1.7824110301,3.7846208253,1.3861688824,0.7274648634,0.6541314121
201410,-1.9348008588,0.4549131325,4.1432119741,3.3835082217,0.5874723313,2.7805913215
201411,-0.6262319022,-0.4315754539,5.4190485112,2.6783503887,0.576336413,2.0906362283
201412,0.8340725628,-2.9871025937,2.2417758319,-1.4911859436,0.7028693016,-2.1794320002
201501,-1.0277178717,-0.0437079528,4.7104788638,5.0776712132,0.6733950924,4.3762273909
201502,0.8065361626,-2.7381508979,-0.138250868,1.0451908856,0.6397688439,0.4029570697
201503,2.6923439776,-8.2061246917,4.928519875,-2.8611575505,0.6719093725,-3.510605171
201504,1.3190131381,4.0446082523,-1.4286222727,-2.5983845086,0.5802023651,-3.1611875434
201505,0.4784616796,-4.9844703972,3.3858207659,3.4099396577,0.6130019108,2.7807194019
201506,4.8478547977,-8.0205539417,1.7102313405,-1.0585004393,0.6558847288,-1.7037638009
201507,9.6592303103,2.721782696,8.8211642938,3.4158439337,0.6701139587,2.728243237
201508,3.695560161,-9.6297421885,3.9062646487,-6.273048163,0.6018876131,-6.8357987202
201509,0.8704571477,2.0675999698,2.3072751731,-0.4579151146,0.5756000037,-1.0279311803
201510,2.4906289607,4.2983094265,-5.5581131425,1.7445914423,0.5481473059,1.1902361968
201511,4.5284983053,2.9106382552,-0.331835209,-0.4448249632,0.5243180169,-0.9643615333
201512,2.4919553753,1.2539048331,3.0375033492,1.2352532094,0.6130660746,0.6185641611
201601,1.0140632899,-7.0405680976,3.3635764126,-6.1794370926,0.5050667329,-6.6531343766
201602,-7.3974123232,-4.9931653439,-2.6407594407,-8.1649006279,0.426452764,-8.556318456
201603,-3.3449423898,5.0796701374,-0.9966725482,10.6547537029,0.506116462,10.0990352676
201604,3.8409582902,2.976299172,0.6410119297,2.3751887908,0.482983487,1.8835832627
201605,1.4746594344,-4.8377844085,0.9131759547,2.068191702,0.5843021051,1.4756504498
201606,4.4695359632,5.1612114951,-0.9417586934,3.6915768132,0.5805352603,3.0938982676
201607,-1.8953535099,0.6897693739,2.4010113268,5.4738345165,0.5122753537,4.9375568838
201608,-2.6429879289,-1.8598901056,1.0902990078,1.9959623048,0.5607006964,1.4276135716
201609,2.6654965331,-1.1027719402,-1.2421435044,-0.7642561797,0.5077869079,-1.2659565756
201610,6.1796225398,5.1238669978,4.0189264412,2.818286121,0.4722788579,2.3355643067
201611,-7.5556273438,3.9799978447,-1.0545621752,-5.3345387978,0.5018560672,-5.8087330198
201612,2.1887729176,-4.6806701151,-0.4843554828,-1.637608737,0.5218100936,-2.1487200925
201701,-0.4150537907,7.1239182407,1.6248185871,5.8935538262,0.5101668106,5.3573814046
201702,-0.0402395439,2.2721521225,-1.4274348368,4.6895098977,0.4556804987,4.2156559149
201703,0.2392227231,0.6151758174,3.1074143727,3.6588488011,0.5099068123,3.1336855822
201704,3.6167010256,4.6805775961,5.1259649633,3.1101164753,0.4196163535,2.6798849841
201705,-1.6323276834,-7.2665676585,3.1298026773,0.4831655323,0.535224752,-0.0518104734
201706,3.318921556,-1.5442999408,2.3147279162,-0.0004488863,0.5128912285,-0.5108471875
201707,-1.5310643764,5.3812275841,1.8776766257,5.4227438949,0.5077429528,4.8913795059
201708,-1.1765998905,-1.2350718105,9.2012793726,-0.3860810644,0.5018384441,-0.8837172111
201709,3.148987804,-2.1041365044,-0.6837994182,-0.9170902801,0.498656468,-1.4090702728
201710,-3.874683446,14.0018489652,3.361199905,7.6405721926,0.4742124362,7.1342749005
201711,5.2580773556,-3.8346922455,1.5201925674,0.3571061307,0.5234095932,-0.1654862524
201712,2.7985383086,1.9527243478,-2.381379688,3.9258334974,0.4795142334,3.4306974386
201801,-4.1495808996,-2.4422871225,0.6246430586,0.8188992983,0.540104409,0.2773489831
201802,1.6836640923,-9.8364547015,1.1901974078,-3.6944283152,0.471070999,-4.1469995973
201803,-3.2763356156,-7.8880028587,3.3837546234,-4.2448836993,0.4657739337,-4.6899395127
201804,1.212622046,-1.7493715797,6.946008515,6.7989867127,0.5003231975,6.26883327
201805,-4.6246428372,-3.5259008123,5.125168316,-2.6220428384,0.5392342496,-3.1450744119
201806,-6.0847485477,-3.5548260133,1.9744352561,-2.5070393537,0.529407396,-3.0212123242
201807,-1.7341730328,-0.981689545,0.3678359123,5.5404403257,0.5591885803,4.954833259
201808,-1.4160401467,0.7856903778,2.4667315236,3.8092959024,0.5505674357,3.2417431504
201809,-4.239288842,-10.872460822,8.4984030357,-9.3153262173,0.4852447415,-9.7557740192
201810,1.2443729175,10.5762065768,-4.1448079842,-4.0785239049,0.5708491903,-4.6242873045
201811,0.9935031664,-4.9996265367,3.8702505634,3.2149469695,0.5342367276,2.6671750438
201812,-0.9188426882,5.2650624897,-4.9667384975,1.2070314557,0.5192502986,0.6843870542
