,meanHQ,meanER,Month,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.HQ,SUN PHARMACEUTICAL INDUSTRIES LTD.HQ,AXIS BANK LTD.HQ,ICICI BANK LTD.HQ,OIL AND NATURAL GAS CORPORATION LTD.ER,MARUTI SUZUKI INDIA LTD.ER,PIDILITE INDUSTRIES LTD.ER,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,BAJAJ FINSERV LTD.ER,INDIAN OIL CORPORATION LTD.ER,ASIAN PAINTS LTD.ER,BAJAJ FINANCE LIMITEDER,LARSEN & TOUBRO LTD.ER,KOTAK MAHINDRA BANK LTD.ER,HDFC BANK LTDER_x,RELIANCE INDUSTRIES LTD.ER,ITC LTD.ER,HINDUSTAN ZINC LTD.ER,BHARTI INFRATEL LTD.ER,BHARTI AIRTEL LTD.ER,HDFC BANK LTDER_y
42,4.015166666666667,-0.250543828391127,August-2017,0.98,9.66,3.51,1.42,7.29,0.07,-5.21,-0.9,1.51,-10.08,-23.57,-0.75,-4.79,4.71,4.3,0.47,1.26,1.03,-4.68,5.96,-2.41,0.47
43,0.8861666666666667,3.3696161518754852,September-2017,4.14,-4.76,-1.63,6.95,-8.69,-3.51,5.16,-1.36,3.64,6.49,11.87,4.37,-2.88,-0.46,-2.66,-1.58,50.92,8.49,-0.24,-5.43,9.16,-1.58
44,-9.095666666666665,-6.6695418981886325,October-2017,-14.38,-9.98,-2.8,-8.3,-11.98,-3.06,1.37,3.1,-14.24,2.38,-3.56,-5.7,1.92,-6.96,-2.26,-0.32,-20.28,-3.04,-6.64,-10.97,-28.05,-0.32
45,1.5751666666666664,1.3717530050023783,November-2017,7.31,2.43,-2.48,-2.62,5.52,-4.69,-7.85,-2.12,4.32,-3.97,5.02,2.79,3.91,0.31,2.38,-2.39,1.93,3.93,5.01,13.3,0.16,-2.39
46,-3.567999999999999,-2.8937691587245826,December-2017,-1.45,-5.71,-4.93,-2.01,-7.81,-13.12,-7.03,0.68,-2.61,-0.28,1.3,-0.88,-1.59,-3.3,-0.89,-1.16,0.17,-2.91,-3.12,1.44,-6.55,-1.16
47,-5.9235,-2.3228240473782336,January-2018,-5.88,-1.5,-5.51,-12.4,-4.47,2.23,0.73,-6.3,-1.37,8.16,-7.56,2.32,4.51,-12.7,-9.97,-7.09,-4.35,-3.1,-0.34,7.06,16.95,-7.09
48,8.282,4.169587499497551,February-2018,4.71,7.59,10.75,11.18,7.3,6.74,-0.21,4.24,5.16,-5.11,9.22,1.08,2.11,6.88,1.89,6.11,0.91,2.27,-5.13,1.1,2.8,6.11
49,8.902000000000001,5.26681555528148,March-2018,13.13,7.46,3.81,11.2,5.68,0.11,-2.3,-6.89,4.96,-2.41,53.51,-0.17,-7.77,0.55,3.69,-0.41,7.31,3.47,7.67,3.14,6.66,-0.41
50,-6.761166666666666,-5.450995288099754,April-2018,-14.61,-6.61,-1.7,-2.17,-1.52,0.46,-18.3,-5.71,-4.11,-5.87,7.94,-7.09,-7.7,-6.76,-15.43,-2.81,-9.1,-9.98,-8.69,6.75,-2.67,-2.81
51,2.1209999999999996,-0.8141244046067824,May-2018,3.51,9.09,-4.87,-0.4,1.75,3.26,-6.34,-2.62,9.13,-10.32,-7.24,-8.79,-10.6,2.36,-10.46,-9.85,4.34,3.5,9.46,4.99,8.73,-9.85
52,-0.7818333333333332,1.2735960267761002,June-2018,5.15,-16.74,6.06,3.54,10.8,-3.35,8.0,0.45,-1.8,3.8,10.4,3.18,-8.96,7.04,-0.36,1.32,-5.61,2.04,6.89,-1.17,-1.93,1.32
53,-6.440833333333333,-7.025052734547895,July-2018,-7.55,-1.09,-7.78,-10.33,-4.61,-7.77,-5.61,-2.84,-10.2,-20.06,-5.45,-14.57,-17.48,-2.46,2.42,-3.46,-21.88,-11.71,-1.61,5.08,-2.55,-3.46
54,-9.888,-2.784618762858044,August-2018,4.19,-15.1,-18.01,-12.73,-8.73,4.3,-3.83,4.54,-6.69,3.31,5.35,5.33,-5.95,-5.11,1.83,5.45,-4.65,-7.39,-6.76,-0.47,1.88,5.45
55,8.854000000000001,8.356605922018945,September-2018,14.32,4.42,5.68,10.99,1.5,19.2,10.48,11.39,9.27,11.34,1.57,5.62,24.19,7.48,11.04,2.74,-1.39,7.03,2.92,8.82,11.76,2.74
56,0.6546666666666667,5.496297187006654,October-2018,2.85,7.09,4.97,-16.43,13.6,10.09,8.49,15.57,13.73,9.79,9.89,5.16,-9.56,-2.5,2.23,4.68,15.64,5.7,9.02,-2.58,13.63,4.68
57,-2.0355,-6.464721250974507,November-2018,-14.67,15.0,-7.54,0.03,8.46,-15.97,-21.74,-14.54,-14.12,-11.19,3.22,-9.59,-6.47,-10.11,-10.23,-10.74,-10.06,-2.31,-0.79,4.59,-7.33,-10.74
58,1.633833333333333,-0.43196850363505773,December-2018,-5.86,12.52,0.95,-1.41,-7.13,2.64,4.73,1.99,-0.25,-7.89,-2.62,-2.14,-4.46,-0.62,-1.82,-0.25,4.04,1.61,-4.32,-1.23,0.21,-0.25
59,-0.6103333333333335,1.489140210718076,January-2019,12.26,1.17,-16.64,-1.18,5.66,11.18,-0.8,5.88,12.04,5.99,-0.04,-2.84,2.68,8.7,0.12,1.95,-9.46,1.03,6.21,-12.82,1.84,1.95
60,1.2878333333333332,-1.169406761826307,February-2019,4.27,-4.65,1.88,4.24,-5.01,-3.08,-3.21,2.13,-8.72,-6.13,-5.58,0.54,-3.0,1.44,3.26,-0.05,-0.36,0.93,-3.28,-0.19,-3.52,-0.05
61,-4.122833333333333,-2.411011366705072,March-2019,-5.33,-2.17,-3.24,-6.12,-0.87,-2.06,2.33,-3.08,-3.66,-2.45,-2.66,1.53,-4.5,-3.39,-2.1,-2.18,-2.85,-5.76,0.78,-4.24,2.89,-2.18
