,meanHQ,meanER,Month,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.HQ,SUN PHARMACEUTICAL INDUSTRIES LTD.HQ,AXIS BANK LTD.HQ,ICICI BANK LTD.HQ,OIL AND NATURAL GAS CORPORATION LTD.ER,MARUTI SUZUKI INDIA LTD.ER,PIDILITE INDUSTRIES LTD.ER,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,BAJAJ FINSERV LTD.ER,INDIAN OIL CORPORATION LTD.ER,ASIAN PAINTS LTD.ER,BAJAJ FINANCE LIMITEDER,LARSEN & TOUBRO LTD.ER,KOTAK MAHINDRA BANK LTD.ER,HDFC BANK LTDER_x,RELIANCE INDUSTRIES LTD.ER,ITC LTD.ER,HINDUSTAN ZINC LTD.ER,BHARTI INFRATEL LTD.ER,BHARTI AIRTEL LTD.ER,HDFC BANK LTDER_y
0,-10.856166666666665,-3.956359432422532,February-2014,-14.12,-9.27,-13.07,-5.58,-5.83,3.0,-2.12,-3.56,-7.77,-5.78,-1.14,-0.15,-2.86,-12.47,-4.0,-6.14,3.8,-0.74,9.85,-4.89,8.77,-6.14
1,-8.262333333333332,-12.720827053506971,March-2014,-12.11,10.79,-15.37,-19.33,-9.31,-24.28,-6.63,-26.1,-18.97,-9.8,-12.45,-15.55,-14.11,-14.83,-13.88,-12.19,-16.3,-7.77,-9.98,-13.01,-10.92,-12.19
2,-3.8235,-0.4293587917277831,April-2014,-0.43,-10.15,-4.02,0.05,-2.23,2.71,-4.14,4.43,7.36,-4.75,5.86,7.57,-4.71,-1.8,-3.25,4.09,-0.62,3.46,-0.23,-6.41,-2.74,4.09
3,-12.636,-11.658587458310699,May-2014,-19.94,3.82,-20.86,-13.95,-16.1,-18.33,4.81,-11.45,-17.6,-3.04,-37.39,-0.85,-7.82,-19.56,-8.0,-10.56,-13.88,-0.22,-22.15,-6.83,-4.99,-10.56
4,-6.8341666666666665,-5.199791626852995,June-2014,-7.81,-12.98,-4.64,-0.0,-12.02,-7.44,-7.68,-6.99,-9.0,-9.68,4.35,-16.34,0.98,-9.86,-2.03,-3.43,4.74,4.86,-6.11,-10.22,2.06,-3.43
5,13.073500000000001,1.5326049453997073,July-2014,-7.06,-15.22,79.61,-3.85,6.69,-3.53,-14.06,1.89,6.83,-0.84,3.98,-6.15,-10.22,11.61,-7.74,-1.5,0.86,-9.63,3.12,-0.67,-10.6,-1.5
6,-6.044500000000001,-5.039874200336795,August-2014,-8.5,-8.08,-1.39,-5.67,-10.07,-10.29,-10.23,-4.17,-5.16,-11.32,-8.28,0.79,-11.94,-1.52,-8.64,-1.12,0.67,0.29,-2.38,-2.34,0.78,-1.12
7,3.1903333333333337,-1.2926635080812694,September-2014,1.73,-0.32,4.91,7.79,5.99,-10.06,3.07,-6.07,-3.07,-7.56,-0.74,-0.84,-9.81,4.55,2.18,-3.39,5.39,-4.39,2.75,-12.4,-9.35,-3.39
8,-6.988666666666665,-4.557662061298367,October-2014,-2.37,1.37,-16.13,-13.25,0.99,-8.94,-4.2,-16.1,2.81,5.53,-0.61,-4.25,-3.23,-13.54,-10.42,-4.67,-5.7,4.18,-6.81,0.71,1.47,-4.67
9,-4.383,-3.14471503591605,November-2014,-2.02,0.71,-9.64,-7.95,6.31,0.07,-11.01,-4.55,2.4,-7.8,-0.27,-13.34,-10.2,0.89,-7.43,-4.96,0.84,-2.18,4.89,-1.91,4.1,-4.96
10,12.561833333333333,1.889556083699979,December-2014,-9.7,1.6,-4.37,79.88,10.09,0.23,-18.05,-6.79,-7.28,-14.01,9.08,-1.08,-12.89,8.76,-5.07,0.56,10.06,-1.49,-4.25,-12.61,7.62,0.56
11,-9.636333333333335,-8.562509996376209,January-2015,-6.92,-10.87,-17.26,-2.31,-3.0,-9.52,-5.0,-8.53,-17.54,-9.98,-4.72,-14.06,-16.16,-13.61,-4.57,-13.03,-2.72,-0.05,-2.61,-6.36,-5.64,-13.03
12,0.791,0.5462960766884924,February-2015,2.94,0.54,-4.2,4.32,7.54,0.74,1.65,-5.16,0.08,2.44,4.38,4.56,-7.88,-3.93,-5.8,0.76,5.36,1.99,-0.77,-2.7,4.17,0.76
13,2.5778333333333334,1.9680452815849472,March-2015,6.79,-12.21,8.64,8.75,5.59,-2.24,-7.25,3.65,8.36,1.25,-10.92,1.17,6.11,2.71,6.03,4.21,4.8,9.91,8.12,-4.65,-10.27,4.21
14,-0.06283333333333338,1.1195299025756664,April-2015,-3.1,8.1,-1.33,-5.06,0.72,-0.89,5.75,6.63,7.27,-2.77,2.17,5.67,2.12,5.03,-1.58,3.29,-4.63,0.98,-4.6,-4.26,3.11,3.29
15,-1.208,-4.188344480531476,May-2015,-1.9,-2.8,-3.06,4.21,-8.32,-1.43,2.41,-6.16,-11.65,-6.66,1.21,-3.16,-5.22,-1.4,-4.97,-6.26,-1.66,-1.4,0.12,-19.43,-11.44,-6.26
16,5.631333333333334,-0.7420761465053075,June-2015,4.87,9.48,4.55,2.93,6.15,-6.27,0.29,0.3,-0.5,-0.2,-8.05,4.14,-29.34,-7.7,0.89,-1.56,-14.06,3.58,1.24,6.82,1.27,-1.56
17,-0.23383333333333348,-0.9495287367283831,July-2015,-5.25,5.89,-2.7,1.79,11.82,-7.65,-1.2,-12.1,-5.29,-20.95,-12.13,-16.83,-0.73,-0.38,49.87,-4.1,-0.12,-3.54,5.99,-0.34,0.31,-4.1
18,-0.5561666666666664,6.2570664046260305,August-2015,-9.4,-9.11,11.69,8.07,12.18,3.76,-2.37,12.35,7.99,1.54,3.85,3.73,8.6,10.3,6.43,7.47,14.46,0.28,19.14,10.8,15.31,7.47
19,6.3919999999999995,1.4352091699716925,September-2015,15.56,3.26,2.2,2.82,4.3,-12.52,0.66,-9.96,7.53,4.75,3.03,0.88,-1.47,8.63,0.32,-3.96,-0.43,-1.11,-10.0,11.21,4.65,-3.96
20,0.26783333333333337,-2.744155603593741,October-2015,1.27,-2.37,4.16,-2.5,-8.0,5.13,1.01,3.3,-7.61,-13.01,0.75,1.47,-2.29,3.79,-6.13,-2.63,-10.15,-1.76,-12.39,-9.61,-3.18,-2.63
21,7.900166666666666,1.9228713555638504,November-2015,9.25,17.81,1.28,1.05,5.47,-2.88,0.76,-2.45,2.66,0.98,-5.45,-1.42,-5.61,2.63,-0.52,1.92,-2.13,-2.54,8.44,1.07,4.09,1.92
22,-0.5003333333333334,-1.7098550519745643,December-2015,2.83,-12.22,4.13,4.62,-3.24,-0.84,0.66,-3.78,0.78,-2.57,-1.85,-5.16,-9.19,7.16,-3.81,-0.63,-4.61,4.55,-2.02,-11.35,-1.61,-0.63
23,8.180333333333333,5.285431675847998,January-2016,18.38,-6.47,9.2,11.99,6.53,11.22,-2.3,4.32,-1.47,5.94,6.43,1.7,1.74,13.6,5.03,3.12,-2.22,2.47,-9.58,15.79,14.77,3.12
24,8.260333333333334,6.182340382755457,February-2016,7.8,2.06,8.06,17.43,14.15,20.86,-3.52,10.36,2.09,13.83,8.44,2.34,-0.32,2.08,7.64,7.28,6.62,7.42,0.28,1.11,-9.34,7.28
25,-15.862666666666666,-11.526737746238275,March-2016,-26.31,4.16,-18.47,-24.5,-10.64,-14.69,-0.94,-16.46,-16.62,-5.79,-7.13,-2.37,-16.9,-12.69,-8.05,-10.14,-8.14,-10.9,-14.54,-7.15,-10.78,-10.14
26,-0.2151666666666668,-1.7240717922015352,April-2016,3.82,0.99,-6.23,-0.02,-1.47,-2.04,-2.0,-8.43,2.0,-9.51,-10.03,0.07,1.4,-3.07,-5.08,-5.81,6.0,0.99,6.35,1.94,-3.68,-5.81
27,4.005000000000001,-2.839867848504607,May-2016,19.16,5.99,-9.18,-3.63,3.1,-9.83,-17.05,-5.18,-2.12,2.25,3.96,-13.36,-10.88,-17.61,-4.35,-4.23,2.4,-8.25,0.58,-0.25,3.34,-4.23
28,-2.563,-3.177420712257447,June-2016,-7.32,-0.12,-3.46,2.04,-2.44,-0.41,-2.08,-0.64,-5.65,-27.15,-5.98,-1.99,-5.46,-1.49,-2.2,0.46,-1.09,-4.69,-5.24,8.21,-4.12,0.46
29,-8.247666666666666,-7.386688288448099,July-2016,-12.22,-8.66,-2.36,-9.43,-1.69,-13.62,-1.46,-6.06,-8.61,-17.28,-23.33,-11.06,-29.64,-4.13,0.16,-6.01,-4.75,31.42,-13.35,-14.6,1.12,-6.01
30,-3.869666666666666,-3.0814451946596755,August-2016,-13.26,6.62,-9.08,1.96,-7.77,-6.26,4.59,-0.59,-8.73,-9.07,-5.95,-4.0,-6.4,2.83,-5.89,-3.55,-4.19,-3.01,-11.26,11.22,8.34,-3.55
31,4.4245,4.843517202100506,September-2016,2.26,4.15,9.03,2.1,-8.29,-8.44,2.26,-0.96,4.25,-3.62,-1.22,-0.25,90.41,5.43,3.46,1.48,-2.28,7.11,-2.87,-4.02,5.36,1.48
32,-5.0151666666666666,-1.0213587671781674,October-2016,-18.89,-0.75,9.98,-9.79,-12.95,-7.66,-6.4,0.14,-2.94,-10.87,44.48,7.46,-2.27,-3.14,-5.35,1.42,2.86,-0.14,-8.27,4.71,-1.42,1.42
33,5.695833333333333,5.326318150916396,November-2016,9.01,5.07,3.7,4.33,0.33,10.77,12.02,8.81,9.5,12.42,5.49,9.81,14.92,6.37,7.83,4.32,5.56,3.72,-11.76,-7.91,-1.88,4.32
34,5.789166666666667,4.714713585323152,December-2016,3.47,11.34,4.2,3.66,33.75,-1.13,7.63,-1.66,9.69,3.04,-6.49,8.09,8.72,2.4,4.91,-0.38,-8.8,-3.46,9.5,8.43,5.9,-0.38
35,-4.7125,-8.076763563724873,January-2017,-9.44,-0.29,-3.53,-5.39,-5.59,-10.77,-14.19,-13.1,-13.8,-11.96,-12.41,-8.91,-23.47,-7.07,-7.44,-6.87,3.4,-7.1,-16.83,14.55,-13.93,-6.87
36,-5.516166666666667,-5.13193555723974,February-2017,-2.85,-7.51,-8.64,-2.73,4.33,-0.45,-1.19,-4.9,-2.13,-22.33,-5.16,-5.53,-6.86,-1.77,-3.68,-7.95,-18.67,-1.59,-3.22,3.1,-4.96,-7.95
37,-3.2093333333333334,-3.5975680667031487,March-2017,-12.61,-1.29,3.03,-0.25,4.32,-1.71,-2.48,-7.27,-5.77,-3.12,-0.47,-4.56,-6.03,-7.3,-8.88,-3.82,-6.54,-6.98,6.23,-14.37,4.16,-3.82
38,1.7691666666666666,-3.8147840646573883,April-2017,3.8,6.57,-3.83,-0.51,-0.68,-8.32,-2.7,-2.52,-6.25,-11.76,-13.73,-4.52,-8.67,-10.8,-3.38,-6.92,-5.73,0.66,6.92,-9.02,-1.33,-6.92
39,1.1561666666666668,-1.5019558657269219,May-2017,-3.69,21.97,-0.9,-17.16,4.97,-10.56,-7.06,-2.39,0.99,8.26,1.82,-2.95,-3.85,-0.67,-6.98,-5.91,3.89,-11.95,10.69,-3.66,-4.85,-5.91
40,-2.6620000000000004,-0.06261608856666583,June-2017,-6.93,-10.59,-0.37,11.09,11.16,-0.04,-4.48,-0.03,5.57,1.8,10.87,4.2,-3.72,4.09,0.94,-1.16,-2.96,-3.83,-9.48,-1.82,-1.98,-1.16
41,-2.5016666666666665,-4.680822416233027,July-2017,-9.35,4.11,-0.53,-4.08,-7.66,-6.79,1.03,-10.93,-2.44,-21.47,4.56,-5.01,-23.86,29.37,-6.73,-7.93,-16.92,11.95,-7.25,-7.26,-10.19,-7.93
