,meanHQ,meanER,Month,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.HQ,SUN PHARMACEUTICAL INDUSTRIES LTD.HQ,AXIS BANK LTD.HQ,ICICI BANK LTD.HQ
0,-10.856166666666665,,February-2014,-14.12,-9.27,-13.07,-5.58
1,-8.262333333333332,,March-2014,-12.11,10.79,-15.37,-19.33
2,-3.8235,,April-2014,-0.43,-10.15,-4.02,0.05
3,-12.636,,May-2014,-19.94,3.82,-20.86,-13.95
4,-6.8341666666666665,,June-2014,-7.81,-12.98,-4.64,-0.0
5,13.073500000000001,,July-2014,-7.06,-15.22,79.61,-3.85
6,-6.044500000000001,,August-2014,-8.5,-8.08,-1.39,-5.67
7,3.1903333333333337,,September-2014,1.73,-0.32,4.91,7.79
8,-6.988666666666665,,October-2014,-2.37,1.37,-16.13,-13.25
9,-4.383,,November-2014,-2.02,0.71,-9.64,-7.95
10,12.561833333333333,,December-2014,-9.7,1.6,-4.37,79.88
11,-9.636333333333335,,January-2015,-6.92,-10.87,-17.26,-2.31
12,0.791,,February-2015,2.94,0.54,-4.2,4.32
13,2.5778333333333334,,March-2015,6.79,-12.21,8.64,8.75
14,-0.06283333333333338,,April-2015,-3.1,8.1,-1.33,-5.06
15,-1.208,,May-2015,-1.9,-2.8,-3.06,4.21
16,5.631333333333334,,June-2015,4.87,9.48,4.55,2.93
17,-0.23383333333333348,,July-2015,-5.25,5.89,-2.7,1.79
18,-0.5561666666666664,,August-2015,-9.4,-9.11,11.69,8.07
19,6.3919999999999995,,September-2015,15.56,3.26,2.2,2.82
20,0.26783333333333337,,October-2015,1.27,-2.37,4.16,-2.5
21,7.900166666666666,,November-2015,9.25,17.81,1.28,1.05
22,-0.5003333333333334,,December-2015,2.83,-12.22,4.13,4.62
23,8.180333333333333,,January-2016,18.38,-6.47,9.2,11.99
24,8.260333333333334,,February-2016,7.8,2.06,8.06,17.43
25,-15.862666666666666,,March-2016,-26.31,4.16,-18.47,-24.5
26,-0.2151666666666668,,April-2016,3.82,0.99,-6.23,-0.02
27,4.005000000000001,,May-2016,19.16,5.99,-9.18,-3.63
28,-2.563,,June-2016,-7.32,-0.12,-3.46,2.04
29,-8.247666666666666,,July-2016,-12.22,-8.66,-2.36,-9.43
30,-3.869666666666666,,August-2016,-13.26,6.62,-9.08,1.96
31,4.4245,,September-2016,2.26,4.15,9.03,2.1
32,-5.0151666666666666,,October-2016,-18.89,-0.75,9.98,-9.79
33,5.695833333333333,,November-2016,9.01,5.07,3.7,4.33
34,5.789166666666667,,December-2016,3.47,11.34,4.2,3.66
35,-4.7125,,January-2017,-9.44,-0.29,-3.53,-5.39
36,-5.516166666666667,,February-2017,-2.85,-7.51,-8.64,-2.73
37,-3.2093333333333334,,March-2017,-12.61,-1.29,3.03,-0.25
38,1.7691666666666666,,April-2017,3.8,6.57,-3.83,-0.51
39,1.1561666666666668,,May-2017,-3.69,21.97,-0.9,-17.16
40,-2.6620000000000004,,June-2017,-6.93,-10.59,-0.37,11.09
41,-2.5016666666666665,,July-2017,-9.35,4.11,-0.53,-4.08
42,4.015166666666667,,August-2017,0.98,9.66,3.51,1.42
43,0.8861666666666667,,September-2017,4.14,-4.76,-1.63,6.95
44,-9.095666666666665,,October-2017,-14.38,-9.98,-2.8,-8.3
45,1.5751666666666664,,November-2017,7.31,2.43,-2.48,-2.62
46,-3.567999999999999,,December-2017,-1.45,-5.71,-4.93,-2.01
47,-5.9235,,January-2018,-5.88,-1.5,-5.51,-12.4
48,8.282,,February-2018,4.71,7.59,10.75,11.18
49,8.902000000000001,,March-2018,13.13,7.46,3.81,11.2
50,-6.761166666666666,,April-2018,-14.61,-6.61,-1.7,-2.17
51,2.1209999999999996,,May-2018,3.51,9.09,-4.87,-0.4
52,-0.7818333333333332,,June-2018,5.15,-16.74,6.06,3.54
53,-6.440833333333333,,July-2018,-7.55,-1.09,-7.78,-10.33
54,-9.888,,August-2018,4.19,-15.1,-18.01,-12.73
55,8.854000000000001,,September-2018,14.32,4.42,5.68,10.99
56,0.6546666666666667,,October-2018,2.85,7.09,4.97,-16.43
57,-2.0355,,November-2018,-14.67,15.0,-7.54,0.03
58,1.633833333333333,,December-2018,-5.86,12.52,0.95,-1.41
59,-0.6103333333333335,,January-2019,12.26,1.17,-16.64,-1.18
60,1.2878333333333332,,February-2019,4.27,-4.65,1.88,4.24
61,-4.122833333333333,,March-2019,-5.33,-2.17,-3.24,-6.12
