,meanHQ,meanER,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,VEDANTA LIMITEDER,JSW STEEL LTD.ER,TITAN COMPANY LIMITEDER,BRITANNIA INDUSTRIES LTD.ER,BHARTI INFRATEL LTD.ER,HERO MOTOCORP LTD.ER,POWER GRID CORPORATION OF INDIA LTD.ER,MARUTI SUZUKI INDIA LTD.ER
0,-3.986666666666667,-1.3299216933529434,February-2014,-4.58,-3.79,-3.26,5.78,4.73,-9.32,-0.47,-4.89,0.27,0.94,3.0
1,-0.07166666666666677,-6.9160877068533315,March-2014,-15.93,9.07,14.17,-5.83,-18.48,-8.36,4.94,-13.01,-15.66,-11.05,-24.28
2,3.3833333333333333,0.8363407018907016,April-2014,3.22,3.8,3.1,1.52,-4.56,2.93,-2.32,-6.41,3.48,-0.67,2.71
3,-4.2125,-12.012672135792448,May-2014,-17.17,3.26,7.42,-51.0,-11.95,-21.98,-1.95,-6.83,-6.83,-15.13,-18.33
4,-9.391666666666667,-9.70035326490639,June-2014,-9.99,-7.91,-10.37,-4.51,-2.11,-13.48,-14.45,-10.22,-12.09,-14.29,-7.44
5,-0.37083333333333335,-0.49552424652893406,July-2014,1.12,0.24,-3.67,0.6,4.67,3.29,-13.63,-0.67,1.19,4.6,-3.53
6,-7.4825,-4.619586649519462,August-2014,-10.69,-4.0,-6.78,4.55,-5.61,-6.42,-8.92,-2.34,-0.47,2.6,-10.29
7,-3.4433333333333334,-5.489359259259259,September-2014,-1.32,-5.47,-4.28,1.66,7.08,-12.32,-12.09,-12.4,-8.97,-4.64,-10.06
8,0.14583333333333304,-2.776404618934307,October-2014,0.8,5.52,-8.11,6.16,-8.97,3.54,-9.61,0.71,-7.73,-7.39,-8.94
9,-14.569999999999999,-3.6364394043456536,November-2014,-27.28,-3.91,-7.6,9.56,4.66,5.89,-7.73,-1.91,-2.63,2.17,0.07
10,14.39,5.824868532162283,December-2014,-2.66,5.41,54.78,7.44,12.91,-3.03,-11.57,-12.61,1.23,2.88,0.23
11,-14.67666666666667,-6.132889892283643,January-2015,-22.42,-9.48,-8.7,5.77,6.7,-12.93,-2.63,-6.36,7.54,-7.17,-9.52
12,-8.268333333333333,-4.53659363495301,February-2015,-8.6,-8.73,-7.1,-7.86,-3.43,2.33,-10.87,-2.7,6.51,-6.02,0.74
13,3.2383333333333333,3.554823140632516,March-2015,1.91,4.77,3.41,12.94,10.21,6.78,-3.09,-4.65,1.49,7.43,-2.24
14,12.5575,3.8974251763861143,April-2015,11.34,14.22,12.37,-10.85,-2.72,2.35,-1.61,-4.26,11.85,2.0,-0.89
15,-4.585833333333333,-5.230709837211401,May-2015,-5.11,-4.28,-4.12,6.33,1.76,1.38,-16.22,-19.43,-15.74,-0.98,-1.43
16,16.923333333333332,8.42086370758871,June-2015,7.36,3.11,51.28,11.59,4.79,3.01,-8.41,6.82,6.37,3.2,-6.27
17,-9.07,-2.0255229795667296,July-2015,-12.45,-4.59,-9.41,25.16,3.95,11.55,-14.22,-0.34,-5.95,-1.76,-7.65
18,1.8108333333333335,4.610282307911995,August-2015,5.62,-0.4,-1.59,24.24,-9.93,-4.29,7.2,10.8,10.36,7.7,3.76
19,3.918333333333333,2.2237139248482993,September-2015,16.58,-4.5,-5.96,13.69,3.54,5.8,-5.26,11.21,0.07,-1.15,-12.52
20,-0.4199999999999998,-3.7358391724016724,October-2015,-5.46,3.99,2.1,-17.51,-2.65,-9.6,-4.68,-9.61,-7.9,2.57,5.13
21,4.71,1.3981792422854922,November-2015,8.71,0.1,4.19,9.95,0.81,-9.55,9.39,1.07,-4.55,-5.59,-2.88
22,0.3966666666666667,-1.7679954568579568,December-2015,0.04,2.25,-1.48,-0.28,-14.18,9.24,-1.36,-11.35,0.27,-3.86,-0.84
23,1.2891666666666668,4.302870721466034,January-2016,6.57,-0.25,-5.46,20.6,-2.51,-4.96,9.48,15.79,4.91,-4.53,11.22
24,5.780833333333334,5.332335583802772,February-2016,3.81,7.36,6.96,1.19,-6.3,13.07,-2.82,1.11,2.46,11.86,20.86
25,-15.835833333333335,-12.636167832688143,March-2016,-23.89,-8.36,-12.38,-26.89,-13.81,-7.1,3.01,-7.15,-17.75,-6.92,-14.69
26,2.8858333333333337,-2.138154298421486,April-2016,5.21,1.71,0.58,-15.41,-7.14,-4.9,-6.79,1.94,1.43,-3.13,-2.04
27,-5.954999999999999,-3.6480172906954156,May-2016,-13.44,1.35,-3.22,-4.39,-1.4,-1.07,5.29,-0.25,-6.82,-4.57,-9.83
28,0.3091666666666666,-3.508620675100363,June-2016,-1.28,-2.22,6.33,-21.7,-5.3,-12.67,-1.88,8.21,-2.64,-8.63,-0.41
29,-1.477500000000001,-7.22069918247262,July-2016,-10.38,2.34,8.27,-24.89,-14.25,-3.55,-6.28,-14.6,-0.8,-7.95,-13.62
30,5.5275,-1.1239526786292406,August-2016,3.15,10.05,3.46,-3.31,-4.88,0.21,-17.88,11.22,-10.64,-4.6,-6.26
31,3.3700000000000006,1.3541767642080142,September-2016,6.07,2.62,-0.13,-1.18,1.35,5.38,2.52,-4.02,3.75,4.16,-8.44
32,3.2825,0.4096980760558884,October-2016,3.7,2.65,3.43,-17.67,4.16,3.49,1.61,4.71,1.75,0.79,-7.66
33,3.285,1.3858097704378953,November-2016,6.28,-0.02,2.7,-13.48,-4.03,15.66,8.3,-7.91,5.53,-9.75,10.77
34,-2.5183333333333335,1.7685231885013135,December-2016,-2.35,-1.91,-3.61,5.85,5.9,-1.15,5.12,8.43,3.92,4.45,-1.13
35,0.9358333333333335,3.8438906716547336,January-2017,-5.44,3.57,8.05,-17.04,87.79,-11.37,-8.5,14.55,-4.42,-12.59,-10.77
36,-3.4808333333333334,-2.1657777245324117,February-2017,2.5,-6.87,-8.93,-2.35,5.9,-20.36,-3.26,3.1,1.39,7.04,-0.45
37,-4.343333333333333,-4.582477287527287,March-2017,-5.52,-5.5,-0.84,-6.02,-0.48,-5.65,-4.76,-14.37,-2.83,-2.71,-1.71
38,3.5808333333333335,-0.9856259236712362,April-2017,-0.66,4.12,9.93,11.32,-6.08,-2.16,-7.23,-9.02,-2.69,-5.27,-8.32
39,-5.147500000000001,-3.524602164213102,May-2017,-1.63,-8.71,-6.26,1.89,2.49,-0.73,2.6,-3.66,-13.05,-0.1,-10.56
40,18.33416666666667,4.084621043713233,June-2017,0.0,51.83,4.23,-4.21,-4.74,-10.3,-4.57,-1.82,1.23,-1.32,-0.04
41,-7.2275,-6.674965502957691,July-2017,-3.14,-11.69,-8.09,-12.29,-8.93,-3.74,-6.15,-7.26,1.15,-5.94,-6.79
42,4.683333333333334,-2.387761417980168,August-2017,8.33,-3.48,9.49,-10.19,-15.06,-13.51,-7.41,5.96,-9.41,2.11,0.07
43,5.3358333333333325,1.9626417948371069,September-2017,6.88,6.05,1.81,-1.88,2.51,5.5,-3.12,-5.43,5.43,3.53,-3.51
44,-3.205,-4.618787575040701,October-2017,-2.45,-4.64,-2.55,-5.72,-3.83,-8.86,-7.03,-10.97,-1.95,-1.0,-3.06
45,0.17583333333333329,-0.31073966005059744,November-2017,3.29,0.75,-5.78,10.88,1.3,-29.13,-2.87,13.3,5.51,3.2,-4.69
46,-3.658333333333333,-4.110373902833278,December-2017,1.1,-7.4,-6.6,-11.48,-5.97,-4.51,1.4,1.44,-3.95,2.72,-13.12
47,-0.17250000000000032,-0.03854132840539109,January-2018,3.78,2.79,-10.71,-2.96,-7.58,-1.52,0.92,7.06,2.5,3.42,2.23
48,2.1925,0.7922677166005291,February-2018,3.38,3.89,-2.05,2.96,-7.57,6.11,-6.68,1.1,2.47,-2.56,6.74
49,3.3741666666666665,2.421661165628353,March-2018,2.96,3.88,3.39,15.53,7.71,-15.35,0.27,3.14,1.53,2.32,0.11
50,-4.020833333333333,-4.712287616261053,April-2018,-6.98,0.96,-5.73,-7.26,-12.88,-4.23,-10.77,6.75,-5.31,-7.12,0.46
51,3.7524999999999995,3.351636452956765,May-2018,5.8,6.04,-2.71,16.48,-2.21,8.12,-7.7,4.99,4.99,-0.63,3.26
52,0.3391666666666666,1.0427883721024345,June-2018,4.31,0.19,-6.08,5.44,1.73,2.5,-4.48,-1.17,2.12,10.67,-3.35
53,-5.961666666666667,-1.8510732562576315,July-2018,-6.92,-5.89,-4.46,5.73,-1.01,-3.6,-5.38,5.08,5.13,2.38,-7.77
54,-11.711666666666668,-6.087502599830724,August-2018,-17.63,-8.98,-5.49,-2.23,-20.19,2.17,-3.11,-0.47,1.24,-10.1,4.3
55,13.994166666666668,11.222899837373273,September-2018,9.9,-7.48,49.45,-2.0,4.07,9.57,13.85,8.82,9.87,6.06,19.2
56,0.605,2.9932289029257784,October-2018,-0.18,-2.25,5.72,8.85,11.02,-4.79,2.87,-2.58,5.69,1.46,10.09
57,3.381666666666667,3.6992327636483897,November-2018,4.78,2.01,2.88,7.31,7.06,-9.67,43.93,4.59,-10.6,3.02,-15.97
58,-1.8866666666666667,-1.4273759187571686,December-2018,-3.8,-1.66,1.0,-3.35,2.64,-0.46,1.29,-1.23,-1.55,-10.49,2.64
59,-5.644166666666667,-0.44806479695073465,January-2019,4.07,-11.82,-13.6,2.4,10.33,-7.04,-2.49,-12.82,15.89,5.2,11.18
60,0.06333333333333335,1.1167840159840159,February-2019,-0.95,-0.19,2.09,14.23,-2.35,-3.17,4.26,-0.19,-0.88,3.23,-3.08
61,12.181666666666667,2.45964074617512,March-2019,2.94,30.68,2.92,-1.74,-2.06,-2.6,-0.13,-4.24,-4.31,-2.49,-2.06
