,meanHQ,meanER,Month,TATA STEEL LTD.HQ,PIDILITE INDUSTRIES LTD.HQ
0,1.5599999999999998,,February-2014,3.4,-2.12
1,-11.856666666666667,,March-2014,-14.47,-6.63
2,-2.52,,April-2014,-1.71,-4.14
3,-10.776666666666666,,May-2014,-18.57,4.81
4,-10.040000000000001,,June-2014,-11.22,-7.68
5,-7.853333333333334,,July-2014,-4.75,-14.06
6,1.39,,August-2014,7.2,-10.23
7,8.063333333333334,,September-2014,10.56,3.07
8,-5.760000000000001,,October-2014,-6.54,-4.2
9,-1.4833333333333334,,November-2014,3.28,-11.01
10,4.396666666666666,,December-2014,15.62,-18.05
11,-0.18000000000000002,,January-2015,2.23,-5.0
12,6.489999999999999,,February-2015,8.91,1.65
13,4.8566666666666665,,March-2015,10.91,-7.25
14,-7.27,,April-2015,-13.78,5.75
15,6.723333333333334,,May-2015,8.88,2.41
16,4.93,,June-2015,7.25,0.29
17,12.159999999999998,,July-2015,18.84,-1.2
18,5.21,,August-2015,9.0,-2.37
19,4.113333333333333,,September-2015,5.84,0.66
20,-10.629999999999999,,October-2015,-16.45,1.01
21,4.766666666666667,,November-2015,6.77,0.76
22,-8.326666666666666,,December-2015,-12.82,0.66
23,1.6733333333333336,,January-2016,3.66,-2.3
24,-0.9199999999999999,,February-2016,0.38,-3.52
25,-19.153333333333332,,March-2016,-28.26,-0.94
26,-7.146666666666667,,April-2016,-9.72,-2.0
27,-2.6233333333333335,,May-2016,4.59,-17.05
28,1.8066666666666666,,June-2016,3.75,-2.08
29,-7.293333333333334,,July-2016,-10.21,-1.46
30,-1.4233333333333331,,August-2016,-4.43,4.59
31,0.03999999999999989,,September-2016,-1.07,2.26
32,-7.5200000000000005,,October-2016,-8.08,-6.4
33,2.3066666666666666,,November-2016,-2.55,12.02
34,6.376666666666666,,December-2016,5.75,7.63
35,-16.883333333333333,,January-2017,-18.23,-14.19
36,-3.3166666666666664,,February-2017,-4.38,-1.19
37,-0.8266666666666667,,March-2017,0.0,-2.48
38,3.766666666666667,,April-2017,7.0,-2.7
39,-10.68,,May-2017,-12.49,-7.06
40,-6.7,,June-2017,-7.81,-4.48
41,-2.4966666666666666,,July-2017,-4.26,1.03
42,-10.01,,August-2017,-12.41,-5.21
43,0.3533333333333335,,September-2017,-2.05,5.16
44,-4.93,,October-2017,-8.08,1.37
45,-1.8099999999999998,,November-2017,1.21,-7.85
46,-5.923333333333333,,December-2017,-5.37,-7.03
47,2.736666666666667,,January-2018,3.74,0.73
48,3.0833333333333335,,February-2018,4.73,-0.21
49,9.24,,March-2018,15.01,-2.3
50,-8.88,,April-2018,-4.17,-18.3
51,0.046666666666666856,,May-2018,3.24,-6.34
52,3.546666666666667,,June-2018,1.32,8.0
53,-1.2833333333333334,,July-2018,0.88,-5.61
54,-5.87,,August-2018,-6.89,-3.83
55,5.853333333333334,,September-2018,3.54,10.48
56,6.043333333333334,,October-2018,4.82,8.49
57,-4.573333333333333,,November-2018,4.01,-21.74
58,2.6300000000000003,,December-2018,1.58,4.73
59,5.6000000000000005,,January-2019,8.8,-0.8
60,-4.623333333333334,,February-2019,-5.33,-3.21
61,-1.8033333333333335,,March-2019,-3.87,2.33
