,meanHQ,meanER,Month,BHARTI INFRATEL LTD.HQ,HERO MOTOCORP LTD.HQ,GAIL (INDIA) LTD.HQ,DABUR INDIA LTD.HQ,POWER GRID CORPORATION OF INDIA LTD.HQ,NESTLE INDIA LTD.HQ,NTPC LTD.HQ,BHARTI AIRTEL LTD.HQ,HCL TECHNOLOGIES LTD.HQ,OIL AND NATURAL GAS CORPORATION LTD.HQ,MARUTI SUZUKI INDIA LTD.HQ
0,0.5235319850288599,,February-2014,-4.89,0.27,-2.97,-0.55,0.94,3.86,10.92,8.77,-7.6,-5.83,3.0
1,-7.839660940046965,,March-2014,-13.01,-15.66,-1.66,-3.82,-11.05,-3.27,-6.53,-10.92,11.77,-9.31,-24.28
2,0.23519742973718663,,April-2014,-6.41,3.48,1.69,0.11,-0.67,4.72,3.08,-2.74,-0.95,-2.23,2.71
3,-10.553113729557479,,May-2014,-6.83,-6.83,-2.11,-4.54,-15.13,-3.49,-37.51,-4.99,-0.98,-16.1,-18.33
4,-7.240948451821455,,June-2014,-10.22,-12.09,-22.57,0.13,-14.29,-0.15,2.47,2.06,-5.59,-12.02,-7.44
5,-0.6746964625170354,,July-2014,-0.67,1.19,5.62,-10.39,4.6,-3.62,6.99,-10.6,-3.9,6.69,-3.53
6,-4.564853473182553,,August-2014,-2.34,-0.47,-1.71,-12.43,2.6,-17.04,5.03,0.78,-4.85,-10.07,-10.29
7,-3.7517226862707767,,September-2014,-12.4,-8.97,-1.14,4.39,-4.64,0.32,-0.69,-9.35,-5.21,5.99,-10.06
8,-4.192174096286943,,October-2014,0.71,-7.73,-17.89,-1.67,-7.39,-4.31,-8.15,1.47,6.42,0.99,-8.94
9,0.9770863017576558,,November-2014,-1.91,-2.63,7.79,-6.73,2.17,0.18,4.9,4.1,-3.54,6.31,0.07
10,1.9930754478481914,,December-2014,-12.61,1.23,8.81,3.13,2.88,-2.47,-1.05,7.62,3.98,10.09,0.23
11,-4.762844728243079,,January-2015,-6.36,7.54,4.65,-9.68,-7.17,-11.43,0.21,-5.64,-12.42,-3.0,-9.52
12,-0.9015991754098525,,February-2015,-2.7,6.51,2.53,-3.05,-6.02,1.51,-8.31,4.17,-12.62,7.54,0.74
13,5.560008020641267,,March-2015,-4.65,1.49,5.96,-0.57,7.43,0.85,5.39,-10.27,51.51,5.59,-2.24
14,3.530488451854858,,April-2015,-4.26,11.85,7.37,5.09,2.0,5.2,-2.0,3.11,10.22,0.72,-0.89
15,-7.621299409020762,,May-2015,-19.43,-15.74,-8.25,-7.5,-0.98,-4.2,9.05,-11.44,-15.04,-8.32,-1.43
16,2.716111045349327,,June-2015,6.82,6.37,-0.55,-3.53,3.2,7.46,-0.8,1.27,8.97,6.15,-6.27
17,-0.3953803215688632,,July-2015,-0.34,-5.95,9.34,-4.62,-1.76,0.04,2.1,0.31,-8.2,11.82,-7.65
18,9.298941061198962,,August-2015,10.8,10.36,16.65,6.7,7.7,5.79,10.04,15.31,2.51,12.18,3.76
19,-0.4202098358752871,,September-2015,11.21,0.07,-1.97,-0.95,-1.15,-6.26,-1.98,4.65,-1.09,4.3,-12.52
20,-1.3258222659381511,,October-2015,-9.61,-7.9,-2.18,2.21,2.57,2.69,-7.23,-3.18,11.46,-8.0,5.13
21,-1.4486336821004357,,November-2015,1.07,-4.55,-18.32,-1.28,-5.59,4.97,1.28,4.09,-0.26,5.47,-2.88
22,-3.032242122322765,,December-2015,-11.35,0.27,-2.78,-1.08,-3.86,0.83,-11.37,-1.61,1.88,-3.24,-0.84
23,6.097455476307387,,January-2016,15.79,4.91,2.21,9.6,-4.53,5.73,2.54,14.77,-1.23,6.53,11.22
24,8.415269365405042,,February-2016,1.11,2.46,17.04,4.9,11.86,8.71,15.82,-9.34,6.19,14.15,20.86
25,-10.201274241839693,,March-2016,-7.15,-17.75,-17.01,-4.77,-6.92,-15.09,-7.6,-10.78,-0.22,-10.64,-14.69
26,-1.6486619710247312,,April-2016,1.94,1.43,-1.11,-10.6,-3.13,0.44,-7.76,-3.68,7.82,-1.47,-2.04
27,-2.7811274400753567,,May-2016,-0.25,-6.82,-2.93,-5.24,-4.57,-6.18,-3.21,3.34,1.41,3.1,-9.83
28,-3.159423283262519,,June-2016,8.21,-2.64,-3.87,-6.28,-8.63,-6.39,-9.18,-4.12,1.26,-2.44,-0.41
29,-4.475289881202902,,July-2016,-14.6,-0.8,0.78,1.46,-7.95,-10.43,-1.31,1.12,-3.0,-1.69,-13.62
30,-0.07983465792181048,,August-2016,11.22,-10.64,-0.5,4.28,-4.6,8.46,-0.5,8.34,-3.55,-7.77,-6.26
31,0.8051681021524772,,September-2016,-4.02,3.75,2.62,6.67,4.16,2.0,6.75,5.36,-2.64,-8.29,-8.44
32,-3.950377303875394,,October-2016,4.71,1.75,-15.51,-7.7,0.79,-8.0,-1.85,-1.42,3.97,-12.95,-7.66
33,-0.15666865592933302,,November-2016,-7.91,5.53,1.68,3.03,-9.75,9.88,-7.87,-1.88,-4.53,0.33,10.77
34,4.941640633225442,,December-2016,8.43,3.92,-3.1,2.22,4.45,3.63,-0.95,5.9,-3.06,33.75,-1.13
35,-3.4538715172976455,,January-2017,14.55,-4.42,-6.68,0.29,-12.59,3.11,-4.89,-13.93,2.24,-5.59,-10.77
36,-0.49775345293209877,,February-2017,3.1,1.39,-10.68,0.14,7.04,-7.07,5.59,-4.96,-3.86,4.33,-0.45
37,0.11291486287310959,,March-2017,-14.37,-2.83,27.2,-0.47,-2.71,-6.81,-1.75,4.16,-3.92,4.32,-1.71
38,-3.204967412467933,,April-2017,-9.02,-2.69,-12.56,-3.39,-5.27,-0.32,0.93,-1.33,6.96,-0.68,-8.32
