,meanHQ,meanER,Month,TITAN COMPANY LIMITEDHQ,WIPRO LTD.ER,NTPC LTD.ER,MAHINDRA & MAHINDRA LTD.ER,ASIAN PAINTS LTD.ER,LARSEN & TOUBRO LTD.ER,BRITANNIA INDUSTRIES LTD.ER
0,-9.32,-4.283243165784832,February-2014,-9.32,-3.79,10.92,-9.32,-0.15,-12.47,-0.47
1,-8.36,-5.180107804232804,March-2014,-8.36,9.07,-6.53,-0.74,-15.55,-14.83,4.94
2,2.93,0.9136911375661375,April-2014,2.93,3.8,3.08,-9.33,7.57,-1.8,-2.32
3,-21.98,-14.613404541446206,May-2014,-21.98,3.26,-37.51,-14.77,-0.85,-19.56,-1.95
4,-13.48,-8.186605379188713,June-2014,-13.48,-7.91,2.47,6.71,-16.34,-9.86,-14.45
5,3.29,0.2938381834215169,July-2014,3.29,0.24,6.99,-4.88,-6.15,11.61,-13.63
6,-6.42,-4.732061728395062,August-2014,-6.42,-4.0,5.03,-16.86,0.79,-1.52,-8.92
7,-12.32,-4.401659171075838,September-2014,-12.32,-5.47,-0.69,3.17,-0.84,4.55,-12.09
8,3.54,-2.1828373015873015,October-2014,3.54,5.52,-8.15,4.32,-4.25,-13.54,-9.61
9,5.89,-1.013389991181658,November-2014,5.89,-3.91,4.9,-1.56,-13.34,0.89,-7.73
10,-3.03,0.31384149029982367,December-2014,-3.03,5.41,-1.05,6.74,-1.08,8.76,-11.57
11,-12.93,-8.548638227513228,January-2015,-12.93,-9.48,0.21,-2.31,-14.06,-13.61,-2.63
12,2.33,-2.9847775573192243,February-2015,2.33,-8.73,-8.31,-2.26,4.56,-3.93,-10.87
13,6.78,4.194572089947091,March-2015,6.78,4.77,5.39,8.08,1.17,2.71,-3.09
14,2.35,3.7762583774250444,April-2015,2.35,14.22,-2.0,3.54,5.67,5.03,-1.61
15,1.38,-2.6988608906525573,May-2015,1.38,-4.28,9.05,-10.05,-3.16,-1.4,-16.22
16,3.01,-0.5225612874779543,June-2015,3.01,3.11,-0.8,-1.67,4.14,-7.7,-8.41
17,11.55,-1.9384503968253963,July-2015,11.55,-4.59,2.1,-6.28,-16.83,-0.38,-14.22
18,-4.29,3.9920414462081126,August-2015,-4.29,-0.4,10.04,10.18,3.73,10.3,7.2
19,5.8,0.8649958112874779,September-2015,5.8,-4.5,-1.98,-3.09,0.88,8.63,-5.26
20,-9.6,-1.9289953703703706,October-2015,-9.6,3.99,-7.23,6.2,1.47,3.79,-4.68
21,-9.55,-3.0545008818342145,November-2015,-9.55,0.1,1.28,-15.62,-1.42,2.63,9.39
22,9.24,2.1725972222222225,December-2015,9.24,2.25,-11.37,7.0,-5.16,7.16,-1.36
23,-4.96,2.3866488095238094,January-2016,-4.96,-0.25,2.54,3.06,1.7,13.6,9.48
24,13.07,6.58808774250441,February-2016,13.07,7.36,15.82,0.48,2.34,2.08,-2.82
25,-7.1,-5.216824074074074,March-2016,-7.1,-8.36,-7.6,1.4,-2.37,-12.69,3.01
26,-4.9,-4.43307848324515,April-2016,-4.9,1.71,-7.76,-10.09,0.07,-3.07,-6.79
27,-1.07,-3.7520445326278655,May-2016,-1.07,1.35,-3.21,0.53,-13.36,-17.61,5.29
28,-12.67,-6.330388668430335,June-2016,-12.67,-2.22,-9.18,-7.87,-1.99,-1.49,-1.88
29,-3.55,-3.7304369488536153,July-2016,-3.55,2.34,-1.31,-2.66,-11.06,-4.13,-6.28
30,0.21,-0.6198240740740738,August-2016,0.21,10.05,-0.5,1.97,-4.0,2.83,-17.88
31,5.38,3.775389550264551,September-2016,5.38,2.62,6.75,2.23,-0.25,5.43,2.52
32,3.49,2.52064417989418,October-2016,3.49,2.65,-1.85,6.25,7.46,-3.14,1.61
33,15.66,7.225106701940035,November-2016,15.66,-0.02,-7.87,10.02,9.81,6.37,8.3
34,-1.15,1.2553628747795413,December-2016,-1.15,-1.91,-0.95,0.13,8.09,2.4,5.12
35,-11.37,-6.61557208994709,January-2017,-11.37,3.57,-4.89,-4.64,-8.91,-7.07,-8.5
36,-20.36,-7.330609347442681,February-2017,-20.36,-6.87,5.59,-5.45,-5.53,-1.77,-3.26
37,-5.65,-4.167288359788359,March-2017,-5.65,-5.5,-1.75,1.7,-4.56,-7.3,-4.76
38,-2.16,-3.1282993827160492,April-2017,-2.16,4.12,0.93,-3.88,-4.52,-10.8,-7.23
39,-0.73,-1.9080330687830687,May-2017,-0.73,-8.71,2.65,-6.13,-2.95,-0.67,2.6
40,-10.3,5.260458994708995,June-2017,-10.3,51.83,1.0,4.85,4.2,4.09,-4.57
41,-3.74,-1.0584179894179895,July-2017,-3.74,-11.69,-3.57,-4.03,-5.01,29.37,-6.15
42,-13.51,-4.052835097001763,August-2017,-13.51,-3.48,-2.8,4.08,-0.75,4.71,-7.41
43,5.5,3.294444003527337,September-2017,5.5,6.05,0.86,6.77,4.37,-0.46,-3.12
44,-8.86,-7.159360670194003,October-2017,-8.86,-4.64,-7.92,-7.28,-5.7,-6.96,-7.03
45,-29.13,-7.90084656084656,November-2017,-29.13,0.75,-0.22,-4.87,2.79,0.31,-2.87
46,-4.51,3.752450837742504,December-2017,-4.51,-7.4,2.05,46.75,-0.88,-3.3,1.4
47,-1.52,-0.9332614638447971,January-2018,-1.52,2.79,3.92,-1.65,2.32,-12.7,0.92
48,6.11,3.4102010582010585,February-2018,6.11,3.89,4.11,4.55,1.08,6.88,-6.68
49,-15.35,-4.042824735449736,March-2018,-15.35,3.88,-3.95,-1.57,-0.17,0.55,0.27
50,-4.23,-6.350954365079365,April-2018,-4.23,0.96,-1.38,-17.89,-7.09,-6.76,-10.77
51,8.12,0.7965950176366843,May-2018,8.12,6.04,2.96,-5.83,-8.79,2.36,-7.7
52,2.5,2.3871335978835977,June-2018,2.5,0.19,4.49,2.89,3.18,7.04,-4.48
53,-3.6,-4.606296516754851,July-2018,-3.6,-5.89,2.7,-4.14,-14.57,-2.46,-5.38
54,2.17,-2.615503086419753,August-2018,2.17,-8.98,-10.12,-3.36,5.33,-5.11,-3.11
55,9.57,6.369056657848324,September-2018,9.57,-7.48,2.49,10.83,5.62,7.48,13.85
56,-4.79,1.114094356261023,October-2018,-4.79,-2.25,4.08,11.31,5.16,-2.5,2.87
57,-9.67,1.3256126543209876,November-2018,-9.67,2.01,12.42,-3.52,-9.59,-10.11,43.93
58,-0.46,-1.5446302910052911,December-2018,-0.46,-1.66,-6.22,-1.71,-2.14,-0.62,1.29
59,-7.04,-0.1526219135802472,January-2019,-7.04,-11.82,5.89,15.29,-2.84,8.7,-2.49
60,-3.17,0.38004717813051153,February-2019,-3.17,-0.19,-1.18,5.03,0.54,1.44,4.26
61,-2.6,1.5695233686067018,March-2019,-2.6,30.68,-7.63,-3.62,1.53,-3.39,-0.13
