,meanHQ,meanER,Month,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.HQ,SUN PHARMACEUTICAL INDUSTRIES LTD.HQ,AXIS BANK LTD.HQ,ICICI BANK LTD.HQ,OIL AND NATURAL GAS CORPORATION LTD.ER,MARUTI SUZUKI INDIA LTD.ER,PIDILITE INDUSTRIES LTD.ER,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,BAJAJ FINSERV LTD.ER,INDIAN OIL CORPORATION LTD.ER,ASIAN PAINTS LTD.ER,BAJAJ FINANCE LIMITEDER,LARSEN & TOUBRO LTD.ER,KOTAK MAHINDRA BANK LTD.ER,HDFC BANK LTDER,RELIANCE INDUSTRIES LTD.ER,ITC LTD.ER,HINDUSTAN ZINC LTD.ER,DABUR INDIA LTD.ER,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER
0,-10.856166666666665,-3.734661474583269,February-2014,-14.12,-9.27,-13.07,-5.58,-5.83,3.0,-2.12,-3.56,-7.77,-5.78,-1.14,-0.15,-2.86,-12.47,-4.0,-6.14,3.8,-0.74,9.85,-0.55,10.92,-7.6
1,-8.262333333333332,-11.131302185259274,March-2014,-12.11,10.79,-15.37,-19.33,-9.31,-24.28,-6.63,-26.1,-18.97,-9.8,-12.45,-15.55,-14.11,-14.83,-13.88,-12.19,-16.3,-7.77,-9.98,-3.82,-6.53,11.77
2,-3.8235,-0.10230016195176213,April-2014,-0.43,-10.15,-4.02,0.05,-2.23,2.71,-4.14,4.43,7.36,-4.75,5.86,7.57,-4.71,-1.8,-3.25,4.09,-0.62,3.46,-0.23,0.11,3.08,-0.95
3,-12.636,-12.573580047243505,May-2014,-19.94,3.82,-20.86,-13.95,-16.1,-18.33,4.81,-11.45,-17.6,-3.04,-37.39,-0.85,-7.82,-19.56,-8.0,-10.56,-13.88,-0.22,-22.15,-4.54,-37.51,-0.98
4,-6.8341666666666665,-4.821113267169201,June-2014,-7.81,-12.98,-4.64,-0.0,-12.02,-7.44,-7.68,-6.99,-9.0,-9.68,4.35,-16.34,0.98,-9.86,-2.03,-3.43,4.74,4.86,-6.11,0.13,2.47,-5.59
5,13.073500000000001,1.7739784631862696,July-2014,-7.06,-15.22,79.61,-3.85,6.69,-3.53,-14.06,1.89,6.83,-0.84,3.98,-6.15,-10.22,11.61,-7.74,-1.5,0.86,-9.63,3.12,-10.39,6.99,-3.9
6,-6.044500000000001,-5.450034773459325,August-2014,-8.5,-8.08,-1.39,-5.67,-10.07,-10.29,-10.23,-4.17,-5.16,-11.32,-8.28,0.79,-11.94,-1.52,-8.64,-1.12,0.67,0.29,-2.38,-12.43,5.03,-4.85
7,3.1903333333333337,-0.2605925265265921,September-2014,1.73,-0.32,4.91,7.79,5.99,-10.06,3.07,-6.07,-3.07,-7.56,-0.74,-0.84,-9.81,4.55,2.18,-3.39,5.39,-4.39,2.75,4.39,-0.69,-5.21
8,-6.988666666666665,-4.617513839954494,October-2014,-2.37,1.37,-16.13,-13.25,0.99,-8.94,-4.2,-16.1,2.81,5.53,-0.61,-4.25,-3.23,-13.54,-10.42,-4.67,-5.7,4.18,-6.81,-1.67,-8.15,6.42
9,-4.383,-3.260727881765851,November-2014,-2.02,0.71,-9.64,-7.95,6.31,0.07,-11.01,-4.55,2.4,-7.8,-0.27,-13.34,-10.2,0.89,-7.43,-4.96,0.84,-2.18,4.89,-6.73,4.9,-3.54
10,12.561833333333333,2.340743501354788,December-2014,-9.7,1.6,-4.37,79.88,10.09,0.23,-18.05,-6.79,-7.28,-14.01,9.08,-1.08,-12.89,8.76,-5.07,0.56,10.06,-1.49,-4.25,3.13,-1.05,3.98
11,-9.636333333333335,-8.427366715743796,January-2015,-6.92,-10.87,-17.26,-2.31,-3.0,-9.52,-5.0,-8.53,-17.54,-9.98,-4.72,-14.06,-16.16,-13.61,-4.57,-13.03,-2.72,-0.05,-2.61,-9.68,0.21,-12.42
12,0.791,-0.5690588310848934,February-2015,2.94,0.54,-4.2,4.32,7.54,0.74,1.65,-5.16,0.08,2.44,4.38,4.56,-7.88,-3.93,-5.8,0.76,5.36,1.99,-0.77,-3.05,-8.31,-12.62
13,2.5778333333333334,4.797475452862944,March-2015,6.79,-12.21,8.64,8.75,5.59,-2.24,-7.25,3.65,8.36,1.25,-10.92,1.17,6.11,2.71,6.03,4.21,4.8,9.91,8.12,-0.57,5.39,51.51
14,-0.06283333333333338,1.5933976561988548,April-2015,-3.1,8.1,-1.33,-5.06,0.72,-0.89,5.75,6.63,7.27,-2.77,2.17,5.67,2.12,5.03,-1.58,3.29,-4.63,0.98,-4.6,5.09,-2.0,10.22
15,-1.208,-3.143630218344388,May-2015,-1.9,-2.8,-3.06,4.21,-8.32,-1.43,2.41,-6.16,-11.65,-6.66,1.21,-3.16,-5.22,-1.4,-4.97,-6.26,-1.66,-1.4,0.12,-7.5,9.05,-15.04
16,5.631333333333334,-0.8441784192325805,June-2015,4.87,9.48,4.55,2.93,6.15,-6.27,0.29,0.3,-0.5,-0.2,-8.05,4.14,-29.34,-7.7,0.89,-1.56,-14.06,3.58,1.24,-3.53,-0.8,8.97
17,-0.23383333333333348,-1.2289753770445884,July-2015,-5.25,5.89,-2.7,1.79,11.82,-7.65,-1.2,-12.1,-5.29,-20.95,-12.13,-16.83,-0.73,-0.38,49.87,-4.1,-0.12,-3.54,5.99,-4.62,2.1,-8.2
18,-0.5561666666666664,5.64267081832827,August-2015,-9.4,-9.11,11.69,8.07,12.18,3.76,-2.37,12.35,7.99,1.54,3.85,3.73,8.6,10.3,6.43,7.47,14.46,0.28,19.14,6.7,10.04,2.51
19,6.3919999999999995,0.7368346640428389,September-2015,15.56,3.26,2.2,2.82,4.3,-12.52,0.66,-9.96,7.53,4.75,3.03,0.88,-1.47,8.63,0.32,-3.96,-0.43,-1.11,-10.0,-0.95,-1.98,-1.09
20,0.26783333333333337,-1.818272863145783,October-2015,1.27,-2.37,4.16,-2.5,-8.0,5.13,1.01,3.3,-7.61,-13.01,0.75,1.47,-2.29,3.79,-6.13,-2.63,-10.15,-1.76,-12.39,2.21,-7.23,11.46
21,7.900166666666666,1.6074966849446142,November-2015,9.25,17.81,1.28,1.05,5.47,-2.88,0.76,-2.45,2.66,0.98,-5.45,-1.42,-5.61,2.63,-0.52,1.92,-2.13,-2.54,8.44,-1.28,1.28,-0.26
22,-0.5003333333333334,-1.5822521204857631,December-2015,2.83,-12.22,4.13,4.62,-3.24,-0.84,0.66,-3.78,0.78,-2.57,-1.85,-5.16,-9.19,7.16,-3.81,-0.63,-4.61,4.55,-2.02,-1.08,-11.37,1.88
23,8.180333333333333,4.302802393898063,January-2016,18.38,-6.47,9.2,11.99,6.53,11.22,-2.3,4.32,-1.47,5.94,6.43,1.7,1.74,13.6,5.03,3.12,-2.22,2.47,-9.58,9.6,2.54,-1.23
24,8.260333333333334,7.395931456536748,February-2016,7.8,2.06,8.06,17.43,14.15,20.86,-3.52,10.36,2.09,13.83,8.44,2.34,-0.32,2.08,7.64,7.28,6.62,7.42,0.28,4.9,15.82,6.19
25,-15.862666666666666,-10.871469300915484,March-2016,-26.31,4.16,-18.47,-24.5,-10.64,-14.69,-0.94,-16.46,-16.62,-5.79,-7.13,-2.37,-16.9,-12.69,-8.05,-10.14,-8.14,-10.9,-14.54,-4.77,-7.6,-0.22
26,-0.2151666666666668,-1.8797964298826946,April-2016,3.82,0.99,-6.23,-0.02,-1.47,-2.04,-2.0,-8.43,2.0,-9.51,-10.03,0.07,1.4,-3.07,-5.08,-5.81,6.0,0.99,6.35,-10.6,-7.76,7.82
27,4.005000000000001,-3.1070178814426836,May-2016,19.16,5.99,-9.18,-3.63,3.1,-9.83,-17.05,-5.18,-2.12,2.25,3.96,-13.36,-10.88,-17.61,-4.35,-4.23,2.4,-8.25,0.58,-5.24,-3.21,1.41
28,-2.563,-3.995280560742295,June-2016,-7.32,-0.12,-3.46,2.04,-2.44,-0.41,-2.08,-0.64,-5.65,-27.15,-5.98,-1.99,-5.46,-1.49,-2.2,0.46,-1.09,-4.69,-5.24,-6.28,-9.18,1.26
29,-8.247666666666666,-6.667340462361142,July-2016,-12.22,-8.66,-2.36,-9.43,-1.69,-13.62,-1.46,-6.06,-8.61,-17.28,-23.33,-11.06,-29.64,-4.13,0.16,-6.01,-4.75,31.42,-13.35,1.46,-1.31,-3.0
30,-3.869666666666666,-3.7681036268072376,August-2016,-13.26,6.62,-9.08,1.96,-7.77,-6.26,4.59,-0.59,-8.73,-9.07,-5.95,-4.0,-6.4,2.83,-5.89,-3.55,-4.19,-3.01,-11.26,4.28,-0.5,-3.55
31,4.4245,5.197948196830413,September-2016,2.26,4.15,9.03,2.1,-8.29,-8.44,2.26,-0.96,4.25,-3.62,-1.22,-0.25,90.41,5.43,3.46,1.48,-2.28,7.11,-2.87,6.67,6.75,-2.64
32,-5.0151666666666666,-1.4743915405642014,October-2016,-18.89,-0.75,9.98,-9.79,-12.95,-7.66,-6.4,0.14,-2.94,-10.87,44.48,7.46,-2.27,-3.14,-5.35,1.42,2.86,-0.14,-8.27,-7.7,-1.85,3.97
33,5.695833333333333,5.17368639861073,November-2016,9.01,5.07,3.7,4.33,0.33,10.77,12.02,8.81,9.5,12.42,5.49,9.81,14.92,6.37,7.83,4.32,5.56,3.72,-11.76,3.03,-7.87,-4.53
34,5.789166666666667,4.034709468063599,December-2016,3.47,11.34,4.2,3.66,33.75,-1.13,7.63,-1.66,9.69,3.04,-6.49,8.09,8.72,2.4,4.91,-0.38,-8.8,-3.46,9.5,2.22,-0.95,-3.06
35,-4.7125,-7.925310994554912,January-2017,-9.44,-0.29,-3.53,-5.39,-5.59,-10.77,-14.19,-13.1,-13.8,-11.96,-12.41,-8.91,-23.47,-7.07,-7.44,-6.87,3.4,-7.1,-16.83,0.29,-4.89,2.24
36,-5.516166666666667,-4.631762632338554,February-2017,-2.85,-7.51,-8.64,-2.73,4.33,-0.45,-1.19,-4.9,-2.13,-22.33,-5.16,-5.53,-6.86,-1.77,-3.68,-7.95,-18.67,-1.59,-3.22,0.14,5.59,-3.86
