,meanHQ,meanER,Month,SHREE CEMENT LTD.HQ,HINDUSTAN ZINC LTD.HQ,BOSCH LTD.ER,HERO MOTOCORP LTD.ER,BHARTI AIRTEL LTD.ER,VEDANTA LIMITEDER,BAJAJ AUTO LTD.ER,INDUSIND BANK LTD.ER,ULTRATECH CEMENT LTD.ER,BAJAJ FINSERV LTD.ER,BAJAJ FINANCE LIMITEDER,STATE BANK OF INDIAER,ICICI BANK LTD.ER,TITAN COMPANY LIMITEDER,SUN PHARMACEUTICAL INDUSTRIES LTD.ER
0,-0.6300000000000002,-2.035255736899443,February-2014,-5.87,9.85,-4.58,0.27,8.77,5.78,-2.1,-3.56,-7.77,-5.78,-2.86,-0.4,-5.58,-9.32,-9.27
1,-17.0,-13.46702363146889,March-2014,-20.51,-9.98,-15.93,-15.66,-10.92,-5.83,-6.98,-26.1,-18.97,-9.8,-14.11,-25.24,-19.33,-8.36,10.79
2,-0.59,-0.048007280379049055,April-2014,-0.77,-0.23,3.22,3.48,-2.74,1.52,7.93,4.43,7.36,-4.75,-4.71,-8.37,0.05,2.93,-10.15
3,-20.543333333333333,-14.995965127797861,May-2014,-19.74,-22.15,-17.17,-6.83,-4.99,-51.0,-2.07,-11.45,-17.6,-3.04,-7.82,-22.27,-13.95,-21.98,3.82
4,-6.376666666666666,-7.400191294131391,June-2014,-6.51,-6.11,-9.99,-12.09,2.06,-4.51,-18.43,-6.99,-9.0,-9.68,0.98,-5.67,-0.0,-13.48,-12.98
5,-0.006666666666666672,-0.2513057993354715,July-2014,-1.57,3.12,1.12,1.19,-10.6,0.6,10.16,1.89,6.83,-0.84,-10.22,9.16,-3.85,3.29,-15.22
6,-5.420000000000001,-5.170751688959395,August-2014,-6.94,-2.38,-10.69,-0.47,0.78,4.55,-8.74,-4.17,-5.16,-11.32,-11.94,-0.85,-5.67,-6.42,-8.08
7,-3.6366666666666667,-3.7782148413561725,September-2014,-6.83,2.75,-1.32,-8.97,-9.35,1.66,-3.95,-6.07,-3.07,-7.56,-9.81,0.74,7.79,-12.32,-0.32
8,-7.789999999999999,-3.9727555356412494,October-2014,-8.28,-6.81,0.8,-7.73,1.47,6.16,-11.07,-16.1,2.81,5.53,-3.23,-10.62,-13.25,3.54,1.37
9,2.59,3.642262269860224,November-2014,1.44,4.89,-27.28,-2.63,4.1,9.56,-1.17,-4.55,2.4,-7.8,-10.2,88.1,-7.95,5.89,0.71
10,-4.67,3.0006312241311797,December-2014,-4.88,-4.25,-2.66,1.23,7.62,7.44,7.62,-6.79,-7.28,-14.01,-12.89,2.99,79.88,-3.03,1.6
11,-11.81,-7.566989005985406,January-2015,-16.41,-2.61,-22.42,7.54,-5.64,5.77,2.01,-8.53,-17.54,-9.98,-16.16,0.59,-2.31,-12.93,-10.87
12,0.5566666666666666,0.2561782074674876,February-2015,1.22,-0.77,-8.6,6.51,4.17,-7.86,9.52,-5.16,0.08,2.44,-7.88,2.71,4.32,2.33,0.54
13,3.0466666666666664,3.7232778991360633,March-2015,0.51,8.12,1.91,1.49,-10.27,12.94,6.68,3.65,8.36,1.25,6.11,11.47,8.75,6.78,-12.21
14,1.92,2.4040598661295567,April-2015,5.18,-4.6,11.34,11.85,3.11,-10.85,3.37,6.63,7.27,-2.77,2.12,-1.14,-5.06,2.35,8.1
15,-5.073333333333333,-5.464525146729529,May-2015,-7.67,0.12,-5.11,-15.74,-11.44,6.33,-18.75,-6.16,-11.65,-6.66,-5.22,-3.0,4.21,1.38,-2.8
16,-1.5999999999999999,0.26807735508891506,June-2015,-3.02,1.24,7.36,6.37,1.27,11.59,-9.53,0.3,-0.5,-0.2,-29.34,5.52,2.93,3.01,9.48
17,1.6233333333333333,-0.5256820956975257,July-2015,-0.56,5.99,-12.45,-5.95,0.31,25.16,0.65,-12.1,-5.29,-20.95,-0.73,-2.89,1.79,11.55,5.89
18,9.806666666666667,8.439509533740216,August-2015,5.14,19.14,5.62,10.36,15.31,24.24,10.49,12.35,7.99,1.54,8.6,8.62,8.07,-4.29,-9.11
19,-9.353333333333333,1.2971228820746143,September-2015,-9.03,-10.0,16.58,0.07,4.65,13.69,-2.43,-9.96,7.53,4.75,-1.47,3.99,2.82,5.8,3.26
20,-7.25,-6.44085251298495,October-2015,-4.68,-12.39,-5.46,-7.9,-3.18,-17.51,-10.38,3.3,-7.61,-13.01,-2.29,0.02,-2.5,-9.6,-2.37
21,9.453333333333333,2.9464698787853383,November-2015,9.96,8.44,8.71,-4.55,4.09,9.95,2.67,-2.45,2.66,0.98,-5.61,-5.59,1.05,-9.55,17.81
22,-2.9133333333333336,-0.8759742254600779,December-2015,-3.36,-2.02,0.04,0.27,-1.61,-0.28,-2.09,-3.78,0.78,-2.57,-9.19,10.4,4.62,9.24,-12.22
23,2.6133333333333337,5.490370169911892,January-2016,8.71,-9.58,6.57,4.91,14.77,20.6,7.56,4.32,-1.47,5.94,1.74,19.81,11.99,-4.96,-6.47
24,2.6133333333333333,5.092893960794013,February-2016,3.78,0.28,3.81,2.46,-9.34,1.19,6.04,10.36,2.09,13.83,-0.32,11.98,17.43,13.07,2.06
