,meanHQ,meanER,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,VEDANTA LIMITEDER,JSW STEEL LTD.ER,TITAN COMPANY LIMITEDER,BRITANNIA INDUSTRIES LTD.ER,POWER GRID CORPORATION OF INDIA LTD.ER_x,GODREJ CONSUMER PRODUCTS LTD.ER_x,MAHINDRA & MAHINDRA LTD.ER_x,INDUSIND BANK LTD.ER_x,ULTRATECH CEMENT LTD.ER_x,TATA CONSULTANCY SERVICES LTD.ER_x,RELIANCE INDUSTRIES LTD.ER_x,COAL INDIA LTD.ER_x,POWER GRID CORPORATION OF INDIA LTD.ER_y,GODREJ CONSUMER PRODUCTS LTD.ER_y,MAHINDRA & MAHINDRA LTD.ER_y,INDUSIND BANK LTD.ER_y,ULTRATECH CEMENT LTD.ER_y,TATA CONSULTANCY SERVICES LTD.ER_y,RELIANCE INDUSTRIES LTD.ER_y,COAL INDIA LTD.ER_y,HINDUSTAN UNILEVER LTD.ER,OIL AND NATURAL GAS CORPORATION LTD.ER,DABUR INDIA LTD.ER_x,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER,HERO MOTOCORP LTD.ER,DABUR INDIA LTD.ER_y,BAJAJ AUTO LTD.ER,HINDUSTAN ZINC LTD.ER
10,14.39,3.1224048253354986,December-2014,-2.66,5.41,54.78,7.44,12.91,-3.03,-11.57,2.88,-1.87,6.74,-6.79,-7.28,3.34,10.06,-8.17,2.88,-1.87,6.74,-6.79,-7.28,3.34,10.06,-8.17,3.45,10.09,3.13,-1.05,3.98,1.23,3.13,7.62,-4.25
11,-14.67666666666667,-5.6550361868351136,January-2015,-22.42,-9.48,-8.7,5.77,6.7,-12.93,-2.63,-7.17,-9.43,-2.31,-8.53,-17.54,2.88,-2.72,5.97,-7.17,-9.43,-2.31,-8.53,-17.54,2.88,-2.72,5.97,-22.82,-3.0,-9.68,0.21,-12.42,7.54,-9.68,2.01,-2.61
12,-8.268333333333333,-3.5583438454988596,February-2015,-8.6,-8.73,-7.1,-7.86,-3.43,2.33,-10.87,-6.02,-6.54,-2.26,-5.16,0.08,-7.83,5.36,-9.15,-6.02,-6.54,-2.26,-5.16,0.08,-7.83,5.36,-9.15,2.47,7.54,-3.05,-8.31,-12.62,6.51,-3.05,9.52,-0.77
13,3.2383333333333333,6.908849882598581,March-2015,1.91,4.77,3.41,12.94,10.21,6.78,-3.09,7.43,7.98,8.08,3.65,8.36,4.79,4.8,7.99,7.43,7.98,8.08,3.65,8.36,4.79,4.8,7.99,4.06,5.59,-0.57,5.39,51.51,1.49,-0.57,6.68,8.12
14,12.5575,3.1124583599061544,April-2015,11.34,14.22,12.37,-10.85,-2.72,2.35,-1.61,2.0,-1.6,3.54,6.63,7.27,3.16,-4.63,-0.17,2.0,-1.6,3.54,6.63,7.27,3.16,-4.63,-0.17,2.68,0.72,5.09,-2.0,10.22,11.85,5.09,3.37,-4.6
15,-4.585833333333333,-5.356641499132813,May-2015,-5.11,-4.28,-4.12,6.33,1.76,1.38,-16.22,-0.98,0.7,-10.05,-6.16,-11.65,-5.84,-1.66,-7.8,-0.98,0.7,-10.05,-6.16,-11.65,-5.84,-1.66,-7.8,-1.21,-8.32,-7.5,9.05,-15.04,-15.74,-7.5,-18.75,0.12
16,16.923333333333332,0.5391438598901096,June-2015,7.36,3.11,51.28,11.59,4.79,3.01,-8.41,3.2,-17.21,-1.67,0.3,-0.5,2.24,-14.06,-7.6,3.2,-17.21,-1.67,0.3,-0.5,2.24,-14.06,-7.6,-6.59,6.15,-3.53,-0.8,8.97,6.37,-3.53,-9.53,1.24
17,-9.07,-2.7830093116710177,July-2015,-12.45,-4.59,-9.41,25.16,3.95,11.55,-14.22,-1.76,-11.35,-6.28,-12.1,-5.29,1.65,-0.12,-4.33,-1.76,-11.35,-6.28,-12.1,-5.29,1.65,-0.12,-4.33,-0.5,11.82,-4.62,2.1,-8.2,-5.95,-4.62,0.65,5.99
18,1.8108333333333335,7.462235218869311,August-2015,5.62,-0.4,-1.59,24.24,-9.93,-4.29,7.2,7.7,2.59,10.18,12.35,7.99,-2.2,14.46,16.61,7.7,2.59,10.18,12.35,7.99,-2.2,14.46,16.61,6.47,12.18,6.7,10.04,2.51,10.36,6.7,10.49,19.14
19,3.918333333333333,1.3447304140312173,September-2015,16.58,-4.5,-5.96,13.69,3.54,5.8,-5.26,-1.15,8.93,-3.09,-9.96,7.53,-0.88,-0.43,10.88,-1.15,8.93,-3.09,-9.96,7.53,-0.88,-0.43,10.88,5.59,4.3,-0.95,-1.98,-1.09,0.07,-0.95,-2.43,-10.0
