,meanHQ,meanER,Month,BOSCH LTD.HQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,VEDANTA LIMITEDER,JSW STEEL LTD.ER,TITAN COMPANY LIMITEDER,BRITANNIA INDUSTRIES LTD.ER,HINDUSTAN UNILEVER LTD.ER,HERO MOTOCORP LTD.ER_x,DABUR INDIA LTD.ER_x,BAJAJ AUTO LTD.ER_x,HINDUSTAN ZINC LTD.ER_x,BAJAJ FINSERV LTD.ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.ER,HCL TECHNOLOGIES LTD.ER_x,HERO MOTOCORP LTD.ER_y,DABUR INDIA LTD.ER_y,BAJAJ AUTO LTD.ER_y,HINDUSTAN ZINC LTD.ER_y,DABUR INDIA LTD.ER,NTPC LTD.ER,HCL TECHNOLOGIES LTD.ER_y,INFOSYS LTD.ER
0,-3.986666666666667,-0.46658430307935916,February-2014,-4.58,-3.79,-3.26,5.78,4.73,-9.32,-0.47,3.78,0.27,-0.55,-2.1,9.85,-5.78,-1.28,-7.6,0.27,-0.55,-2.1,9.85,-0.55,10.92,-7.6,-3.26
1,-0.07166666666666677,-3.9410872520424745,March-2014,-15.93,9.07,14.17,-5.83,-18.48,-8.36,4.94,-9.99,-15.66,-3.82,-6.98,-9.98,-9.8,-8.0,11.77,-15.66,-3.82,-6.98,-9.98,-3.82,-6.53,11.77,14.17
2,3.3833333333333333,1.5735032982027735,April-2014,3.22,3.8,3.1,1.52,-4.56,2.93,-2.32,6.09,3.48,0.11,7.93,-0.23,-4.75,-1.56,-0.95,3.48,0.11,7.93,-0.23,0.11,3.08,-0.95,3.1
3,-4.2125,-8.865180214277753,May-2014,-17.17,3.26,7.42,-51.0,-11.95,-21.98,-1.95,-6.01,-6.83,-4.54,-2.07,-22.15,-3.04,2.33,-0.98,-6.83,-4.54,-2.07,-22.15,-4.54,-37.51,-0.98,7.42
4,-9.391666666666667,-7.910170442607539,June-2014,-9.99,-7.91,-10.37,-4.51,-2.11,-13.48,-14.45,-3.09,-12.09,0.13,-18.43,-6.11,-9.68,-13.01,-5.59,-12.09,0.13,-18.43,-6.11,0.13,2.47,-5.59,-10.37
5,-0.37083333333333335,-1.3996737121371614,July-2014,1.12,0.24,-3.67,0.6,4.67,3.29,-13.63,-10.65,1.19,-10.39,10.16,3.12,-0.84,-7.74,-3.9,1.19,-10.39,10.16,3.12,-10.39,6.99,-3.9,-3.67
6,-7.4825,-5.720446495686555,August-2014,-10.69,-4.0,-6.78,4.55,-5.61,-6.42,-8.92,-8.13,-0.47,-12.43,-8.74,-2.38,-11.32,-0.61,-4.85,-0.47,-12.43,-8.74,-2.38,-12.43,5.03,-4.85,-6.78
7,-3.4433333333333334,-2.4525918790213286,September-2014,-1.32,-5.47,-4.28,1.66,7.08,-12.32,-12.09,-0.62,-8.97,4.39,-3.95,2.75,-7.56,1.98,-5.21,-8.97,4.39,-3.95,2.75,4.39,-0.69,-5.21,-4.28
8,0.14583333333333304,-2.8542163137767234,October-2014,0.8,5.52,-8.11,6.16,-8.97,3.54,-9.61,1.01,-7.73,-1.67,-11.07,-6.81,5.53,-5.07,6.42,-7.73,-1.67,-11.07,-6.81,-1.67,-8.15,6.42,-8.11
9,-14.569999999999999,-3.659851296254558,November-2014,-27.28,-3.91,-7.6,9.56,4.66,5.89,-7.73,-6.53,-2.63,-6.73,-1.17,4.89,-7.8,-4.9,-3.54,-2.63,-6.73,-1.17,4.89,-6.73,4.9,-3.54,-7.6
10,14.39,6.146846169041139,December-2014,-2.66,5.41,54.78,7.44,12.91,-3.03,-11.57,3.45,1.23,3.13,7.62,-4.25,-14.01,2.16,3.98,1.23,3.13,7.62,-4.25,3.13,-1.05,3.98,54.78
11,-14.67666666666667,-6.293983712580299,January-2015,-22.42,-9.48,-8.7,5.77,6.7,-12.93,-2.63,-22.82,7.54,-9.68,2.01,-2.61,-9.98,-11.51,-12.42,7.54,-9.68,2.01,-2.61,-9.68,0.21,-12.42,-8.7
12,-8.268333333333333,-3.0116561019451633,February-2015,-8.6,-8.73,-7.1,-7.86,-3.43,2.33,-10.87,2.47,6.51,-3.05,9.52,-0.77,2.44,-5.57,-12.62,6.51,-3.05,9.52,-0.77,-3.05,-8.31,-12.62,-7.1
