Month,Return
February-2014,3.86
March-2014,-3.27
April-2014,4.72
May-2014,-3.49
June-2014,-0.15
July-2014,-3.62
August-2014,-17.04
September-2014,0.32
October-2014,-4.31
November-2014,0.18
December-2014,-2.47
January-2015,-11.43
February-2015,1.51
March-2015,0.85
April-2015,5.2
May-2015,-4.2
June-2015,7.46
July-2015,0.04
August-2015,5.79
September-2015,-6.26
October-2015,2.69
November-2015,4.97
December-2015,0.83
January-2016,5.73
February-2016,8.71
March-2016,-15.09
April-2016,0.44
May-2016,-6.18
June-2016,-6.39
July-2016,-10.43
August-2016,8.46
September-2016,2.0
October-2016,-8.0
November-2016,9.88
December-2016,3.63
January-2017,3.11
February-2017,-7.07
March-2017,-6.81
April-2017,-0.32
May-2017,0.68
June-2017,-0.99
July-2017,-0.4
August-2017,-5.2
September-2017,-1.71
October-2017,0.02
November-2017,-5.94
December-2017,-2.55
January-2018,4.85
February-2018,-4.01
March-2018,-5.64
April-2018,-14.68
May-2018,-2.67
June-2018,-1.56
July-2018,-7.43
August-2018,-9.86
September-2018,16.16
October-2018,-4.29
November-2018,-5.9
December-2018,-3.62
January-2019,-3.26
February-2019,7.35
March-2019,4.91
