Month,Return
February-2014,-0.4
March-2014,-25.24
April-2014,-8.37
May-2014,-22.27
June-2014,-5.67
July-2014,9.16
August-2014,-0.85
September-2014,0.74
October-2014,-10.62
November-2014,88.1
December-2014,2.99
January-2015,0.59
February-2015,2.71
March-2015,11.47
April-2015,-1.14
May-2015,-3.0
June-2015,5.52
July-2015,-2.89
August-2015,8.62
September-2015,3.99
October-2015,0.02
November-2015,-5.59
December-2015,10.4
January-2016,19.81
February-2016,11.98
March-2016,-22.66
April-2016,2.75
May-2016,-8.41
June-2016,-6.74
July-2016,-4.76
August-2016,-10.26
September-2016,0.73
October-2016,-2.85
November-2016,-0.21
December-2016,3.35
January-2017,-4.1
February-2017,-3.54
March-2017,-8.69
April-2017,1.08
May-2017,0.31
June-2017,5.18
July-2017,-14.24
August-2017,11.26
September-2017,8.51
October-2017,-20.51
November-2017,-4.79
December-2017,3.42
January-2018,-1.05
February-2018,14.07
March-2018,6.94
April-2018,1.52
May-2018,-9.3
June-2018,3.68
July-2018,-13.15
August-2018,-5.27
September-2018,14.2
October-2018,-5.85
November-2018,-1.37
December-2018,-3.97
January-2019,0.78
February-2019,8.04
March-2019,-4.26
