Month,Return
February-2014,-0.47
March-2014,4.94
April-2014,-2.32
May-2014,-1.95
June-2014,-14.45
July-2014,-13.63
August-2014,-8.92
September-2014,-12.09
October-2014,-9.61
November-2014,-7.73
December-2014,-11.57
January-2015,-2.63
February-2015,-10.87
March-2015,-3.09
April-2015,-1.61
May-2015,-16.22
June-2015,-8.41
July-2015,-14.22
August-2015,7.2
September-2015,-5.26
October-2015,-4.68
November-2015,9.39
December-2015,-1.36
January-2016,9.48
February-2016,-2.82
March-2016,3.01
April-2016,-6.79
May-2016,5.29
June-2016,-1.88
July-2016,-6.28
August-2016,-17.88
September-2016,2.52
October-2016,1.61
November-2016,8.3
December-2016,5.12
January-2017,-8.5
February-2017,-3.26
March-2017,-4.76
April-2017,-7.23
May-2017,2.6
June-2017,-4.57
July-2017,-6.15
August-2017,-7.41
September-2017,-3.12
October-2017,-7.03
November-2017,-2.87
December-2017,1.4
January-2018,0.92
February-2018,-6.68
March-2018,0.27
April-2018,-10.77
May-2018,-7.7
June-2018,-4.48
July-2018,-5.38
August-2018,-3.11
September-2018,13.85
October-2018,2.87
November-2018,43.93
December-2018,1.29
January-2019,-2.49
February-2019,4.26
March-2019,-0.13
