Month,Return
February-2014,-4.45
March-2014,4.07
April-2014,-2.11
May-2014,-4.52
June-2014,-12.38
July-2014,0.1
August-2014,-9.85
September-2014,-5.32
October-2014,-0.97
November-2014,-5.18
December-2014,1.9
January-2015,-11.06
February-2015,0.46
March-2015,78.03
April-2015,0.98
May-2015,11.05
June-2015,13.75
July-2015,-10.75
August-2015,2.64
September-2015,-8.23
October-2015,3.43
November-2015,1.02
December-2015,2.21
January-2016,3.84
February-2016,17.25
March-2016,-14.55
April-2016,-2.47
May-2016,-10.51
June-2016,5.94
July-2016,3.89
August-2016,3.7
September-2016,10.41
October-2016,-4.67
November-2016,-10.44
December-2016,-0.68
January-2017,7.56
February-2017,-10.65
March-2017,8.05
April-2017,9.28
May-2017,6.49
June-2017,2.19
July-2017,-1.02
August-2017,-11.11
September-2017,-6.82
October-2017,-5.27
November-2017,-1.65
December-2017,-2.97
January-2018,-21.24
February-2018,-0.28
March-2018,-4.2
April-2018,-5.21
May-2018,-6.02
June-2018,7.8
July-2018,-3.63
August-2018,-12.39
September-2018,2.57
October-2018,0.11
November-2018,5.19
December-2018,-2.21
January-2019,-1.63
February-2019,-13.53
March-2019,2.5
