Month,Return
February-2014,-3.4
March-2014,14.47
April-2014,1.71
May-2014,18.57
June-2014,11.22
July-2014,4.75
August-2014,-7.2
September-2014,-10.56
October-2014,6.54
November-2014,-3.28
December-2014,-15.62
January-2015,-2.23
February-2015,-8.91
March-2015,-10.91
April-2015,13.78
May-2015,-8.88
June-2015,-7.25
July-2015,-18.84
August-2015,-9.0
September-2015,-5.84
October-2015,16.45
November-2015,-6.77
December-2015,12.82
January-2016,-3.66
February-2016,-0.38
March-2016,28.26
April-2016,9.72
May-2016,-4.59
June-2016,-3.75
July-2016,10.21
August-2016,4.43
September-2016,1.07
October-2016,8.08
November-2016,2.55
December-2016,-5.75
January-2017,18.23
February-2017,4.38
March-2017,0.0
April-2017,-7.0
May-2017,12.49
June-2017,7.81
July-2017,4.26
August-2017,12.41
September-2017,2.05
October-2017,8.08
November-2017,-1.21
December-2017,5.37
January-2018,-3.74
February-2018,-4.73
March-2018,-15.01
April-2018,4.17
May-2018,-3.24
June-2018,-1.32
July-2018,-0.88
August-2018,6.89
September-2018,-3.54
October-2018,-4.82
November-2018,-4.01
December-2018,-1.58
January-2019,-8.8
February-2019,5.33
March-2019,3.87
