Month,Return
February-2014,-0.27
March-2014,15.66
April-2014,-3.48
May-2014,6.83
June-2014,12.09
July-2014,-1.19
August-2014,0.47
September-2014,8.97
October-2014,7.73
November-2014,2.63
December-2014,-1.23
January-2015,-7.54
February-2015,-6.51
March-2015,-1.49
April-2015,-11.85
May-2015,15.74
June-2015,-6.37
July-2015,5.95
August-2015,-10.36
September-2015,-0.07
October-2015,7.9
November-2015,4.55
December-2015,-0.27
January-2016,-4.91
February-2016,-2.46
March-2016,17.75
April-2016,-1.43
May-2016,6.82
June-2016,2.64
July-2016,0.8
August-2016,10.64
September-2016,-3.75
October-2016,-1.75
November-2016,-5.53
December-2016,-3.92
January-2017,4.42
February-2017,-1.39
March-2017,2.83
April-2017,2.69
May-2017,13.05
June-2017,-1.23
July-2017,-1.15
August-2017,9.41
September-2017,-5.43
October-2017,1.95
November-2017,-5.51
December-2017,3.95
January-2018,-2.5
February-2018,-2.47
March-2018,-1.53
April-2018,5.31
May-2018,-4.99
June-2018,-2.12
July-2018,-5.13
August-2018,-1.24
September-2018,-9.87
October-2018,-5.69
November-2018,10.6
December-2018,1.55
January-2019,-15.89
February-2019,0.88
March-2019,4.31
