Month,Return
February-2014,1.41
March-2014,-17.99
April-2014,-1.32
May-2014,-27.24
June-2014,-3.81
July-2014,4.24
August-2014,3.4
September-2014,4.22
October-2014,-8.2
November-2014,3.95
December-2014,-8.17
January-2015,5.97
February-2015,-9.15
March-2015,7.99
April-2015,-0.17
May-2015,-7.8
June-2015,-7.6
July-2015,-4.33
August-2015,16.61
September-2015,10.88
October-2015,2.02
November-2015,-3.38
December-2015,0.6
January-2016,2.63
February-2016,2.77
March-2016,6.17
April-2016,1.68
May-2016,-1.58
June-2016,-7.37
July-2016,-4.74
August-2016,-1.72
September-2016,3.33
October-2016,-1.07
November-2016,5.46
December-2016,2.66
January-2017,-3.3
February-2017,-3.84
March-2017,9.01
April-2017,5.45
May-2017,4.89
June-2017,7.25
July-2017,-2.03
August-2017,4.48
September-2017,-13.7
October-2017,-5.82
November-2017,3.54
December-2017,4.78
January-2018,-13.54
February-2018,-3.67
March-2018,8.42
April-2018,-0.12
May-2018,-3.75
June-2018,10.22
July-2018,1.02
August-2018,-9.32
September-2018,6.73
October-2018,0.26
November-2018,8.21
December-2018,1.45
January-2019,6.48
February-2019,-1.42
March-2019,-2.69
