Month,Return
February-2014,4.73
March-2014,-18.48
April-2014,-4.56
May-2014,-11.95
June-2014,-2.11
July-2014,4.67
August-2014,-5.61
September-2014,7.08
October-2014,-8.97
November-2014,4.66
December-2014,12.91
January-2015,6.7
February-2015,-3.43
March-2015,10.21
April-2015,-2.72
May-2015,1.76
June-2015,4.79
July-2015,3.95
August-2015,-9.93
September-2015,3.54
October-2015,-2.65
November-2015,0.81
December-2015,-14.18
January-2016,-2.51
February-2016,-6.3
March-2016,-13.81
April-2016,-7.14
May-2016,-1.4
June-2016,-5.3
July-2016,-14.25
August-2016,-4.88
September-2016,1.35
October-2016,4.16
November-2016,-4.03
December-2016,5.9
January-2017,87.79
February-2017,5.9
March-2017,-0.48
April-2017,-6.08
May-2017,2.49
June-2017,-4.74
July-2017,-8.93
August-2017,-15.06
September-2017,2.51
October-2017,-3.83
November-2017,1.3
December-2017,-5.97
January-2018,-7.58
February-2018,-7.57
March-2018,7.71
April-2018,-12.88
May-2018,-2.21
June-2018,1.73
July-2018,-1.01
August-2018,-20.19
September-2018,4.07
October-2018,11.02
November-2018,7.06
December-2018,2.64
January-2019,10.33
February-2019,-2.35
March-2019,-2.06
