Month,Return
February-2014,-3.79
March-2014,9.07
April-2014,3.8
May-2014,3.26
June-2014,-7.91
July-2014,0.24
August-2014,-4.0
September-2014,-5.47
October-2014,5.52
November-2014,-3.91
December-2014,5.41
January-2015,-9.48
February-2015,-8.73
March-2015,4.77
April-2015,14.22
May-2015,-4.28
June-2015,3.11
July-2015,-4.59
August-2015,-0.4
September-2015,-4.5
October-2015,3.99
November-2015,0.1
December-2015,2.25
January-2016,-0.25
February-2016,7.36
March-2016,-8.36
April-2016,1.71
May-2016,1.35
June-2016,-2.22
July-2016,2.34
August-2016,10.05
September-2016,2.62
October-2016,2.65
November-2016,-0.02
December-2016,-1.91
January-2017,3.57
February-2017,-6.87
March-2017,-5.5
April-2017,4.12
May-2017,-8.71
June-2017,51.83
July-2017,-11.69
August-2017,-3.48
September-2017,6.05
October-2017,-4.64
November-2017,0.75
December-2017,-7.4
January-2018,2.79
February-2018,3.89
March-2018,3.88
April-2018,0.96
May-2018,6.04
June-2018,0.19
July-2018,-5.89
August-2018,-8.98
September-2018,-7.48
October-2018,-2.25
November-2018,2.01
December-2018,-1.66
January-2019,-11.82
February-2019,-0.19
March-2019,30.68
