Month,Return
February-2014,5.83
March-2014,9.31
April-2014,2.23
May-2014,16.1
June-2014,12.02
July-2014,-6.69
August-2014,10.07
September-2014,-5.99
October-2014,-0.99
November-2014,-6.31
December-2014,-10.09
January-2015,3.0
February-2015,-7.54
March-2015,-5.59
April-2015,-0.72
May-2015,8.32
June-2015,-6.15
July-2015,-11.82
August-2015,-12.18
September-2015,-4.3
October-2015,8.0
November-2015,-5.47
December-2015,3.24
January-2016,-6.53
February-2016,-14.15
March-2016,10.64
April-2016,1.47
May-2016,-3.1
June-2016,2.44
July-2016,1.69
August-2016,7.77
September-2016,8.29
October-2016,12.95
November-2016,-0.33
December-2016,-33.75
January-2017,5.59
February-2017,-4.33
March-2017,-4.32
April-2017,0.68
May-2017,-4.97
June-2017,-11.16
July-2017,7.66
August-2017,-7.29
September-2017,8.69
October-2017,11.98
November-2017,-5.52
December-2017,7.81
January-2018,4.47
February-2018,-7.3
March-2018,-5.68
April-2018,1.52
May-2018,-1.75
June-2018,-10.8
July-2018,4.61
August-2018,8.73
September-2018,-1.5
October-2018,-13.6
November-2018,-8.46
December-2018,7.13
January-2019,-5.66
February-2019,5.01
March-2019,0.87
