Month,Return
February-2014,-8.77
March-2014,10.92
April-2014,2.74
May-2014,4.99
June-2014,-2.06
July-2014,10.6
August-2014,-0.78
September-2014,9.35
October-2014,-1.47
November-2014,-4.1
December-2014,-7.62
January-2015,5.64
February-2015,-4.17
March-2015,10.27
April-2015,-3.11
May-2015,11.44
June-2015,-1.27
July-2015,-0.31
August-2015,-15.31
September-2015,-4.65
October-2015,3.18
November-2015,-4.09
December-2015,1.61
January-2016,-14.77
February-2016,9.34
March-2016,10.78
April-2016,3.68
May-2016,-3.34
June-2016,4.12
July-2016,-1.12
August-2016,-8.34
September-2016,-5.36
October-2016,1.42
November-2016,1.88
December-2016,-5.9
January-2017,13.93
February-2017,4.96
March-2017,-4.16
April-2017,1.33
May-2017,4.85
June-2017,1.98
July-2017,10.19
August-2017,2.41
September-2017,-9.16
October-2017,28.05
November-2017,-0.16
December-2017,6.55
January-2018,-16.95
February-2018,-2.8
March-2018,-6.66
April-2018,2.67
May-2018,-8.73
June-2018,1.93
July-2018,2.55
August-2018,-1.88
September-2018,-11.76
October-2018,-13.63
November-2018,7.33
December-2018,-0.21
January-2019,-1.84
February-2019,3.52
March-2019,-2.89
