Month,Return
February-2014,-3.56
March-2014,-26.1
April-2014,4.43
May-2014,-11.45
June-2014,-6.99
July-2014,1.89
August-2014,-4.17
September-2014,-6.07
October-2014,-16.1
November-2014,-4.55
December-2014,-6.79
January-2015,-8.53
February-2015,-5.16
March-2015,3.65
April-2015,6.63
May-2015,-6.16
June-2015,0.3
July-2015,-12.1
August-2015,12.35
September-2015,-9.96
October-2015,3.3
November-2015,-2.45
December-2015,-3.78
January-2016,4.32
February-2016,10.36
March-2016,-16.46
April-2016,-8.43
May-2016,-5.18
June-2016,-0.64
July-2016,-6.06
August-2016,-0.59
September-2016,-0.96
October-2016,0.14
November-2016,8.81
December-2016,-1.66
January-2017,-13.1
February-2017,-4.9
March-2017,-7.27
April-2017,-2.52
May-2017,-2.39
June-2017,-0.03
July-2017,-10.93
August-2017,-0.9
September-2017,-1.36
October-2017,3.1
November-2017,-2.12
December-2017,0.68
January-2018,-6.3
February-2018,4.24
March-2018,-6.89
April-2018,-5.71
May-2018,-2.62
June-2018,0.45
July-2018,-2.84
August-2018,4.54
September-2018,11.39
October-2018,15.57
November-2018,-14.54
December-2018,1.99
January-2019,5.88
February-2019,2.13
March-2019,-3.08
