Month,Return
February-2014,0.15
March-2014,15.55
April-2014,-7.57
May-2014,0.85
June-2014,16.34
July-2014,6.15
August-2014,-0.79
September-2014,0.84
October-2014,4.25
November-2014,13.34
December-2014,1.08
January-2015,14.06
February-2015,-4.56
March-2015,-1.17
April-2015,-5.67
May-2015,3.16
June-2015,-4.14
July-2015,16.83
August-2015,-3.73
September-2015,-0.88
October-2015,-1.47
November-2015,1.42
December-2015,5.16
January-2016,-1.7
February-2016,-2.34
March-2016,2.37
April-2016,-0.07
May-2016,13.36
June-2016,1.99
July-2016,11.06
August-2016,4.0
September-2016,0.25
October-2016,-7.46
November-2016,-9.81
December-2016,-8.09
January-2017,8.91
February-2017,5.53
March-2017,4.56
April-2017,4.52
May-2017,2.95
June-2017,-4.2
July-2017,5.01
August-2017,0.75
September-2017,-4.37
October-2017,5.7
November-2017,-2.79
December-2017,0.88
January-2018,-2.32
February-2018,-1.08
March-2018,0.17
April-2018,7.09
May-2018,8.79
June-2018,-3.18
July-2018,14.57
August-2018,-5.33
September-2018,-5.62
October-2018,-5.16
November-2018,9.59
December-2018,2.14
January-2019,2.84
February-2019,-0.54
March-2019,-1.53
