Month,Return
February-2014,7.6
March-2014,-11.77
April-2014,0.95
May-2014,0.98
June-2014,5.59
July-2014,3.9
August-2014,4.85
September-2014,5.21
October-2014,-6.42
November-2014,3.54
December-2014,-3.98
January-2015,12.42
February-2015,12.62
March-2015,-51.51
April-2015,-10.22
May-2015,15.04
June-2015,-8.97
July-2015,8.2
August-2015,-2.51
September-2015,1.09
October-2015,-11.46
November-2015,0.26
December-2015,-1.88
January-2016,1.23
February-2016,-6.19
March-2016,0.22
April-2016,-7.82
May-2016,-1.41
June-2016,-1.26
July-2016,3.0
August-2016,3.55
September-2016,2.64
October-2016,-3.97
November-2016,4.53
December-2016,3.06
January-2017,-2.24
February-2017,3.86
March-2017,3.92
April-2017,-6.96
May-2017,6.52
June-2017,-1.7
July-2017,4.49
August-2017,-3.02
September-2017,1.46
October-2017,-2.17
November-2017,-0.89
December-2017,5.04
January-2018,10.67
February-2018,-4.6
March-2018,3.11
April-2018,8.45
May-2018,-13.39
June-2018,1.79
July-2018,4.09
August-2018,8.46
September-2018,3.98
October-2018,-3.43
November-2018,-3.46
December-2018,-5.11
January-2019,4.43
February-2019,4.78
March-2019,-4.25
