Month,Return
February-2014,0.55
March-2014,3.82
April-2014,-0.11
May-2014,4.54
June-2014,-0.13
July-2014,10.39
August-2014,12.43
September-2014,-4.39
October-2014,1.67
November-2014,6.73
December-2014,-3.13
January-2015,9.68
February-2015,3.05
March-2015,0.57
April-2015,-5.09
May-2015,7.5
June-2015,3.53
July-2015,4.62
August-2015,-6.7
September-2015,0.95
October-2015,-2.21
November-2015,1.28
December-2015,1.08
January-2016,-9.6
February-2016,-4.9
March-2016,4.77
April-2016,10.6
May-2016,5.24
June-2016,6.28
July-2016,-1.46
August-2016,-4.28
September-2016,-6.67
October-2016,7.7
November-2016,-3.03
December-2016,-2.22
January-2017,-0.29
February-2017,-0.14
March-2017,0.47
April-2017,3.39
May-2017,-2.43
June-2017,4.49
July-2017,6.14
August-2017,1.61
September-2017,-3.19
October-2017,9.2
November-2017,4.11
December-2017,0.52
January-2018,1.65
February-2018,-8.27
March-2018,0.6
April-2018,13.06
May-2018,3.8
June-2018,1.86
July-2018,7.51
August-2018,13.98
September-2018,-10.73
October-2018,-9.87
November-2018,6.54
December-2018,4.97
January-2019,2.84
February-2019,-1.07
March-2019,-1.37
