Month,Return
February-2014,3.8
March-2014,-16.3
April-2014,-0.62
May-2014,-13.88
June-2014,4.74
July-2014,0.86
August-2014,0.67
September-2014,5.39
October-2014,-5.7
November-2014,0.84
December-2014,10.06
January-2015,-2.72
February-2015,5.36
March-2015,4.8
April-2015,-4.63
May-2015,-1.66
June-2015,-14.06
July-2015,-0.12
August-2015,14.46
September-2015,-0.43
October-2015,-10.15
November-2015,-2.13
December-2015,-4.61
January-2016,-2.22
February-2016,6.62
March-2016,-8.14
April-2016,6.0
May-2016,2.4
June-2016,-1.09
July-2016,-4.75
August-2016,-4.19
September-2016,-2.28
October-2016,2.86
November-2016,5.56
December-2016,-8.8
January-2017,3.4
February-2017,-18.67
March-2017,-6.54
April-2017,-5.73
May-2017,3.89
June-2017,-2.96
July-2017,-16.92
August-2017,1.26
September-2017,50.92
October-2017,-20.28
November-2017,1.93
December-2017,0.17
January-2018,-4.35
February-2018,0.91
March-2018,7.31
April-2018,-9.1
May-2018,4.34
June-2018,-5.61
July-2018,-21.88
August-2018,-4.65
September-2018,-1.39
October-2018,15.64
November-2018,-10.06
December-2018,4.04
January-2019,-9.46
February-2019,-0.36
March-2019,-2.85
