Month,Return
February-2014,13.07
March-2014,15.37
April-2014,4.02
May-2014,20.86
June-2014,4.64
July-2014,-79.61
August-2014,1.39
September-2014,-4.91
October-2014,16.13
November-2014,9.64
December-2014,4.37
January-2015,17.26
February-2015,4.2
March-2015,-8.64
April-2015,1.33
May-2015,3.06
June-2015,-4.55
July-2015,2.7
August-2015,-11.69
September-2015,-2.2
October-2015,-4.16
November-2015,-1.28
December-2015,-4.13
January-2016,-9.2
February-2016,-8.06
March-2016,18.47
April-2016,6.23
May-2016,9.18
June-2016,3.46
July-2016,2.36
August-2016,9.08
September-2016,-9.03
October-2016,-9.98
November-2016,-3.7
December-2016,-4.2
January-2017,3.53
February-2017,8.64
March-2017,-3.03
April-2017,3.83
May-2017,0.9
June-2017,0.37
July-2017,0.53
August-2017,-3.51
September-2017,1.63
October-2017,2.8
November-2017,2.48
December-2017,4.93
January-2018,5.51
February-2018,-10.75
March-2018,-3.81
April-2018,1.7
May-2018,4.87
June-2018,-6.06
July-2018,7.78
August-2018,18.01
September-2018,-5.68
October-2018,-4.97
November-2018,7.54
December-2018,-0.95
January-2019,16.64
February-2019,-1.88
March-2019,3.24
