Month,Return
February-2014,-14.12
March-2014,-12.11
April-2014,-0.43
May-2014,-19.94
June-2014,-7.81
July-2014,-7.06
August-2014,-8.5
September-2014,1.73
October-2014,-2.37
November-2014,-2.02
December-2014,-9.7
January-2015,-6.92
February-2015,2.94
March-2015,6.79
April-2015,-3.1
May-2015,-1.9
June-2015,4.87
July-2015,-5.25
August-2015,-9.4
September-2015,15.56
October-2015,1.27
November-2015,9.25
December-2015,2.83
January-2016,18.38
February-2016,7.8
March-2016,-26.31
April-2016,3.82
May-2016,19.16
June-2016,-7.32
July-2016,-12.22
August-2016,-13.26
September-2016,2.26
October-2016,-18.89
November-2016,9.01
December-2016,3.47
January-2017,-9.44
February-2017,-2.85
March-2017,-12.61
April-2017,3.8
May-2017,-3.69
June-2017,-6.93
July-2017,-9.35
August-2017,0.98
September-2017,4.14
October-2017,-14.38
November-2017,7.31
December-2017,-1.45
January-2018,-5.88
February-2018,4.71
March-2018,13.13
April-2018,-14.61
May-2018,3.51
June-2018,5.15
July-2018,-7.55
August-2018,4.19
September-2018,14.32
October-2018,2.85
November-2018,-14.67
December-2018,-5.86
January-2019,12.26
February-2019,4.27
March-2019,-5.33
