Month,Return
February-2014,5.87
March-2014,20.51
April-2014,0.77
May-2014,19.74
June-2014,6.51
July-2014,1.57
August-2014,6.94
September-2014,6.83
October-2014,8.28
November-2014,-1.44
December-2014,4.88
January-2015,16.41
February-2015,-1.22
March-2015,-0.51
April-2015,-5.18
May-2015,7.67
June-2015,3.02
July-2015,0.56
August-2015,-5.14
September-2015,9.03
October-2015,4.68
November-2015,-9.96
December-2015,3.36
January-2016,-8.71
February-2016,-3.78
March-2016,23.25
April-2016,2.61
May-2016,3.56
June-2016,10.19
July-2016,10.76
August-2016,6.15
September-2016,-0.51
October-2016,-0.59
November-2016,-7.95
December-2016,-5.42
January-2017,5.13
February-2017,3.94
March-2017,5.78
April-2017,13.18
May-2017,-6.55
June-2017,-5.87
July-2017,10.0
August-2017,-5.6
September-2017,5.54
October-2017,2.18
November-2017,-9.24
December-2017,4.74
January-2018,-4.58
February-2018,-3.11
March-2018,-2.98
April-2018,4.1
May-2018,-0.05
June-2018,-7.6
July-2018,9.69
August-2018,11.11
September-2018,-11.2
October-2018,-17.46
November-2018,18.57
December-2018,4.47
January-2019,-8.5
February-2019,5.46
March-2019,6.44
