Month,Return
February-2014,-9.85
March-2014,9.98
April-2014,0.23
May-2014,22.15
June-2014,6.11
July-2014,-3.12
August-2014,2.38
September-2014,-2.75
October-2014,6.81
November-2014,-4.89
December-2014,4.25
January-2015,2.61
February-2015,0.77
March-2015,-8.12
April-2015,4.6
May-2015,-0.12
June-2015,-1.24
July-2015,-5.99
August-2015,-19.14
September-2015,10.0
October-2015,12.39
November-2015,-8.44
December-2015,2.02
January-2016,9.58
February-2016,-0.28
March-2016,14.54
April-2016,-6.35
May-2016,-0.58
June-2016,5.24
July-2016,13.35
August-2016,11.26
September-2016,2.87
October-2016,8.27
November-2016,11.76
December-2016,-9.5
January-2017,16.83
February-2017,3.22
March-2017,-6.23
April-2017,-6.92
May-2017,-10.69
June-2017,9.48
July-2017,7.25
August-2017,4.68
September-2017,0.24
October-2017,6.64
November-2017,-5.01
December-2017,3.12
January-2018,0.34
February-2018,5.13
March-2018,-7.67
April-2018,8.69
May-2018,-9.46
June-2018,-6.89
July-2018,1.61
August-2018,6.76
September-2018,-2.92
October-2018,-9.02
November-2018,0.79
December-2018,4.32
January-2019,-6.21
February-2019,3.28
March-2019,-0.78
