Month,Return
February-2014,-7.77
March-2014,-18.97
April-2014,7.36
May-2014,-17.6
June-2014,-9.0
July-2014,6.83
August-2014,-5.16
September-2014,-3.07
October-2014,2.81
November-2014,2.4
December-2014,-7.28
January-2015,-17.54
February-2015,0.08
March-2015,8.36
April-2015,7.27
May-2015,-11.65
June-2015,-0.5
July-2015,-5.29
August-2015,7.99
September-2015,7.53
October-2015,-7.61
November-2015,2.66
December-2015,0.78
January-2016,-1.47
February-2016,2.09
March-2016,-16.62
April-2016,2.0
May-2016,-2.12
June-2016,-5.65
July-2016,-8.61
August-2016,-8.73
September-2016,4.25
October-2016,-2.94
November-2016,9.5
December-2016,9.69
January-2017,-13.8
February-2017,-2.13
March-2017,-5.77
April-2017,-6.25
May-2017,0.99
June-2017,5.57
July-2017,-2.44
August-2017,1.51
September-2017,3.64
October-2017,-14.24
November-2017,4.32
December-2017,-2.61
January-2018,-1.37
February-2018,5.16
March-2018,4.96
April-2018,-4.11
May-2018,9.13
June-2018,-1.8
July-2018,-10.2
August-2018,-6.69
September-2018,9.27
October-2018,13.73
November-2018,-14.12
December-2018,-0.25
January-2019,12.04
February-2019,-8.72
March-2019,-3.66
