Month,Return
February-2014,3.0
March-2014,-24.28
April-2014,2.71
May-2014,-18.33
June-2014,-7.44
July-2014,-3.53
August-2014,-10.29
September-2014,-10.06
October-2014,-8.94
November-2014,0.07
December-2014,0.23
January-2015,-9.52
February-2015,0.74
March-2015,-2.24
April-2015,-0.89
May-2015,-1.43
June-2015,-6.27
July-2015,-7.65
August-2015,3.76
September-2015,-12.52
October-2015,5.13
November-2015,-2.88
December-2015,-0.84
January-2016,11.22
February-2016,20.86
March-2016,-14.69
April-2016,-2.04
May-2016,-9.83
June-2016,-0.41
July-2016,-13.62
August-2016,-6.26
September-2016,-8.44
October-2016,-7.66
November-2016,10.77
December-2016,-1.13
January-2017,-10.77
February-2017,-0.45
March-2017,-1.71
April-2017,-8.32
May-2017,-10.56
June-2017,-0.04
July-2017,-6.79
August-2017,0.07
September-2017,-3.51
October-2017,-3.06
November-2017,-4.69
December-2017,-13.12
January-2018,2.23
February-2018,6.74
March-2018,0.11
April-2018,0.46
May-2018,3.26
June-2018,-3.35
July-2018,-7.77
August-2018,4.3
September-2018,19.2
October-2018,10.09
November-2018,-15.97
December-2018,2.64
January-2019,11.18
February-2019,-3.08
March-2019,-2.06
