Month,Return
February-2014,-4.89
March-2014,-13.01
April-2014,-6.41
May-2014,-6.83
June-2014,-10.22
July-2014,-0.67
August-2014,-2.34
September-2014,-12.4
October-2014,0.71
November-2014,-1.91
December-2014,-12.61
January-2015,-6.36
February-2015,-2.7
March-2015,-4.65
April-2015,-4.26
May-2015,-19.43
June-2015,6.82
July-2015,-0.34
August-2015,10.8
September-2015,11.21
October-2015,-9.61
November-2015,1.07
December-2015,-11.35
January-2016,15.79
February-2016,1.11
March-2016,-7.15
April-2016,1.94
May-2016,-0.25
June-2016,8.21
July-2016,-14.6
August-2016,11.22
September-2016,-4.02
October-2016,4.71
November-2016,-7.91
December-2016,8.43
January-2017,14.55
February-2017,3.1
March-2017,-14.37
April-2017,-9.02
May-2017,-3.66
June-2017,-1.82
July-2017,-7.26
August-2017,5.96
September-2017,-5.43
October-2017,-10.97
November-2017,13.3
December-2017,1.44
January-2018,7.06
February-2018,1.1
March-2018,3.14
April-2018,6.75
May-2018,4.99
June-2018,-1.17
July-2018,5.08
August-2018,-0.47
September-2018,8.82
October-2018,-2.58
November-2018,4.59
December-2018,-1.23
January-2019,-12.82
February-2019,-0.19
March-2019,-4.24
