Month,Return
February-2014,10.92
March-2014,-6.53
April-2014,3.08
May-2014,-37.51
June-2014,2.47
July-2014,6.99
August-2014,5.03
September-2014,-0.69
October-2014,-8.15
November-2014,4.9
December-2014,-1.05
January-2015,0.21
February-2015,-8.31
March-2015,5.39
April-2015,-2.0
May-2015,9.05
June-2015,-0.8
July-2015,2.1
August-2015,10.04
September-2015,-1.98
October-2015,-7.23
November-2015,1.28
December-2015,-11.37
January-2016,2.54
February-2016,15.82
March-2016,-7.6
April-2016,-7.76
May-2016,-3.21
June-2016,-9.18
July-2016,-1.31
August-2016,-0.5
September-2016,6.75
October-2016,-1.85
November-2016,-7.87
December-2016,-0.95
January-2017,-4.89
February-2017,5.59
March-2017,-1.75
April-2017,0.93
May-2017,2.65
June-2017,1.0
July-2017,-3.57
August-2017,-2.8
September-2017,0.86
October-2017,-7.92
November-2017,-0.22
December-2017,2.05
January-2018,3.92
February-2018,4.11
March-2018,-3.95
April-2018,-1.38
May-2018,2.96
June-2018,4.49
July-2018,2.7
August-2018,-10.12
September-2018,2.49
October-2018,4.08
November-2018,12.42
December-2018,-6.22
January-2019,5.89
February-2019,-1.18
March-2019,-7.63
