Month,VEDANTA LIMITED18ER,NESTLE INDIA LTD.17ER,VEDANTA LIMITED17ER,BHARAT PETROLEUM CORPORATION LTD.17ER,NESTLE INDIA LTD.16ER,VEDANTA LIMITED16ER,NESTLE INDIA LTD.15ER,VEDANTA LIMITED15ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.14ER,VEDANTA LIMITED14ER,INDUSIND BANK LTD.14ER,meanER
January-2018,2.96,,,,,,,,,,,2.96
February-2018,-2.96,,,,,,,,,,,-2.96
March-2018,-15.53,,,,,,,,,,,-15.53
April-2018,7.26,,,,,,,,,,,7.26
May-2018,-16.48,,,,,,,,,,,-16.48
June-2018,-5.44,,,,,,,,,,,-5.44
July-2018,-5.73,,,,,,,,,,,-5.73
August-2018,2.23,,,,,,,,,,,2.23
September-2018,2.0,,,,,,,,,,,2.0
October-2018,-8.85,,,,,,,,,,,-8.85
November-2018,-7.31,,,,,,,,,,,-7.31
December-2018,3.35,,,,,,,,,,,3.35
January-2017,,-3.11,17.04,7.35,,,,,,,,7.09
February-2017,,7.07,2.35,-1.7,,,,,,,,2.57
March-2017,,6.81,6.02,-3.08,,,,,,,,3.25
April-2017,,0.32,-11.32,10.83,,,,,,,,-0.06
May-2017,,-0.68,-1.89,3.18,,,,,,,,0.2
June-2017,,0.99,4.21,-13.9,,,,,,,,-2.9
July-2017,,0.4,12.29,-26.33,,,,,,,,-4.55
August-2017,,5.2,10.19,12.29,,,,,,,,9.23
September-2017,,1.71,1.88,-10.68,,,,,,,,-2.36
October-2017,,-0.02,5.72,14.72,,,,,,,,6.81
November-2017,,5.94,-10.88,-7.17,,,,,,,,-4.04
December-2017,,2.55,11.48,3.17,,,,,,,,5.73
January-2016,,,,,-5.73,-20.6,,,,,,-13.16
February-2016,,,,,-8.71,-1.19,,,,,,-4.95
March-2016,,,,,15.09,26.89,,,,,,20.99
April-2016,,,,,-0.44,15.41,,,,,,7.48
May-2016,,,,,6.18,4.39,,,,,,5.28
June-2016,,,,,6.39,21.7,,,,,,14.04
July-2016,,,,,10.43,24.89,,,,,,17.66
August-2016,,,,,-8.46,3.31,,,,,,-2.58
September-2016,,,,,-2.0,1.18,,,,,,-0.41
October-2016,,,,,8.0,17.67,,,,,,12.84
November-2016,,,,,-9.88,13.48,,,,,,1.8
December-2016,,,,,-3.63,-5.85,,,,,,-4.74
January-2015,,,,,,,11.43,-5.77,,,,2.83
February-2015,,,,,,,-1.51,7.86,,,,3.18
March-2015,,,,,,,-0.85,-12.94,,,,-6.9
April-2015,,,,,,,-5.2,10.85,,,,2.82
May-2015,,,,,,,4.2,-6.33,,,,-1.06
June-2015,,,,,,,-7.46,-11.59,,,,-9.52
July-2015,,,,,,,-0.04,-25.16,,,,-12.6
August-2015,,,,,,,-5.79,-24.24,,,,-15.01
September-2015,,,,,,,6.26,-13.69,,,,-3.72
October-2015,,,,,,,-2.69,17.51,,,,7.41
November-2015,,,,,,,-4.97,-9.95,,,,-7.46
December-2015,,,,,,,-0.83,0.28,,,,-0.27
February-2014,,,,,,,,,14.12,-5.78,3.56,3.97
March-2014,,,,,,,,,12.11,5.83,26.1,14.68
April-2014,,,,,,,,,0.43,-1.52,-4.43,-1.84
May-2014,,,,,,,,,19.94,51.0,11.45,27.46
June-2014,,,,,,,,,7.81,4.51,6.99,6.44
July-2014,,,,,,,,,7.06,-0.6,-1.89,1.52
August-2014,,,,,,,,,8.5,-4.55,4.17,2.71
September-2014,,,,,,,,,-1.73,-1.66,6.07,0.89
October-2014,,,,,,,,,2.37,-6.16,16.1,4.1
November-2014,,,,,,,,,2.02,-9.56,4.55,-1.0
December-2014,,,,,,,,,9.7,-7.44,6.79,3.02
