Month,HINDUSTAN ZINC LTD.HQ,meanHQ,HERO MOTOCORP LTD.18ER,BHARTI AIRTEL LTD.18ER,MARUTI SUZUKI INDIA LTD.18ER,SHREE CEMENT LTD.18ER,BOSCH LTD.18ER,VEDANTA LIMITED18ER,BHARAT PETROLEUM CORPORATION LTD.18ER,BAJAJ AUTO LTD.18ER,AVENUE SUPERMARTS LTD18ER,ULTRATECH CEMENT LTD.18ER,BAJAJ FINSERV LTD.18ER,BAJAJ FINANCE LIMITED18ER,ICICI BANK LTD.18ER,HERO MOTOCORP LTD.17ER,NESTLE INDIA LTD.17ER,BHARTI AIRTEL LTD.17ER,SHREE CEMENT LTD.17ER,BOSCH LTD.17ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.17ER,VEDANTA LIMITED17ER,MAHINDRA & MAHINDRA LTD.17ER,AVENUE SUPERMARTS LTD17ER,ULTRATECH CEMENT LTD.17ER,ICICI BANK LTD.17ER,STATE BANK OF INDIA17ER,BHARTI INFRATEL LTD.16ER,HERO MOTOCORP LTD.16ER,DABUR INDIA LTD.16ER,BHARTI AIRTEL LTD.16ER,SHREE CEMENT LTD.16ER,BOSCH LTD.16ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16ER,VEDANTA LIMITED16ER,BAJAJ AUTO LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER,ULTRATECH CEMENT LTD.16ER,BAJAJ FINANCE LIMITED16ER,ICICI BANK LTD.16ER,KOTAK MAHINDRA BANK LTD.16ER,STATE BANK OF INDIA16ER,BHARTI INFRATEL LTD.15ER,HERO MOTOCORP LTD.15ER,DABUR INDIA LTD.15ER,BHARTI AIRTEL LTD.15ER,SHREE CEMENT LTD.15ER,BOSCH LTD.15ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.15ER,VEDANTA LIMITED15ER,MAHINDRA & MAHINDRA LTD.15ER,ULTRATECH CEMENT LTD.15ER,BAJAJ FINSERV LTD.15ER,BAJAJ FINANCE LIMITED15ER,AXIS BANK LTD.15ER,ICICI BANK LTD.15ER,STATE BANK OF INDIA15ER,HDFC BANK LTD15ER,HERO MOTOCORP LTD.14ER,SHREE CEMENT LTD.14ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.14ER,VEDANTA LIMITED14ER,BAJAJ AUTO LTD.14ER,ULTRATECH CEMENT LTD.14ER,BAJAJ FINSERV LTD.14ER,BAJAJ FINANCE LIMITED14ER,ICICI BANK LTD.14ER,meanER
February-2014,-9.85,-9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,5.87,14.12,-5.78,2.1,7.77,5.78,2.86,5.58,4.23
March-2014,9.98,9.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,20.51,12.11,5.83,6.98,18.97,9.8,14.11,19.33,13.7
April-2014,0.23,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.48,0.77,0.43,-1.52,-7.93,-7.36,4.75,4.71,-0.05,-1.08
May-2014,22.15,22.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,19.74,19.94,51.0,2.07,17.6,3.04,7.82,13.95,15.78
June-2014,6.11,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.09,6.51,7.81,4.51,18.43,9.0,9.68,-0.98,0.0,7.45
July-2014,-3.12,-3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.19,1.57,7.06,-0.6,-10.16,-6.83,0.84,10.22,3.85,0.53
August-2014,2.38,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,6.94,8.5,-4.55,8.74,5.16,11.32,11.94,5.67,6.02
September-2014,-2.75,-2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.97,6.83,-1.73,-1.66,3.95,3.07,7.56,9.81,-7.79,3.22
October-2014,6.81,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,8.28,2.37,-6.16,11.07,-2.81,-5.53,3.23,13.25,3.49
November-2014,-4.89,-4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,-1.44,2.02,-9.56,1.17,-2.4,7.8,10.2,7.95,2.04
December-2014,4.25,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.23,4.88,9.7,-7.44,-7.62,7.28,14.01,12.89,-79.88,-5.27
