Month,BHARTI INFRATEL LTD.18ER,POWER GRID CORPORATION OF INDIA LTD.18ER,SUN PHARMACEUTICAL INDUSTRIES LTD.18ER,GODREJ CONSUMER PRODUCTS LTD.18ER,MAHINDRA & MAHINDRA LTD.18ER,AVENUE SUPERMARTS LTD18ER,INDUSIND BANK LTD.18ER,ULTRATECH CEMENT LTD.18ER,TATA CONSULTANCY SERVICES LTD.18ER,RELIANCE INDUSTRIES LTD.18ER,SUN PHARMACEUTICAL INDUSTRIES LTD.17ER,GODREJ CONSUMER PRODUCTS LTD.17ER,INDUSIND BANK LTD.17ER,ULTRATECH CEMENT LTD.17ER,TATA CONSULTANCY SERVICES LTD.17ER,RELIANCE INDUSTRIES LTD.17ER,GODREJ CONSUMER PRODUCTS LTD.16ER,INDUSIND BANK LTD.16ER,ULTRATECH CEMENT LTD.16ER,BAJAJ FINANCE LIMITED16ER,HDFC BANK LTD16ER,TATA CONSULTANCY SERVICES LTD.16ER,RELIANCE INDUSTRIES LTD.16ER,SUN PHARMACEUTICAL INDUSTRIES LTD.15ER,GODREJ CONSUMER PRODUCTS LTD.15ER,ULTRATECH CEMENT LTD.15ER,RELIANCE INDUSTRIES LTD.15ER,BHARTI INFRATEL LTD.14ER,GODREJ CONSUMER PRODUCTS LTD.14ER,AXIS BANK LTD.14ER,meanER
January-2018,-7.06,-3.42,1.5,5.4,1.65,-0.03,6.3,1.37,15.23,4.35,,,,,,,,,,,,,,,,,,,,,2.53
February-2018,-1.1,2.56,-7.59,1.44,-4.55,14.22,-4.24,-5.16,-2.36,-0.91,,,,,,,,,,,,,,,,,,,,,-0.77
March-2018,-3.14,-2.32,-7.46,2.27,1.57,-1.52,6.89,-4.96,-6.22,-7.31,,,,,,,,,,,,,,,,,,,,,-2.22
April-2018,-6.75,7.12,6.61,2.21,17.89,12.52,5.71,4.11,23.94,9.1,,,,,,,,,,,,,,,,,,,,,8.25
May-2018,-4.99,0.63,-9.09,2.24,5.83,4.85,2.62,-9.13,-50.59,-4.34,,,,,,,,,,,,,,,,,,,,,-6.2
June-2018,1.17,-10.67,16.74,7.27,-2.89,-5.33,-0.45,1.8,5.87,5.61,,,,,,,,,,,,,,,,,,,,,1.91
July-2018,-5.08,-2.38,1.09,7.65,4.14,11.51,2.84,10.2,5.09,21.88,,,,,,,,,,,,,,,,,,,,,5.69
August-2018,0.47,10.1,15.1,9.75,3.36,-2.85,-4.54,6.69,7.05,4.65,,,,,,,,,,,,,,,,,,,,,4.98
September-2018,-8.82,-6.06,-4.42,-46.91,-10.83,-13.13,-11.39,-9.27,5.12,1.39,,,,,,,,,,,,,,,,,,,,,-10.43
October-2018,2.58,-1.46,-7.09,-5.71,-11.31,-4.03,-15.57,-13.73,-11.3,-15.64,,,,,,,,,,,,,,,,,,,,,-8.33
November-2018,-4.59,-3.02,-15.0,3.59,3.52,11.18,14.54,14.12,1.7,10.06,,,,,,,,,,,,,,,,,,,,,3.61
December-2018,1.23,10.49,-12.52,8.42,1.71,8.02,-1.99,0.25,-3.91,-4.04,,,,,,,,,,,,,,,,,,,,,0.77
January-2017,,,,,,,,,,,0.29,4.57,13.1,13.8,-5.59,-3.4,,,,,,,,,,,,,,,3.8
February-2017,,,,,,,,,,,7.51,4.41,4.9,2.13,10.61,18.67,,,,,,,,,,,,,,,8.04
March-2017,,,,,,,,,,,1.29,1.17,7.27,5.77,-1.44,6.54,,,,,,,,,,,,,,,3.43
April-2017,,,,,,,,,,,-6.57,4.36,2.52,6.25,-6.54,5.73,,,,,,,,,,,,,,,0.96
May-2017,,,,,,,,,,,-21.97,3.92,2.39,-0.99,11.98,-3.89,,,,,,,,,,,,,,,-1.43
June-2017,,,,,,,,,,,10.59,-46.7,0.03,-5.57,-7.07,2.96,,,,,,,,,,,,,,,-7.63
July-2017,,,,,,,,,,,-4.11,7.21,10.93,2.44,5.49,16.92,,,,,,,,,,,,,,,6.48
August-2017,,,,,,,,,,,-9.66,-10.29,0.9,-1.51,0.11,-1.26,,,,,,,,,,,,,,,-3.62
September-2017,,,,,,,,,,,4.76,-1.35,1.36,-3.64,-2.39,-50.92,,,,,,,,,,,,,,,-8.7
October-2017,,,,,,,,,,,9.98,2.04,-3.1,14.24,7.36,20.28,,,,,,,,,,,,,,,8.47
November-2017,,,,,,,,,,,-2.43,2.89,2.12,-4.32,0.69,-1.93,,,,,,,,,,,,,,,-0.5
December-2017,,,,,,,,,,,5.71,3.93,-0.68,2.61,2.51,-0.17,,,,,,,,,,,,,,,2.32
January-2016,,,,,,,,,,,,,,,,,-7.17,-4.32,1.47,-1.74,-3.12,-1.97,2.22,,,,,,,,-2.09
February-2016,,,,,,,,,,,,,,,,,-2.88,-10.36,-2.09,0.32,-7.28,-8.75,-6.62,,,,,,,,-5.38
March-2016,,,,,,,,,,,,,,,,,16.01,16.46,16.62,16.9,10.14,15.31,8.14,,,,,,,,14.23
April-2016,,,,,,,,,,,,,,,,,-4.11,8.43,-2.0,-1.4,5.81,0.56,-6.0,,,,,,,,0.18
May-2016,,,,,,,,,,,,,,,,,12.4,5.18,2.12,10.88,4.23,1.78,-2.4,,,,,,,,4.88
June-2016,,,,,,,,,,,,,,,,,7.79,0.64,5.65,5.46,-0.46,-0.94,1.09,,,,,,,,2.75
July-2016,,,,,,,,,,,,,,,,,-0.69,6.06,8.61,29.64,6.01,2.66,4.75,,,,,,,,8.15
August-2016,,,,,,,,,,,,,,,,,-4.45,0.59,8.73,6.4,3.55,-4.05,4.19,,,,,,,,2.14
September-2016,,,,,,,,,,,,,,,,,4.19,0.96,-4.25,-90.41,-1.48,-3.4,2.28,,,,,,,,-13.16
October-2016,,,,,,,,,,,,,,,,,1.23,-0.14,2.94,2.27,-1.42,-1.34,-2.86,,,,,,,,0.1
November-2016,,,,,,,,,,,,,,,,,-9.46,-8.81,-9.5,-14.92,-4.32,-4.92,-5.56,,,,,,,,-8.21
December-2016,,,,,,,,,,,,,,,,,4.12,1.66,-9.69,-8.72,0.38,3.74,8.8,,,,,,,,0.04
January-2015,,,,,,,,,,,,,,,,,,,,,,,,10.87,9.43,17.54,2.72,,,,10.14
February-2015,,,,,,,,,,,,,,,,,,,,,,,,-0.54,6.54,-0.08,-5.36,,,,0.14
March-2015,,,,,,,,,,,,,,,,,,,,,,,,12.21,-7.98,-8.36,-4.8,,,,-2.23
April-2015,,,,,,,,,,,,,,,,,,,,,,,,-8.1,1.6,-7.27,4.63,,,,-2.28
May-2015,,,,,,,,,,,,,,,,,,,,,,,,2.8,-0.7,11.65,1.66,,,,3.85
June-2015,,,,,,,,,,,,,,,,,,,,,,,,-9.48,17.21,0.5,14.06,,,,5.57
July-2015,,,,,,,,,,,,,,,,,,,,,,,,-5.89,11.35,5.29,0.12,,,,2.72
August-2015,,,,,,,,,,,,,,,,,,,,,,,,9.11,-2.59,-7.99,-14.46,,,,-3.98
September-2015,,,,,,,,,,,,,,,,,,,,,,,,-3.26,-8.93,-7.53,0.43,,,,-4.82
October-2015,,,,,,,,,,,,,,,,,,,,,,,,2.37,3.95,7.61,10.15,,,,6.02
November-2015,,,,,,,,,,,,,,,,,,,,,,,,-17.81,-2.69,-2.66,2.13,,,,-5.26
December-2015,,,,,,,,,,,,,,,,,,,,,,,,12.22,7.23,-0.78,4.61,,,,5.82
February-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,5.08,13.07,7.68
March-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.01,7.91,15.37,12.1
April-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41,-6.33,4.02,1.37
May-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,-2.5,20.86,8.4
June-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.22,5.97,4.64,6.94
July-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,2.09,-79.61,-25.62
August-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,17.16,1.39,6.96
September-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,-0.08,-4.91,2.47
October-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.71,-1.77,16.13,4.55
November-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,-1.6,9.64,3.32
December-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.61,1.87,4.37,6.28
