Month,BAJAJ FINSERV LTD.18ER,STATE BANK OF INDIA18ER,SHREE CEMENT LTD.17ER,ULTRATECH CEMENT LTD.17ER,STATE BANK OF INDIA17ER,SHREE CEMENT LTD.16ER,ULTRATECH CEMENT LTD.16ER,ICICI BANK LTD.16ER,HDFC BANK LTD16ER,COAL INDIA LTD.15ER,ICICI BANK LTD.15ER,ULTRATECH CEMENT LTD.14ER,KOTAK MAHINDRA BANK LTD.14ER,meanER
January-2018,-8.16,1.05,,,,,,,,,,,,-3.56
February-2018,5.11,-14.07,,,,,,,,,,,,-4.48
March-2018,2.41,-6.94,,,,,,,,,,,,-2.26
April-2018,5.87,-1.52,,,,,,,,,,,,2.17
May-2018,10.32,9.3,,,,,,,,,,,,9.81
June-2018,-3.8,-3.68,,,,,,,,,,,,-3.74
July-2018,20.06,13.15,,,,,,,,,,,,16.6
August-2018,-3.31,5.27,,,,,,,,,,,,0.98
September-2018,-11.34,-14.2,,,,,,,,,,,,-12.77
October-2018,-9.79,5.85,,,,,,,,,,,,-1.97
November-2018,11.19,1.37,,,,,,,,,,,,6.28
December-2018,7.89,3.97,,,,,,,,,,,,5.93
January-2017,,,5.13,13.8,4.1,,,,,,,,,7.68
February-2017,,,3.94,2.13,3.54,,,,,,,,,3.2
March-2017,,,5.78,5.77,8.69,,,,,,,,,6.75
April-2017,,,13.18,6.25,-1.08,,,,,,,,,6.12
May-2017,,,-6.55,-0.99,-0.31,,,,,,,,,-2.62
June-2017,,,-5.87,-5.57,-5.18,,,,,,,,,-5.54
July-2017,,,10.0,2.44,14.24,,,,,,,,,8.89
August-2017,,,-5.6,-1.51,-11.26,,,,,,,,,-6.12
September-2017,,,5.54,-3.64,-8.51,,,,,,,,,-2.2
October-2017,,,2.18,14.24,20.51,,,,,,,,,12.31
November-2017,,,-9.24,-4.32,4.79,,,,,,,,,-2.92
December-2017,,,4.74,2.61,-3.42,,,,,,,,,1.31
January-2016,,,,,,-8.71,1.47,-11.99,-3.12,,,,,-5.59
February-2016,,,,,,-3.78,-2.09,-17.43,-7.28,,,,,-7.64
March-2016,,,,,,23.25,16.62,24.5,10.14,,,,,18.63
April-2016,,,,,,2.61,-2.0,0.02,5.81,,,,,1.61
May-2016,,,,,,3.56,2.12,3.63,4.23,,,,,3.38
June-2016,,,,,,10.19,5.65,-2.04,-0.46,,,,,3.34
July-2016,,,,,,10.76,8.61,9.43,6.01,,,,,8.7
August-2016,,,,,,6.15,8.73,-1.96,3.55,,,,,4.12
September-2016,,,,,,-0.51,-4.25,-2.1,-1.48,,,,,-2.08
October-2016,,,,,,-0.59,2.94,9.79,-1.42,,,,,2.68
November-2016,,,,,,-7.95,-9.5,-4.33,-4.32,,,,,-6.52
December-2016,,,,,,-5.42,-9.69,-3.66,0.38,,,,,-4.6
January-2015,,,,,,,,,,-5.97,2.31,,,-1.83
February-2015,,,,,,,,,,9.15,-4.32,,,2.42
March-2015,,,,,,,,,,-7.99,-8.75,,,-8.37
April-2015,,,,,,,,,,0.17,5.06,,,2.62
May-2015,,,,,,,,,,7.8,-4.21,,,1.8
June-2015,,,,,,,,,,7.6,-2.93,,,2.34
July-2015,,,,,,,,,,4.33,-1.79,,,1.27
August-2015,,,,,,,,,,-16.61,-8.07,,,-12.34
September-2015,,,,,,,,,,-10.88,-2.82,,,-6.85
October-2015,,,,,,,,,,-2.02,2.5,,,0.24
November-2015,,,,,,,,,,3.38,-1.05,,,1.16
December-2015,,,,,,,,,,-0.6,-4.62,,,-2.61
February-2014,,,,,,,,,,,,7.77,4.0,5.88
March-2014,,,,,,,,,,,,18.97,13.88,16.42
April-2014,,,,,,,,,,,,-7.36,3.25,-2.06
May-2014,,,,,,,,,,,,17.6,8.0,12.8
June-2014,,,,,,,,,,,,9.0,2.03,5.52
July-2014,,,,,,,,,,,,-6.83,7.74,0.46
August-2014,,,,,,,,,,,,5.16,8.64,6.9
September-2014,,,,,,,,,,,,3.07,-2.18,0.44
October-2014,,,,,,,,,,,,-2.81,10.42,3.8
November-2014,,,,,,,,,,,,-2.4,7.43,2.51
December-2014,,,,,,,,,,,,7.28,5.07,6.18
