Month,COAL INDIA LTD.18ER,TATA STEEL LTD.18ER,JSW STEEL LTD.18ER,INDUSIND BANK LTD.18ER,NTPC LTD.17ER,COAL INDIA LTD.17ER,TATA STEEL LTD.17ER,JSW STEEL LTD.17ER,NTPC LTD.16ER,COAL INDIA LTD.16ER,TATA STEEL LTD.16ER,JSW STEEL LTD.16ER,COAL INDIA LTD.15ER,TATA STEEL LTD.15ER,JSW STEEL LTD.15ER,COAL INDIA LTD.14ER,TATA STEEL LTD.14ER,JSW STEEL LTD.14ER,meanER
January-2018,13.54,-3.74,7.58,6.3,,,,,,,,,,,,,,,5.92
February-2018,3.67,-4.73,7.57,-4.24,,,,,,,,,,,,,,,0.57
March-2018,-8.42,-15.01,-7.71,6.89,,,,,,,,,,,,,,,-6.06
April-2018,0.12,4.17,12.88,5.71,,,,,,,,,,,,,,,5.72
May-2018,3.75,-3.24,2.21,2.62,,,,,,,,,,,,,,,1.34
June-2018,-10.22,-1.32,-1.73,-0.45,,,,,,,,,,,,,,,-3.43
July-2018,-1.02,-0.88,1.01,2.84,,,,,,,,,,,,,,,0.49
August-2018,9.32,6.89,20.19,-4.54,,,,,,,,,,,,,,,7.97
September-2018,-6.73,-3.54,-4.07,-11.39,,,,,,,,,,,,,,,-6.43
October-2018,-0.26,-4.82,-11.02,-15.57,,,,,,,,,,,,,,,-7.92
November-2018,-8.21,-4.01,-7.06,14.54,,,,,,,,,,,,,,,-1.19
December-2018,-1.45,-1.58,-2.64,-1.99,,,,,,,,,,,,,,,-1.92
January-2017,,,,,4.89,3.3,18.23,-87.79,,,,,,,,,,,-15.34
February-2017,,,,,-5.59,3.84,4.38,-5.9,,,,,,,,,,,-0.82
March-2017,,,,,1.75,-9.01,0.0,0.48,,,,,,,,,,,-1.69
April-2017,,,,,-0.93,-5.45,-7.0,6.08,,,,,,,,,,,-1.82
May-2017,,,,,-2.65,-4.89,12.49,-2.49,,,,,,,,,,,0.62
June-2017,,,,,-1.0,-7.25,7.81,4.74,,,,,,,,,,,1.08
July-2017,,,,,3.57,2.03,4.26,8.93,,,,,,,,,,,4.7
August-2017,,,,,2.8,-4.48,12.41,15.06,,,,,,,,,,,6.45
September-2017,,,,,-0.86,13.7,2.05,-2.51,,,,,,,,,,,3.1
October-2017,,,,,7.92,5.82,8.08,3.83,,,,,,,,,,,6.41
November-2017,,,,,0.22,-3.54,-1.21,-1.3,,,,,,,,,,,-1.46
December-2017,,,,,-2.05,-4.78,5.37,5.97,,,,,,,,,,,1.13
January-2016,,,,,,,,,-2.54,-2.63,-3.66,2.51,,,,,,,-1.58
February-2016,,,,,,,,,-15.82,-2.77,-0.38,6.3,,,,,,,-3.17
March-2016,,,,,,,,,7.6,-6.17,28.26,13.81,,,,,,,10.88
April-2016,,,,,,,,,7.76,-1.68,9.72,7.14,,,,,,,5.74
May-2016,,,,,,,,,3.21,1.58,-4.59,1.4,,,,,,,0.4
June-2016,,,,,,,,,9.18,7.37,-3.75,5.3,,,,,,,4.53
July-2016,,,,,,,,,1.31,4.74,10.21,14.25,,,,,,,7.63
August-2016,,,,,,,,,0.5,1.72,4.43,4.88,,,,,,,2.88
September-2016,,,,,,,,,-6.75,-3.33,1.07,-1.35,,,,,,,-2.59
October-2016,,,,,,,,,1.85,1.07,8.08,-4.16,,,,,,,1.71
November-2016,,,,,,,,,7.87,-5.46,2.55,4.03,,,,,,,2.25
December-2016,,,,,,,,,0.95,-2.66,-5.75,-5.9,,,,,,,-3.34
January-2015,,,,,,,,,,,,,-5.97,-2.23,-6.7,,,,-4.97
February-2015,,,,,,,,,,,,,9.15,-8.91,3.43,,,,1.22
March-2015,,,,,,,,,,,,,-7.99,-10.91,-10.21,,,,-9.7
April-2015,,,,,,,,,,,,,0.17,13.78,2.72,,,,5.56
May-2015,,,,,,,,,,,,,7.8,-8.88,-1.76,,,,-0.95
June-2015,,,,,,,,,,,,,7.6,-7.25,-4.79,,,,-1.48
July-2015,,,,,,,,,,,,,4.33,-18.84,-3.95,,,,-6.15
August-2015,,,,,,,,,,,,,-16.61,-9.0,9.93,,,,-5.23
September-2015,,,,,,,,,,,,,-10.88,-5.84,-3.54,,,,-6.75
October-2015,,,,,,,,,,,,,-2.02,16.45,2.65,,,,5.69
November-2015,,,,,,,,,,,,,3.38,-6.77,-0.81,,,,-1.4
December-2015,,,,,,,,,,,,,-0.6,12.82,14.18,,,,8.8
February-2014,,,,,,,,,,,,,,,,-1.41,-3.4,-4.73,-3.18
March-2014,,,,,,,,,,,,,,,,17.99,14.47,18.48,16.98
April-2014,,,,,,,,,,,,,,,,1.32,1.71,4.56,2.53
May-2014,,,,,,,,,,,,,,,,27.24,18.57,11.95,19.25
June-2014,,,,,,,,,,,,,,,,3.81,11.22,2.11,5.71
July-2014,,,,,,,,,,,,,,,,-4.24,4.75,-4.67,-1.39
August-2014,,,,,,,,,,,,,,,,-3.4,-7.2,5.61,-1.66
September-2014,,,,,,,,,,,,,,,,-4.22,-10.56,-7.08,-7.29
October-2014,,,,,,,,,,,,,,,,8.2,6.54,8.97,7.9
November-2014,,,,,,,,,,,,,,,,-3.95,-3.28,-4.66,-3.96
December-2014,,,,,,,,,,,,,,,,8.17,-15.62,-12.91,-6.79
