Month,BHARTI INFRATEL LTD.18ER,BHARTI AIRTEL LTD.18ER,SUN PHARMACEUTICAL INDUSTRIES LTD.18ER,SBI LIFE INSURANCE COMPANY LTD18ER,HDFC BANK LTD18ER,BHARTI AIRTEL LTD.17ER,MARUTI SUZUKI INDIA LTD.17ER,INFOSYS LTD.17ER,SUN PHARMACEUTICAL INDUSTRIES LTD.17ER,INDUSIND BANK LTD.17ER,HDFC BANK LTD17ER,NESTLE INDIA LTD.16ER,BHARTI AIRTEL LTD.16ER,MARUTI SUZUKI INDIA LTD.16ER,WIPRO LTD.16ER,SUN PHARMACEUTICAL INDUSTRIES LTD.16ER,BAJAJ FINSERV LTD.16ER,HDFC BANK LTD16ER,NESTLE INDIA LTD.15ER,BHARTI AIRTEL LTD.15ER,MARUTI SUZUKI INDIA LTD.15ER,INFOSYS LTD.15ER,SUN PHARMACEUTICAL INDUSTRIES LTD.15ER,HDFC BANK LTD15ER,NESTLE INDIA LTD.14ER,BHARTI AIRTEL LTD.14ER,MARUTI SUZUKI INDIA LTD.14ER,INFOSYS LTD.14ER,MAHINDRA & MAHINDRA LTD.14ER,LARSEN & TOUBRO LTD.14ER,HDFC BANK LTD14ER,meanER
January-2018,-7.06,-16.95,1.5,-4.91,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.07
February-2018,-1.1,-2.8,-7.59,4.97,-6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.53
March-2018,-3.14,-6.66,-7.46,-2.72,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.91
April-2018,-6.75,2.67,6.61,10.25,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
May-2018,-4.99,-8.73,-9.09,-7.02,9.85,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0
June-2018,1.17,1.93,16.74,-2.7,-1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16
July-2018,-5.08,2.55,1.09,2.45,3.46,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89
August-2018,0.47,-1.88,15.1,-2.53,-5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14
September-2018,-8.82,-11.76,-4.42,-24.08,-2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.36
October-2018,2.58,-13.63,-7.09,9.99,-4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.57
November-2018,-4.59,7.33,-15.0,2.16,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
December-2018,1.23,-0.21,-12.52,4.22,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.41
January-2017,,,,,,13.93,10.77,-8.05,0.29,13.1,6.87,,,,,,,,,,,,,,,,,,,,,6.15
February-2017,,,,,,4.96,0.45,8.93,7.51,4.9,7.95,,,,,,,,,,,,,,,,,,,,,5.78
March-2017,,,,,,-4.16,1.71,0.84,1.29,7.27,3.82,,,,,,,,,,,,,,,,,,,,,1.8
