Month,NTPC LTD.18ER,SBI LIFE INSURANCE COMPANY LTD18ER,BHARAT PETROLEUM CORPORATION LTD.18ER,NTPC LTD.17ER,BHARAT PETROLEUM CORPORATION LTD.17ER,NTPC LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.16ER,AXIS BANK LTD.16ER,STATE BANK OF INDIA16ER,NTPC LTD.15ER,BHARAT PETROLEUM CORPORATION LTD.15ER,NTPC LTD.14ER,BHARTI AIRTEL LTD.14ER,BHARAT PETROLEUM CORPORATION LTD.14ER,AXIS BANK LTD.14ER,STATE BANK OF INDIA14ER,meanER
January-2018,-3.92,-4.91,-5.17,,,,,,,,,,,,,,-4.67
February-2018,-4.11,4.97,-12.72,,,,,,,,,,,,,,-3.95
March-2018,3.95,-2.72,-0.33,,,,,,,,,,,,,,0.3
April-2018,1.38,10.25,-9.3,,,,,,,,,,,,,,0.78
May-2018,-2.96,-7.02,4.07,,,,,,,,,,,,,,-1.97
June-2018,-4.49,-2.7,-8.02,,,,,,,,,,,,,,-5.07
July-2018,-2.7,2.45,4.78,,,,,,,,,,,,,,1.51
August-2018,10.12,-2.53,-6.96,,,,,,,,,,,,,,0.21
September-2018,-2.49,-24.08,3.18,,,,,,,,,,,,,,-7.8
October-2018,-4.08,9.99,-26.49,,,,,,,,,,,,,,-6.86
November-2018,-12.42,2.16,17.58,,,,,,,,,,,,,,2.44
December-2018,6.22,4.22,12.31,,,,,,,,,,,,,,7.58
January-2017,,,,4.89,7.35,,,,,,,,,,,,6.12
February-2017,,,,-5.59,-1.7,,,,,,,,,,,,-3.64
March-2017,,,,1.75,-3.08,,,,,,,,,,,,-0.66
April-2017,,,,-0.93,10.83,,,,,,,,,,,,4.95
May-2017,,,,-2.65,3.18,,,,,,,,,,,,0.27
June-2017,,,,-1.0,-13.9,,,,,,,,,,,,-7.45
July-2017,,,,3.57,-26.33,,,,,,,,,,,,-11.38
August-2017,,,,2.8,12.29,,,,,,,,,,,,7.54
September-2017,,,,-0.86,-10.68,,,,,,,,,,,,-5.77
October-2017,,,,7.92,14.72,,,,,,,,,,,,11.32
November-2017,,,,0.22,-7.17,,,,,,,,,,,,-3.48
December-2017,,,,-2.05,3.17,,,,,,,,,,,,0.56
January-2016,,,,,,-2.54,0.13,-9.2,-19.81,,,,,,,,-7.86
February-2016,,,,,,-15.82,-13.94,-8.06,-11.98,,,,,,,,-12.45
March-2016,,,,,,7.6,17.12,18.47,22.66,,,,,,,,16.46
April-2016,,,,,,7.76,8.56,6.23,-2.75,,,,,,,,4.95
May-2016,,,,,,3.21,0.26,9.18,8.41,,,,,,,,5.26
June-2016,,,,,,9.18,9.02,3.46,6.74,,,,,,,,7.1
July-2016,,,,,,1.31,-44.62,2.36,4.76,,,,,,,,-9.05
August-2016,,,,,,0.5,1.65,9.08,10.26,,,,,,,,5.37
September-2016,,,,,,-6.75,1.72,-9.03,-0.73,,,,,,,,-3.7
October-2016,,,,,,1.85,9.43,-9.98,2.85,,,,,,,,1.04
November-2016,,,,,,7.87,-3.94,-3.7,0.21,,,,,,,,0.11
December-2016,,,,,,0.95,-1.48,-4.2,-3.35,,,,,,,,-2.02
January-2015,,,,,,,,,,-0.21,15.55,,,,,,7.67
February-2015,,,,,,,,,,8.31,-0.11,,,,,,4.1
March-2015,,,,,,,,,,-5.39,8.65,,,,,,1.63
April-2015,,,,,,,,,,2.0,-5.46,,,,,,-1.73
May-2015,,,,,,,,,,-9.05,10.95,,,,,,0.95
June-2015,,,,,,,,,,0.8,3.25,,,,,,2.02
July-2015,,,,,,,,,,-2.1,5.49,,,,,,1.7
August-2015,,,,,,,,,,-10.04,-4.52,,,,,,-7.28
September-2015,,,,,,,,,,1.98,-3.84,,,,,,-0.93
October-2015,,,,,,,,,,7.23,2.5,,,,,,4.86
November-2015,,,,,,,,,,-1.28,3.84,,,,,,1.28
December-2015,,,,,,,,,,11.37,-1.21,,,,,,5.08
February-2014,,,,,,,,,,,,-10.92,-8.77,3.86,13.07,0.4,-0.47
March-2014,,,,,,,,,,,,6.53,10.92,21.89,15.37,25.24,15.99
April-2014,,,,,,,,,,,,-3.08,2.74,-1.37,4.02,8.37,2.14
May-2014,,,,,,,,,,,,37.51,4.99,14.88,20.86,22.27,20.1
June-2014,,,,,,,,,,,,-2.47,-2.06,14.92,4.64,5.67,4.14
July-2014,,,,,,,,,,,,-6.99,10.6,-3.1,-79.61,-9.16,-17.65
August-2014,,,,,,,,,,,,-5.03,-0.78,19.56,1.39,0.85,3.2
September-2014,,,,,,,,,,,,0.69,9.35,-5.88,-4.91,-0.74,-0.3
October-2014,,,,,,,,,,,,8.15,-1.47,10.82,16.13,10.62,8.85
November-2014,,,,,,,,,,,,-4.9,-4.1,2.99,9.64,-88.1,-16.89
December-2014,,,,,,,,,,,,1.05,-7.62,-13.41,4.37,-2.99,-3.72
