Month,NTPC LTD.18ER,BOSCH LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,TITAN COMPANY LIMITED18ER,WIPRO LTD.18ER,INFOSYS LTD.18ER,JSW STEEL LTD.18ER,HDFC LIFE INSURANCE COMPANY LTD18ER,MAHINDRA & MAHINDRA LTD.18ER,ASIAN PAINTS LTD.18ER,LARSEN & TOUBRO LTD.18ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.18ER,HINDUSTAN ZINC LTD.17ER,HCL TECHNOLOGIES LTD.17ER,BOSCH LTD.17ER,TITAN COMPANY LIMITED17ER,WIPRO LTD.17ER,JSW STEEL LTD.17ER,BAJAJ AUTO LTD.17ER,ASIAN PAINTS LTD.17ER,LARSEN & TOUBRO LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,HINDUSTAN UNILEVER LTD.17ER,HCL TECHNOLOGIES LTD.16ER,BOSCH LTD.16ER,TITAN COMPANY LIMITED16ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16ER,JSW STEEL LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER,BAJAJ FINSERV LTD.16ER,ASIAN PAINTS LTD.16ER,LARSEN & TOUBRO LTD.16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,HINDUSTAN UNILEVER LTD.16ER,BOSCH LTD.15ER,TITAN COMPANY LIMITED15ER,JSW STEEL LTD.15ER,INDUSIND BANK LTD.15ER,ASIAN PAINTS LTD.15ER,LARSEN & TOUBRO LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,TATA CONSULTANCY SERVICES LTD.15ER,TITAN COMPANY LIMITED14ER,WIPRO LTD.14ER,SUN PHARMACEUTICAL INDUSTRIES LTD.14ER,JSW STEEL LTD.14ER,ASIAN PAINTS LTD.14ER,HINDUSTAN UNILEVER LTD.14ER,TATA CONSULTANCY SERVICES LTD.14ER,meanER
January-2018,-3.92,-3.78,-0.92,1.52,-2.79,10.71,7.58,10.62,1.65,-2.32,12.7,14.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78
February-2018,-4.11,-3.38,6.68,-6.11,-3.89,2.05,7.57,7.93,-4.55,-1.08,-6.88,-7.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.08
March-2018,3.95,-2.96,-0.27,15.35,-3.88,-3.39,-7.71,-1.62,1.57,0.17,-0.55,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1
April-2018,1.38,6.98,10.77,4.23,-0.96,5.73,12.88,14.43,17.89,7.09,6.76,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54
May-2018,-2.96,-5.8,7.7,-8.12,-6.04,2.71,2.21,-5.18,5.83,8.79,-2.36,-2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.52
June-2018,-4.49,-4.31,4.48,-2.5,-0.19,6.08,-1.73,-7.39,-2.89,-3.18,-7.04,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.57
July-2018,-2.7,6.92,5.38,3.6,5.89,4.46,1.01,9.97,4.14,14.57,2.46,4.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02
August-2018,10.12,17.63,3.11,-2.17,8.98,5.49,20.19,-7.83,3.36,-5.33,5.11,-3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.62
September-2018,-2.49,-9.9,-13.85,-9.57,7.48,-49.45,-4.07,-15.11,-10.83,-5.62,-7.48,-9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.83
October-2018,-4.08,0.18,-2.87,4.79,2.25,-5.72,-11.02,-5.3,-11.31,-5.16,2.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.91
November-2018,-12.42,-4.78,-43.93,9.67,-2.01,-2.88,-7.06,6.69,3.52,9.59,10.11,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.78
December-2018,6.22,3.8,-1.29,0.46,1.66,-1.0,-2.64,-2.17,1.71,2.14,0.62,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74
January-2017,,,,,,,,,,,,,16.83,-2.24,5.44,11.37,-3.57,-87.79,7.74,8.91,7.07,8.23,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.23
February-2017,,,,,,,,,,,,,3.22,3.86,-2.5,20.36,6.87,-5.9,-2.8,5.53,1.77,0.18,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
March-2017,,,,,,,,,,,,,-6.23,3.92,5.52,5.65,5.5,0.48,1.79,4.56,7.3,9.76,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95
April-2017,,,,,,,,,,,,,-6.92,-6.96,0.66,2.16,-4.12,6.08,2.17,4.52,10.8,2.31,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22
May-2017,,,,,,,,,,,,,-10.69,6.52,1.63,0.73,8.71,-2.49,-0.85,2.95,0.67,2.15,14.13,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13
June-2017,,,,,,,,,,,,,9.48,-1.7,-0.0,10.3,-51.83,4.74,-1.88,-4.2,-4.09,2.94,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.17
July-2017,,,,,,,,,,,,,7.25,4.49,3.14,3.74,11.69,8.93,0.61,5.01,-29.37,10.51,6.63,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
August-2017,,,,,,,,,,,,,4.68,-3.02,-8.33,13.51,3.48,15.06,0.03,0.75,-4.71,-0.6,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
September-2017,,,,,,,,,,,,,0.24,1.46,-6.88,-5.5,-6.05,-2.51,10.67,-4.37,0.46,-1.96,-3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.63
October-2017,,,,,,,,,,,,,6.64,-2.17,2.45,8.86,4.64,3.83,4.89,5.7,6.96,-1.92,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1
November-2017,,,,,,,,,,,,,-5.01,-0.89,-3.29,29.13,-0.75,-1.3,1.59,-2.79,-0.31,-1.73,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
December-2017,,,,,,,,,,,,,3.12,5.04,-1.1,4.51,7.4,5.97,0.35,0.88,3.3,1.94,7.41,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53
January-2016,,,,,,,,,,,,,,,,,,,,,,,,1.23,-6.57,4.96,-18.38,2.51,-3.06,-5.94,-1.7,-13.6,-6.74,-5.27,,,,,,,,,,,,,,,,-4.78
February-2016,,,,,,,,,,,,,,,,,,,,,,,,-6.19,-3.81,-13.07,-7.8,6.3,-0.48,-13.83,-2.34,-2.08,-9.85,1.58,,,,,,,,,,,,,,,,-4.69
