Month,DABUR INDIA LTD.18ER,NTPC LTD.18ER,HCL TECHNOLOGIES LTD.18ER,HINDUSTAN UNILEVER LTD.18ER,BHARTI INFRATEL LTD.17ER,DABUR INDIA LTD.17ER,POWER GRID CORPORATION OF INDIA LTD.17ER,NTPC LTD.17ER,HCL TECHNOLOGIES LTD.17ER,HDFC BANK LTD17ER,BHARTI INFRATEL LTD.16ER,DABUR INDIA LTD.16ER,HCL TECHNOLOGIES LTD.16ER,BHARTI INFRATEL LTD.15ER,DABUR INDIA LTD.15ER,NTPC LTD.15ER,HCL TECHNOLOGIES LTD.15ER,NTPC LTD.14ER,HCL TECHNOLOGIES LTD.14ER,meanER
January-2018,1.65,-3.92,10.67,0.11,,,,,,,,,,,,,,,,2.13
February-2018,-8.27,-4.11,-4.6,-3.89,,,,,,,,,,,,,,,,-5.22
March-2018,0.6,3.95,3.11,1.49,,,,,,,,,,,,,,,,2.29
April-2018,13.06,1.38,8.45,12.96,,,,,,,,,,,,,,,,8.96
May-2018,3.8,-2.96,-13.39,6.93,,,,,,,,,,,,,,,,-1.41
June-2018,1.86,-4.49,1.79,1.75,,,,,,,,,,,,,,,,0.23
July-2018,7.51,-2.7,4.09,5.47,,,,,,,,,,,,,,,,3.59
August-2018,13.98,10.12,8.46,2.83,,,,,,,,,,,,,,,,8.85
September-2018,-10.73,-2.49,3.98,-9.71,,,,,,,,,,,,,,,,-4.74
October-2018,-9.87,-4.08,-3.43,0.63,,,,,,,,,,,,,,,,-4.19
November-2018,6.54,-12.42,-3.46,8.39,,,,,,,,,,,,,,,,-0.24
December-2018,4.97,6.22,-5.11,3.68,,,,,,,,,,,,,,,,2.44
January-2017,,,,,-14.55,-0.29,12.59,4.89,-2.24,6.87,,,,,,,,,,1.21
February-2017,,,,,-3.1,-0.14,-7.04,-5.59,3.86,7.95,,,,,,,,,,-0.68
March-2017,,,,,14.37,0.47,2.71,1.75,3.92,3.82,,,,,,,,,,4.51
April-2017,,,,,9.02,3.39,5.27,-0.93,-6.96,6.92,,,,,,,,,,2.78
May-2017,,,,,3.66,-2.43,0.1,-2.65,6.52,5.91,,,,,,,,,,1.85
June-2017,,,,,1.82,4.49,1.32,-1.0,-1.7,1.16,,,,,,,,,,1.02
July-2017,,,,,7.26,6.14,5.94,3.57,4.49,7.93,,,,,,,,,,5.89
August-2017,,,,,-5.96,1.61,-2.11,2.8,-3.02,-0.47,,,,,,,,,,-1.19
September-2017,,,,,5.43,-3.19,-3.53,-0.86,1.46,1.58,,,,,,,,,,0.15
October-2017,,,,,10.97,9.2,1.0,7.92,-2.17,0.32,,,,,,,,,,4.54
November-2017,,,,,-13.3,4.11,-3.2,0.22,-0.89,2.39,,,,,,,,,,-1.78
December-2017,,,,,-1.44,0.52,-2.72,-2.05,5.04,1.16,,,,,,,,,,0.09
January-2016,,,,,,,,,,,-15.79,-9.6,1.23,,,,,,,-8.05
February-2016,,,,,,,,,,,-1.11,-4.9,-6.19,,,,,,,-4.07
March-2016,,,,,,,,,,,7.15,4.77,0.22,,,,,,,4.05
April-2016,,,,,,,,,,,-1.94,10.6,-7.82,,,,,,,0.28
May-2016,,,,,,,,,,,0.25,5.24,-1.41,,,,,,,1.36
June-2016,,,,,,,,,,,-8.21,6.28,-1.26,,,,,,,-1.06
July-2016,,,,,,,,,,,14.6,-1.46,3.0,,,,,,,5.38
August-2016,,,,,,,,,,,-11.22,-4.28,3.55,,,,,,,-3.98
September-2016,,,,,,,,,,,4.02,-6.67,2.64,,,,,,,-0.0
October-2016,,,,,,,,,,,-4.71,7.7,-3.97,,,,,,,-0.33
November-2016,,,,,,,,,,,7.91,-3.03,4.53,,,,,,,3.14
December-2016,,,,,,,,,,,-8.43,-2.22,3.06,,,,,,,-2.53
January-2015,,,,,,,,,,,,,,6.36,9.68,-0.21,12.42,,,7.06
February-2015,,,,,,,,,,,,,,2.7,3.05,8.31,12.62,,,6.67
March-2015,,,,,,,,,,,,,,4.65,0.57,-5.39,-51.51,,,-12.92
April-2015,,,,,,,,,,,,,,4.26,-5.09,2.0,-10.22,,,-2.26
May-2015,,,,,,,,,,,,,,19.43,7.5,-9.05,15.04,,,8.23
June-2015,,,,,,,,,,,,,,-6.82,3.53,0.8,-8.97,,,-2.86
July-2015,,,,,,,,,,,,,,0.34,4.62,-2.1,8.2,,,2.76
August-2015,,,,,,,,,,,,,,-10.8,-6.7,-10.04,-2.51,,,-7.51
September-2015,,,,,,,,,,,,,,-11.21,0.95,1.98,1.09,,,-1.8
October-2015,,,,,,,,,,,,,,9.61,-2.21,7.23,-11.46,,,0.79
November-2015,,,,,,,,,,,,,,-1.07,1.28,-1.28,0.26,,,-0.2
December-2015,,,,,,,,,,,,,,11.35,1.08,11.37,-1.88,,,5.48
February-2014,,,,,,,,,,,,,,,,,,-10.92,7.6,-1.66
March-2014,,,,,,,,,,,,,,,,,,6.53,-11.77,-2.62
April-2014,,,,,,,,,,,,,,,,,,-3.08,0.95,-1.06
May-2014,,,,,,,,,,,,,,,,,,37.51,0.98,19.24
June-2014,,,,,,,,,,,,,,,,,,-2.47,5.59,1.56
July-2014,,,,,,,,,,,,,,,,,,-6.99,3.9,-1.55
August-2014,,,,,,,,,,,,,,,,,,-5.03,4.85,-0.09
September-2014,,,,,,,,,,,,,,,,,,0.69,5.21,2.95
October-2014,,,,,,,,,,,,,,,,,,8.15,-6.42,0.87
November-2014,,,,,,,,,,,,,,,,,,-4.9,3.54,-0.68
December-2014,,,,,,,,,,,,,,,,,,1.05,-3.98,-1.46
