Month,SHREE CEMENT LTD.HQ,COAL INDIA LTD.HQ,ITC LTD.HQ,meanHQ,HCL TECHNOLOGIES LTD.18ER,BRITANNIA INDUSTRIES LTD.18ER,SBI LIFE INSURANCE COMPANY LTD18ER,BAJAJ FINANCE LIMITED18ER,BRITANNIA INDUSTRIES LTD.17ER,POWER GRID CORPORATION OF INDIA LTD.16ER,HCL TECHNOLOGIES LTD.15ER,TATA STEEL LTD.15ER,DABUR INDIA LTD.14ER,meanER
February-2014,5.87,-1.41,0.74,1.73,,,,,,,,,0.55,0.55
March-2014,20.51,17.99,7.77,15.42,,,,,,,,,3.82,3.82
April-2014,0.77,1.32,-3.46,-0.46,,,,,,,,,-0.11,-0.11
May-2014,19.74,27.24,0.22,15.73,,,,,,,,,4.54,4.54
June-2014,6.51,3.81,-4.86,1.82,,,,,,,,,-0.13,-0.13
July-2014,1.57,-4.24,9.63,2.32,,,,,,,,,10.39,10.39
August-2014,6.94,-3.4,-0.29,1.08,,,,,,,,,12.43,12.43
September-2014,6.83,-4.22,4.39,2.33,,,,,,,,,-4.39,-4.39
October-2014,8.28,8.2,-4.18,4.1,,,,,,,,,1.67,1.67
November-2014,-1.44,-3.95,2.18,-1.07,,,,,,,,,6.73,6.73
December-2014,4.88,8.17,1.49,4.85,,,,,,,,,-3.13,-3.13
January-2015,16.41,-5.97,0.05,3.5,,,,,,,12.42,-2.23,,5.1
February-2015,-1.22,9.15,-1.99,1.98,,,,,,,12.62,-8.91,,1.85
March-2015,-0.51,-7.99,-9.91,-6.14,,,,,,,-51.51,-10.91,,-31.21
April-2015,-5.18,0.17,-0.98,-2.0,,,,,,,-10.22,13.78,,1.78
May-2015,7.67,7.8,1.4,5.62,,,,,,,15.04,-8.88,,3.08
June-2015,3.02,7.6,-3.58,2.35,,,,,,,-8.97,-7.25,,-8.11
July-2015,0.56,4.33,3.54,2.81,,,,,,,8.2,-18.84,,-5.32
August-2015,-5.14,-16.61,-0.28,-7.34,,,,,,,-2.51,-9.0,,-5.76
September-2015,9.03,-10.88,1.11,-0.25,,,,,,,1.09,-5.84,,-2.38
October-2015,4.68,-2.02,1.76,1.47,,,,,,,-11.46,16.45,,2.49
November-2015,-9.96,3.38,2.54,-1.35,,,,,,,0.26,-6.77,,-3.26
December-2015,3.36,-0.6,-4.55,-0.6,,,,,,,-1.88,12.82,,5.47
January-2016,-8.71,-2.63,-2.47,-4.6,,,,,,4.53,,,,4.53
February-2016,-3.78,-2.77,-7.42,-4.66,,,,,,-11.86,,,,-11.86
March-2016,23.25,-6.17,10.9,9.33,,,,,,6.92,,,,6.92
April-2016,2.61,-1.68,-0.99,-0.02,,,,,,3.13,,,,3.13
May-2016,3.56,1.58,8.25,4.46,,,,,,4.57,,,,4.57
June-2016,10.19,7.37,4.69,7.42,,,,,,8.63,,,,8.63
July-2016,10.76,4.74,-31.42,-5.31,,,,,,7.95,,,,7.95
August-2016,6.15,1.72,3.01,3.63,,,,,,4.6,,,,4.6
September-2016,-0.51,-3.33,-7.11,-3.65,,,,,,-4.16,,,,-4.16
October-2016,-0.59,1.07,0.14,0.21,,,,,,-0.79,,,,-0.79
November-2016,-7.95,-5.46,-3.72,-5.71,,,,,,9.75,,,,9.75
December-2016,-5.42,-2.66,3.46,-1.54,,,,,,-4.45,,,,-4.45
January-2017,5.13,3.3,7.1,5.18,,,,,8.5,,,,,8.5
February-2017,3.94,3.84,1.59,3.12,,,,,3.26,,,,,3.26
March-2017,5.78,-9.01,6.98,1.25,,,,,4.76,,,,,4.76
April-2017,13.18,-5.45,-0.66,2.36,,,,,7.23,,,,,7.23
May-2017,-6.55,-4.89,11.95,0.17,,,,,-2.6,,,,,-2.6
June-2017,-5.87,-7.25,3.83,-3.1,,,,,4.57,,,,,4.57
July-2017,10.0,2.03,-11.95,0.03,,,,,6.15,,,,,6.15
August-2017,-5.6,-4.48,-1.03,-3.7,,,,,7.41,,,,,7.41
September-2017,5.54,13.7,-8.49,3.58,,,,,3.12,,,,,3.12
October-2017,2.18,5.82,3.04,3.68,,,,,7.03,,,,,7.03
November-2017,-9.24,-3.54,-3.93,-5.57,,,,,2.87,,,,,2.87
December-2017,4.74,-4.78,2.91,0.96,,,,,-1.4,,,,,-1.4
January-2018,-4.58,13.54,3.1,4.02,10.67,-0.92,-4.91,-4.51,,,,,,0.08
February-2018,-3.11,3.67,-2.27,-0.57,-4.6,6.68,4.97,-2.11,,,,,,1.23
March-2018,-2.98,-8.42,-3.47,-4.96,3.11,-0.27,-2.72,7.77,,,,,,1.97
April-2018,4.1,0.12,9.98,4.73,8.45,10.77,10.25,7.7,,,,,,9.29
May-2018,-0.05,3.75,-3.5,0.07,-13.39,7.7,-7.02,10.6,,,,,,-0.53
June-2018,-7.6,-10.22,-2.04,-6.62,1.79,4.48,-2.7,8.96,,,,,,3.13
July-2018,9.69,-1.02,11.71,6.79,4.09,5.38,2.45,17.48,,,,,,7.35
August-2018,11.11,9.32,7.39,9.27,8.46,3.11,-2.53,5.95,,,,,,3.75
September-2018,-11.2,-6.73,-7.03,-8.32,3.98,-13.85,-24.08,-24.19,,,,,,-14.54
October-2018,-17.46,-0.26,-5.7,-7.81,-3.43,-2.87,9.99,9.56,,,,,,3.31
November-2018,18.57,-8.21,2.31,4.22,-3.46,-43.93,2.16,6.47,,,,,,-9.69
December-2018,4.47,-1.45,-1.61,0.47,-5.11,-1.29,4.22,4.46,,,,,,0.57
