Month,BAJAJ FINSERV LTD.15ER,INFOSYS LTD.14ER,meanER
January-2015,9.98,,9.98
February-2015,-2.44,,-2.44
March-2015,-1.25,,-1.25
April-2015,2.77,,2.77
May-2015,6.66,,6.66
June-2015,0.2,,0.2
July-2015,20.95,,20.95
August-2015,-1.54,,-1.54
September-2015,-4.75,,-4.75
October-2015,13.01,,13.01
November-2015,-0.98,,-0.98
December-2015,2.57,,2.57
February-2014,,3.26,3.26
March-2014,,-14.17,-14.17
April-2014,,-3.1,-3.1
May-2014,,-7.42,-7.42
June-2014,,10.37,10.37
July-2014,,3.67,3.67
August-2014,,6.78,6.78
September-2014,,4.28,4.28
October-2014,,8.11,8.11
November-2014,,7.6,7.6
December-2014,,-54.78,-54.78
