Month,WIPRO LTD.16ER,meanER
January-2016,0.25,0.25
February-2016,-7.36,-7.36
March-2016,8.36,8.36
April-2016,-1.71,-1.71
May-2016,-1.35,-1.35
June-2016,2.22,2.22
July-2016,-2.34,-2.34
August-2016,-10.05,-10.05
September-2016,-2.62,-2.62
October-2016,-2.65,-2.65
November-2016,0.02,0.02
December-2016,1.91,1.91
