Month,BOSCH LTD.HQ,BRITANNIA INDUSTRIES LTD.HQ,TITAN COMPANY LIMITEDHQ,WIPRO LTD.HQ,INFOSYS LTD.HQ,meanHQ,SHREE CEMENT LTD.18ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.18ER,VEDANTA LIMITED18ER,JSW STEEL LTD.18ER,BAJAJ FINSERV LTD.18ER,KOTAK MAHINDRA BANK LTD.18ER,NESTLE INDIA LTD.17ER,HCL TECHNOLOGIES LTD.17ER,VEDANTA LIMITED17ER,JSW STEEL LTD.17ER,TECH MAHINDRA LTD.17ER,AVENUE SUPERMARTS LTD17ER,BAJAJ FINSERV LTD.17ER,BAJAJ FINANCE LIMITED17ER,KOTAK MAHINDRA BANK LTD.17ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.17ER,NESTLE INDIA LTD.16ER,VEDANTA LIMITED16ER,JSW STEEL LTD.16ER,BHARAT PETROLEUM CORPORATION LTD.16ER,BAJAJ FINSERV LTD.16ER,BAJAJ FINANCE LIMITED16ER,AXIS BANK LTD.16ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.16ER,NESTLE INDIA LTD.15ER,VEDANTA LIMITED15ER,JSW STEEL LTD.15ER,TECH MAHINDRA LTD.15ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.15ER,HINDUSTAN ZINC LTD.14ER,NESTLE INDIA LTD.14ER,VEDANTA LIMITED14ER,JSW STEEL LTD.14ER,meanER
February-2014,4.58,0.47,9.32,3.79,3.26,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.85,-3.86,-5.78,-4.73,-6.06
March-2014,15.93,-4.94,8.36,-9.07,-14.17,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98,3.27,5.83,18.48,9.39
April-2014,-3.22,2.32,-2.93,-3.8,-3.1,-2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,-4.72,-1.52,4.56,-0.36
May-2014,17.17,1.95,21.98,-3.26,-7.42,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.15,3.49,51.0,11.95,22.15
June-2014,9.99,14.45,13.48,7.91,10.37,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11,0.15,4.51,2.11,3.22
July-2014,-1.12,13.63,-3.29,-0.24,3.67,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.12,3.62,-0.6,-4.67,-1.19
August-2014,10.69,8.92,6.42,4.0,6.78,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,17.04,-4.55,5.61,5.12
September-2014,1.32,12.09,12.32,5.47,4.28,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,-0.32,-1.66,-7.08,-2.95
October-2014,-0.8,9.61,-3.54,-5.52,8.11,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,4.31,-6.16,8.97,3.48
November-2014,27.28,7.73,-5.89,3.91,7.6,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.89,-0.18,-9.56,-4.66,-4.82
December-2014,2.66,11.57,3.03,-5.41,-54.78,-8.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,2.47,-7.44,-12.91,-3.41
January-2015,22.42,2.63,12.93,9.48,8.7,11.23,,,,,,,,,,,,,,,,,,,,,,,,,11.43,-5.77,-6.7,11.06,11.51,,,,,4.31
February-2015,8.6,10.87,-2.33,8.73,7.1,6.59,,,,,,,,,,,,,,,,,,,,,,,,,-1.51,7.86,3.43,-0.46,5.57,,,,,2.98
March-2015,-1.91,3.09,-6.78,-4.77,-3.41,-2.76,,,,,,,,,,,,,,,,,,,,,,,,,-0.85,-12.94,-10.21,-78.03,-1.86,,,,,-20.78
April-2015,-11.34,1.61,-2.35,-14.22,-12.37,-7.73,,,,,,,,,,,,,,,,,,,,,,,,,-5.2,10.85,2.72,-0.98,-10.82,,,,,-0.69
May-2015,5.11,16.22,-1.38,4.28,4.12,5.67,,,,,,,,,,,,,,,,,,,,,,,,,4.2,-6.33,-1.76,-11.05,5.65,,,,,-1.86
June-2015,-7.36,8.41,-3.01,-3.11,-51.28,-11.27,,,,,,,,,,,,,,,,,,,,,,,,,-7.46,-11.59,-4.79,-13.75,4.93,,,,,-6.53
July-2015,12.45,14.22,-11.55,4.59,9.41,5.82,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,-25.16,-3.95,10.75,3.29,,,,,-3.02
August-2015,-5.62,-7.2,4.29,0.4,1.59,-1.31,,,,,,,,,,,,,,,,,,,,,,,,,-5.79,-24.24,9.93,-2.64,-11.22,,,,,-6.79
September-2015,-16.58,5.26,-5.8,4.5,5.96,-1.33,,,,,,,,,,,,,,,,,,,,,,,,,6.26,-13.69,-3.54,8.23,2.05,,,,,-0.14
October-2015,5.46,4.68,9.6,-3.99,-2.1,2.73,,,,,,,,,,,,,,,,,,,,,,,,,-2.69,17.51,2.65,-3.43,3.62,,,,,3.53
November-2015,-8.71,-9.39,9.55,-0.1,-4.19,-2.57,,,,,,,,,,,,,,,,,,,,,,,,,-4.97,-9.95,-0.81,-1.02,-3.18,,,,,-3.99
December-2015,-0.04,1.36,-9.24,-2.25,1.48,-1.74,,,,,,,,,,,,,,,,,,,,,,,,,-0.83,0.28,14.18,-2.21,3.73,,,,,3.03
January-2016,-6.57,-9.48,4.96,0.25,5.46,-1.08,,,,,,,,,,,,,,,,,-5.73,-20.6,2.51,0.13,-5.94,-1.74,-9.2,-6.74,,,,,,,,,,-5.91
February-2016,-3.81,2.82,-13.07,-7.36,-6.96,-5.68,,,,,,,,,,,,,,,,,-8.71,-1.19,6.3,-13.94,-13.83,0.32,-8.06,-9.85,,,,,,,,,,-6.12
March-2016,23.89,-3.01,7.1,8.36,12.38,9.74,,,,,,,,,,,,,,,,,15.09,26.89,13.81,17.12,5.79,16.9,18.47,4.14,,,,,,,,,,14.78
April-2016,-5.21,6.79,4.9,-1.71,-0.58,0.84,,,,,,,,,,,,,,,,,-0.44,15.41,7.14,8.56,9.51,-1.4,6.23,-1.52,,,,,,,,,,5.44
May-2016,13.44,-5.29,1.07,-1.35,3.22,2.22,,,,,,,,,,,,,,,,,6.18,4.39,1.4,0.26,-2.25,10.88,9.18,13.79,,,,,,,,,,5.48
June-2016,1.28,1.88,12.67,2.22,-6.33,2.34,,,,,,,,,,,,,,,,,6.39,21.7,5.3,9.02,27.15,5.46,3.46,1.11,,,,,,,,,,9.95
July-2016,10.38,6.28,3.55,-2.34,-8.27,1.92,,,,,,,,,,,,,,,,,10.43,24.89,14.25,-44.62,17.28,29.64,2.36,9.71,,,,,,,,,,7.99
August-2016,-3.15,17.88,-0.21,-10.05,-3.46,0.2,,,,,,,,,,,,,,,,,-8.46,3.31,4.88,1.65,9.07,6.4,9.08,2.31,,,,,,,,,,3.53
September-2016,-6.07,-2.52,-5.38,-2.62,0.13,-3.29,,,,,,,,,,,,,,,,,-2.0,1.18,-1.35,1.72,3.62,-90.41,-9.03,-0.93,,,,,,,,,,-12.15
October-2016,-3.7,-1.61,-3.49,-2.65,-3.43,-2.98,,,,,,,,,,,,,,,,,8.0,17.67,-4.16,9.43,10.87,2.27,-9.98,-0.88,,,,,,,,,,4.15
