Month,BAJAJ FINSERV LTD.18ER,STATE BANK OF INDIA18ER,ULTRATECH CEMENT LTD.17ER,STATE BANK OF INDIA17ER,SHREE CEMENT LTD.17ER,ULTRATECH CEMENT LTD.16ER,HDFC BANK LTD16ER,SHREE CEMENT LTD.16ER,COAL INDIA LTD.15ER,ICICI BANK LTD.15ER,SHREE CEMENT LTD.15ER,ULTRATECH CEMENT LTD.14ER,KOTAK MAHINDRA BANK LTD.14ER,SHREE CEMENT LTD.14ER,meanER
January-2018,8.16,-1.05,,,,,,,,,,,,,3.56
February-2018,-5.11,14.07,,,,,,,,,,,,,4.48
March-2018,-2.41,6.94,,,,,,,,,,,,,2.26
April-2018,-5.87,1.52,,,,,,,,,,,,,-2.17
May-2018,-10.32,-9.3,,,,,,,,,,,,,-9.81
June-2018,3.8,3.68,,,,,,,,,,,,,3.74
July-2018,-20.06,-13.15,,,,,,,,,,,,,-16.6
August-2018,3.31,-5.27,,,,,,,,,,,,,-0.98
September-2018,11.34,14.2,,,,,,,,,,,,,12.77
October-2018,9.79,-5.85,,,,,,,,,,,,,1.97
November-2018,-11.19,-1.37,,,,,,,,,,,,,-6.28
December-2018,-7.89,-3.97,,,,,,,,,,,,,-5.93
January-2017,,,-13.8,-4.1,-5.13,,,,,,,,,,-7.68
February-2017,,,-2.13,-3.54,-3.94,,,,,,,,,,-3.2
March-2017,,,-5.77,-8.69,-5.78,,,,,,,,,,-6.75
April-2017,,,-6.25,1.08,-13.18,,,,,,,,,,-6.12
May-2017,,,0.99,0.31,6.55,,,,,,,,,,2.62
June-2017,,,5.57,5.18,5.87,,,,,,,,,,5.54
July-2017,,,-2.44,-14.24,-10.0,,,,,,,,,,-8.89
August-2017,,,1.51,11.26,5.6,,,,,,,,,,6.12
September-2017,,,3.64,8.51,-5.54,,,,,,,,,,2.2
October-2017,,,-14.24,-20.51,-2.18,,,,,,,,,,-12.31
November-2017,,,4.32,-4.79,9.24,,,,,,,,,,2.92
December-2017,,,-2.61,3.42,-4.74,,,,,,,,,,-1.31
January-2016,,,,,,-1.47,3.12,8.71,,,,,,,3.45
February-2016,,,,,,2.09,7.28,3.78,,,,,,,4.38
March-2016,,,,,,-16.62,-10.14,-23.25,,,,,,,-16.67
April-2016,,,,,,2.0,-5.81,-2.61,,,,,,,-2.14
May-2016,,,,,,-2.12,-4.23,-3.56,,,,,,,-3.3
June-2016,,,,,,-5.65,0.46,-10.19,,,,,,,-5.13
July-2016,,,,,,-8.61,-6.01,-10.76,,,,,,,-8.46
August-2016,,,,,,-8.73,-3.55,-6.15,,,,,,,-6.14
September-2016,,,,,,4.25,1.48,0.51,,,,,,,2.08
October-2016,,,,,,-2.94,1.42,0.59,,,,,,,-0.31
November-2016,,,,,,9.5,4.32,7.95,,,,,,,7.26
December-2016,,,,,,9.69,-0.38,5.42,,,,,,,4.91
January-2015,,,,,,,,,5.97,-2.31,-16.41,,,,-4.25
February-2015,,,,,,,,,-9.15,4.32,1.22,,,,-1.2
March-2015,,,,,,,,,7.99,8.75,0.51,,,,5.75
April-2015,,,,,,,,,-0.17,-5.06,5.18,,,,-0.02
May-2015,,,,,,,,,-7.8,4.21,-7.67,,,,-3.75
June-2015,,,,,,,,,-7.6,2.93,-3.02,,,,-2.56
July-2015,,,,,,,,,-4.33,1.79,-0.56,,,,-1.03
August-2015,,,,,,,,,16.61,8.07,5.14,,,,9.94
September-2015,,,,,,,,,10.88,2.82,-9.03,,,,1.56
October-2015,,,,,,,,,2.02,-2.5,-4.68,,,,-1.72
November-2015,,,,,,,,,-3.38,1.05,9.96,,,,2.54
December-2015,,,,,,,,,0.6,4.62,-3.36,,,,0.62
February-2014,,,,,,,,,,,,-7.77,-4.0,-5.87,-5.88
March-2014,,,,,,,,,,,,-18.97,-13.88,-20.51,-17.79
April-2014,,,,,,,,,,,,7.36,-3.25,-0.77,1.11
May-2014,,,,,,,,,,,,-17.6,-8.0,-19.74,-15.11
June-2014,,,,,,,,,,,,-9.0,-2.03,-6.51,-5.85
July-2014,,,,,,,,,,,,6.83,-7.74,-1.57,-0.83
August-2014,,,,,,,,,,,,-5.16,-8.64,-6.94,-6.91
September-2014,,,,,,,,,,,,-3.07,2.18,-6.83,-2.57
