Month,SBI LIFE INSURANCE COMPANY LTD18ER,HDFC BANK LTD18ER,SUN PHARMACEUTICAL INDUSTRIES LTD.18ER,BHARTI INFRATEL LTD.18ER,BHARTI AIRTEL LTD.18ER,INFOSYS LTD.17ER,INDUSIND BANK LTD.17ER,HDFC BANK LTD17ER,SUN PHARMACEUTICAL INDUSTRIES LTD.17ER,BHARTI AIRTEL LTD.17ER,MARUTI SUZUKI INDIA LTD.17ER,WIPRO LTD.16ER,BAJAJ FINSERV LTD.16ER,HDFC BANK LTD16ER,SUN PHARMACEUTICAL INDUSTRIES LTD.16ER,NESTLE INDIA LTD.16ER,BHARTI AIRTEL LTD.16ER,MARUTI SUZUKI INDIA LTD.16ER,INFOSYS LTD.15ER,HDFC BANK LTD15ER,SUN PHARMACEUTICAL INDUSTRIES LTD.15ER,AXIS BANK LTD.15ER,NESTLE INDIA LTD.15ER,BHARTI AIRTEL LTD.15ER,MARUTI SUZUKI INDIA LTD.15ER,MAHINDRA & MAHINDRA LTD.14ER,LARSEN & TOUBRO LTD.14ER,HDFC BANK LTD14ER,AXIS BANK LTD.14ER,NESTLE INDIA LTD.14ER,BHARTI AIRTEL LTD.14ER,MARUTI SUZUKI INDIA LTD.14ER,meanER
January-2018,4.91,-7.09,-1.5,7.06,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07
February-2018,-4.97,6.11,7.59,1.1,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53
March-2018,2.72,-0.41,7.46,3.14,6.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.91
April-2018,-10.25,-2.81,-6.61,6.75,-2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.12
May-2018,7.02,-9.85,9.09,4.99,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
June-2018,2.7,1.32,-16.74,-1.17,-1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.16
July-2018,-2.45,-3.46,-1.09,5.08,-2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.89
August-2018,2.53,5.45,-15.1,-0.47,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.14
September-2018,24.08,2.74,4.42,8.82,11.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.36
October-2018,-9.99,4.68,7.09,-2.58,13.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
November-2018,-2.16,-10.74,15.0,4.59,-7.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13
December-2018,-4.22,-0.25,12.52,-1.23,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41
January-2017,,,,,,8.05,-13.1,-6.87,-0.29,-13.93,-10.77,,,,,,,,,,,,,,,,,,,,,,-6.15
February-2017,,,,,,-8.93,-4.9,-7.95,-7.51,-4.96,-0.45,,,,,,,,,,,,,,,,,,,,,,-5.78
March-2017,,,,,,-0.84,-7.27,-3.82,-1.29,4.16,-1.71,,,,,,,,,,,,,,,,,,,,,,-1.8
April-2017,,,,,,9.93,-2.52,-6.92,6.57,-1.33,-8.32,,,,,,,,,,,,,,,,,,,,,,-0.43
May-2017,,,,,,-6.26,-2.39,-5.91,21.97,-4.85,-10.56,,,,,,,,,,,,,,,,,,,,,,-1.33
June-2017,,,,,,4.23,-0.03,-1.16,-10.59,-1.98,-0.04,,,,,,,,,,,,,,,,,,,,,,-1.59
July-2017,,,,,,-8.09,-10.93,-7.93,4.11,-10.19,-6.79,,,,,,,,,,,,,,,,,,,,,,-6.64
August-2017,,,,,,9.49,-0.9,0.47,9.66,-2.41,0.07,,,,,,,,,,,,,,,,,,,,,,2.73
September-2017,,,,,,1.81,-1.36,-1.58,-4.76,9.16,-3.51,,,,,,,,,,,,,,,,,,,,,,-0.04
October-2017,,,,,,-2.55,3.1,-0.32,-9.98,-28.05,-3.06,,,,,,,,,,,,,,,,,,,,,,-6.81
November-2017,,,,,,-5.78,-2.12,-2.39,2.43,0.16,-4.69,,,,,,,,,,,,,,,,,,,,,,-2.06
December-2017,,,,,,-6.6,0.68,-1.16,-5.71,-6.55,-13.12,,,,,,,,,,,,,,,,,,,,,,-5.41
January-2016,,,,,,,,,,,,-0.25,5.94,3.12,-6.47,5.73,14.77,11.22,,,,,,,,,,,,,,,4.87
February-2016,,,,,,,,,,,,7.36,13.83,7.28,2.06,8.71,-9.34,20.86,,,,,,,,,,,,,,,7.25
March-2016,,,,,,,,,,,,-8.36,-5.79,-10.14,4.16,-15.09,-10.78,-14.69,,,,,,,,,,,,,,,-8.67
April-2016,,,,,,,,,,,,1.71,-9.51,-5.81,0.99,0.44,-3.68,-2.04,,,,,,,,,,,,,,,-2.56
May-2016,,,,,,,,,,,,1.35,2.25,-4.23,5.99,-6.18,3.34,-9.83,,,,,,,,,,,,,,,-1.04
June-2016,,,,,,,,,,,,-2.22,-27.15,0.46,-0.12,-6.39,-4.12,-0.41,,,,,,,,,,,,,,,-5.71
July-2016,,,,,,,,,,,,2.34,-17.28,-6.01,-8.66,-10.43,1.12,-13.62,,,,,,,,,,,,,,,-7.51
August-2016,,,,,,,,,,,,10.05,-9.07,-3.55,6.62,8.46,8.34,-6.26,,,,,,,,,,,,,,,2.08
September-2016,,,,,,,,,,,,2.62,-3.62,1.48,4.15,2.0,5.36,-8.44,,,,,,,,,,,,,,,0.51
October-2016,,,,,,,,,,,,2.65,-10.87,1.42,-0.75,-8.0,-1.42,-7.66,,,,,,,,,,,,,,,-3.52
November-2016,,,,,,,,,,,,-0.02,12.42,4.32,5.07,9.88,-1.88,10.77,,,,,,,,,,,,,,,5.79
December-2016,,,,,,,,,,,,-1.91,3.04,-0.38,11.34,3.63,5.9,-1.13,,,,,,,,,,,,,,,2.93
January-2015,,,,,,,,,,,,,,,,,,,-8.7,-13.03,-10.87,-17.26,-11.43,-5.64,-9.52,,,,,,,,-10.92
February-2015,,,,,,,,,,,,,,,,,,,-7.1,0.76,0.54,-4.2,1.51,4.17,0.74,,,,,,,,-0.51
March-2015,,,,,,,,,,,,,,,,,,,3.41,4.21,-12.21,8.64,0.85,-10.27,-2.24,,,,,,,,-1.09
April-2015,,,,,,,,,,,,,,,,,,,12.37,3.29,8.1,-1.33,5.2,3.11,-0.89,,,,,,,,4.26
May-2015,,,,,,,,,,,,,,,,,,,-4.12,-6.26,-2.8,-3.06,-4.2,-11.44,-1.43,,,,,,,,-4.76
June-2015,,,,,,,,,,,,,,,,,,,51.28,-1.56,9.48,4.55,7.46,1.27,-6.27,,,,,,,,9.46
July-2015,,,,,,,,,,,,,,,,,,,-9.41,-4.1,5.89,-2.7,0.04,0.31,-7.65,,,,,,,,-2.52
August-2015,,,,,,,,,,,,,,,,,,,-1.59,7.47,-9.11,11.69,5.79,15.31,3.76,,,,,,,,4.76
September-2015,,,,,,,,,,,,,,,,,,,-5.96,-3.96,3.26,2.2,-6.26,4.65,-12.52,,,,,,,,-2.66
October-2015,,,,,,,,,,,,,,,,,,,2.1,-2.63,-2.37,4.16,2.69,-3.18,5.13,,,,,,,,0.84
November-2015,,,,,,,,,,,,,,,,,,,4.19,1.92,17.81,1.28,4.97,4.09,-2.88,,,,,,,,4.48
December-2015,,,,,,,,,,,,,,,,,,,-1.48,-0.63,-12.22,4.13,0.83,-1.61,-0.84,,,,,,,,-1.69
February-2014,,,,,,,,,,,,,,,,,,,,,,,,,,-9.32,-12.47,-6.14,-13.07,3.86,8.77,3.0,-3.62
March-2014,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74,-14.83,-12.19,-15.37,-3.27,-10.92,-24.28,-11.66
April-2014,,,,,,,,,,,,,,,,,,,,,,,,,,-9.33,-1.8,4.09,-4.02,4.72,-2.74,2.71,-0.91
May-2014,,,,,,,,,,,,,,,,,,,,,,,,,,-14.77,-19.56,-10.56,-20.86,-3.49,-4.99,-18.33,-13.22
June-2014,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,-9.86,-3.43,-4.64,-0.15,2.06,-7.44,-2.39
July-2014,,,,,,,,,,,,,,,,,,,,,,,,,,-4.88,11.61,-1.5,79.61,-3.62,-10.6,-3.53,9.58
August-2014,,,,,,,,,,,,,,,,,,,,,,,,,,-16.86,-1.52,-1.12,-1.39,-17.04,0.78,-10.29,-6.78
September-2014,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,4.55,-3.39,4.91,0.32,-9.35,-10.06,-1.41
