Month,VEDANTA LIMITED18ER,VEDANTA LIMITED17ER,BHARAT PETROLEUM CORPORATION LTD.17ER,NESTLE INDIA LTD.17ER,VEDANTA LIMITED16ER,NESTLE INDIA LTD.16ER,VEDANTA LIMITED15ER,NESTLE INDIA LTD.15ER,VEDANTA LIMITED14ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.14ER,meanER
January-2018,-2.96,,,,,,,,,,-2.96
February-2018,2.96,,,,,,,,,,2.96
March-2018,15.53,,,,,,,,,,15.53
April-2018,-7.26,,,,,,,,,,-7.26
May-2018,16.48,,,,,,,,,,16.48
June-2018,5.44,,,,,,,,,,5.44
July-2018,5.73,,,,,,,,,,5.73
August-2018,-2.23,,,,,,,,,,-2.23
September-2018,-2.0,,,,,,,,,,-2.0
October-2018,8.85,,,,,,,,,,8.85
November-2018,7.31,,,,,,,,,,7.31
December-2018,-3.35,,,,,,,,,,-3.35
January-2017,,-17.04,-7.35,3.11,,,,,,,-7.09
February-2017,,-2.35,1.7,-7.07,,,,,,,-2.57
March-2017,,-6.02,3.08,-6.81,,,,,,,-3.25
April-2017,,11.32,-10.83,-0.32,,,,,,,0.06
May-2017,,1.89,-3.18,0.68,,,,,,,-0.2
June-2017,,-4.21,13.9,-0.99,,,,,,,2.9
July-2017,,-12.29,26.33,-0.4,,,,,,,4.55
August-2017,,-10.19,-12.29,-5.2,,,,,,,-9.23
September-2017,,-1.88,10.68,-1.71,,,,,,,2.36
October-2017,,-5.72,-14.72,0.02,,,,,,,-6.81
November-2017,,10.88,7.17,-5.94,,,,,,,4.04
December-2017,,-11.48,-3.17,-2.55,,,,,,,-5.73
January-2016,,,,,20.6,5.73,,,,,13.16
February-2016,,,,,1.19,8.71,,,,,4.95
March-2016,,,,,-26.89,-15.09,,,,,-20.99
April-2016,,,,,-15.41,0.44,,,,,-7.48
May-2016,,,,,-4.39,-6.18,,,,,-5.28
June-2016,,,,,-21.7,-6.39,,,,,-14.04
July-2016,,,,,-24.89,-10.43,,,,,-17.66
August-2016,,,,,-3.31,8.46,,,,,2.58
September-2016,,,,,-1.18,2.0,,,,,0.41
October-2016,,,,,-17.67,-8.0,,,,,-12.84
November-2016,,,,,-13.48,9.88,,,,,-1.8
December-2016,,,,,5.85,3.63,,,,,4.74
January-2015,,,,,,,5.77,-11.43,,,-2.83
February-2015,,,,,,,-7.86,1.51,,,-3.18
March-2015,,,,,,,12.94,0.85,,,6.9
April-2015,,,,,,,-10.85,5.2,,,-2.82
May-2015,,,,,,,6.33,-4.2,,,1.06
June-2015,,,,,,,11.59,7.46,,,9.52
July-2015,,,,,,,25.16,0.04,,,12.6
August-2015,,,,,,,24.24,5.79,,,15.01
September-2015,,,,,,,13.69,-6.26,,,3.72
October-2015,,,,,,,-17.51,2.69,,,-7.41
November-2015,,,,,,,9.95,4.97,,,7.46
December-2015,,,,,,,-0.28,0.83,,,0.27
February-2014,,,,,,,,,5.78,-14.12,-4.17
March-2014,,,,,,,,,-5.83,-12.11,-8.97
April-2014,,,,,,,,,1.52,-0.43,0.55
May-2014,,,,,,,,,-51.0,-19.94,-35.47
June-2014,,,,,,,,,-4.51,-7.81,-6.16
July-2014,,,,,,,,,0.6,-7.06,-3.23
August-2014,,,,,,,,,4.55,-8.5,-1.98
September-2014,,,,,,,,,1.66,1.73,1.69
