Month,SHREE CEMENT LTD.HQ,HINDUSTAN ZINC LTD.HQ,meanHQ,HERO MOTOCORP LTD.18ER,BHARTI AIRTEL LTD.18ER,MARUTI SUZUKI INDIA LTD.18ER,BOSCH LTD.18ER,ICICI BANK LTD.18ER,VEDANTA LIMITED18ER,BHARAT PETROLEUM CORPORATION LTD.18ER,BAJAJ AUTO LTD.18ER,AVENUE SUPERMARTS LTD18ER,ULTRATECH CEMENT LTD.18ER,BAJAJ FINSERV LTD.18ER,BAJAJ FINANCE LIMITED18ER,HERO MOTOCORP LTD.17ER,NESTLE INDIA LTD.17ER,BHARTI AIRTEL LTD.17ER,BOSCH LTD.17ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.17ER,ICICI BANK LTD.17ER,VEDANTA LIMITED17ER,MAHINDRA & MAHINDRA LTD.17ER,AVENUE SUPERMARTS LTD17ER,ULTRATECH CEMENT LTD.17ER,STATE BANK OF INDIA17ER,BHARTI INFRATEL LTD.16ER,HERO MOTOCORP LTD.16ER,DABUR INDIA LTD.16ER,BHARTI AIRTEL LTD.16ER,BOSCH LTD.16ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.16ER,ICICI BANK LTD.16ER,VEDANTA LIMITED16ER,BAJAJ AUTO LTD.16ER,MAHINDRA & MAHINDRA LTD.16ER,ULTRATECH CEMENT LTD.16ER,BAJAJ FINANCE LIMITED16ER,KOTAK MAHINDRA BANK LTD.16ER,STATE BANK OF INDIA16ER,BHARTI INFRATEL LTD.15ER,HERO MOTOCORP LTD.15ER,DABUR INDIA LTD.15ER,BHARTI AIRTEL LTD.15ER,BOSCH LTD.15ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.15ER,AXIS BANK LTD.15ER,ICICI BANK LTD.15ER,VEDANTA LIMITED15ER,MAHINDRA & MAHINDRA LTD.15ER,ULTRATECH CEMENT LTD.15ER,BAJAJ FINSERV LTD.15ER,BAJAJ FINANCE LIMITED15ER,STATE BANK OF INDIA15ER,HDFC BANK LTD15ER,HERO MOTOCORP LTD.14ER,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.14ER,ICICI BANK LTD.14ER,VEDANTA LIMITED14ER,BAJAJ AUTO LTD.14ER,ULTRATECH CEMENT LTD.14ER,BAJAJ FINSERV LTD.14ER,BAJAJ FINANCE LIMITED14ER,meanER
February-2014,5.87,-9.85,-1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,14.12,5.58,-5.78,2.1,7.77,5.78,2.86,4.02
March-2014,20.51,9.98,15.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.66,12.11,19.33,5.83,6.98,18.97,9.8,14.11,12.85
April-2014,0.77,0.23,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.48,0.43,-0.05,-1.52,-7.93,-7.36,4.75,4.71,-1.31
May-2014,19.74,22.15,20.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.83,19.94,13.95,51.0,2.07,17.6,3.04,7.82,15.28
June-2014,6.51,6.11,6.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.09,7.81,0.0,4.51,18.43,9.0,9.68,-0.98,7.57
July-2014,1.57,-3.12,-0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.19,7.06,3.85,-0.6,-10.16,-6.83,0.84,10.22,0.4
August-2014,6.94,2.38,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,8.5,5.67,-4.55,8.74,5.16,11.32,11.94,5.91
September-2014,6.83,-2.75,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.97,-1.73,-7.79,-1.66,3.95,3.07,7.56,9.81,2.77
October-2014,8.28,6.81,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.73,2.37,13.25,-6.16,11.07,-2.81,-5.53,3.23,2.89
November-2014,-1.44,-4.89,-3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.02,7.95,-9.56,1.17,-2.4,7.8,10.2,2.48
December-2014,4.88,4.25,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.23,9.7,-79.88,-7.44,-7.62,7.28,14.01,12.89,-6.54
