Month,TATA STEEL LTD.18ER,JSW STEEL LTD.18ER,INDUSIND BANK LTD.18ER,COAL INDIA LTD.18ER,TATA STEEL LTD.17ER,JSW STEEL LTD.17ER,COAL INDIA LTD.17ER,NTPC LTD.17ER,TATA STEEL LTD.16ER,JSW STEEL LTD.16ER,COAL INDIA LTD.16ER,NTPC LTD.16ER,TATA STEEL LTD.15ER,JSW STEEL LTD.15ER,COAL INDIA LTD.15ER,TATA STEEL LTD.14ER,JSW STEEL LTD.14ER,COAL INDIA LTD.14ER,meanER
January-2018,3.74,-7.58,-6.3,-13.54,,,,,,,,,,,,,,,-5.92
February-2018,4.73,-7.57,4.24,-3.67,,,,,,,,,,,,,,,-0.57
March-2018,15.01,7.71,-6.89,8.42,,,,,,,,,,,,,,,6.06
April-2018,-4.17,-12.88,-5.71,-0.12,,,,,,,,,,,,,,,-5.72
May-2018,3.24,-2.21,-2.62,-3.75,,,,,,,,,,,,,,,-1.34
June-2018,1.32,1.73,0.45,10.22,,,,,,,,,,,,,,,3.43
July-2018,0.88,-1.01,-2.84,1.02,,,,,,,,,,,,,,,-0.49
August-2018,-6.89,-20.19,4.54,-9.32,,,,,,,,,,,,,,,-7.97
September-2018,3.54,4.07,11.39,6.73,,,,,,,,,,,,,,,6.43
October-2018,4.82,11.02,15.57,0.26,,,,,,,,,,,,,,,7.92
November-2018,4.01,7.06,-14.54,8.21,,,,,,,,,,,,,,,1.19
December-2018,1.58,2.64,1.99,1.45,,,,,,,,,,,,,,,1.92
January-2017,,,,,-18.23,87.79,-3.3,-4.89,,,,,,,,,,,15.34
February-2017,,,,,-4.38,5.9,-3.84,5.59,,,,,,,,,,,0.82
March-2017,,,,,0.0,-0.48,9.01,-1.75,,,,,,,,,,,1.69
April-2017,,,,,7.0,-6.08,5.45,0.93,,,,,,,,,,,1.82
May-2017,,,,,-12.49,2.49,4.89,2.65,,,,,,,,,,,-0.62
June-2017,,,,,-7.81,-4.74,7.25,1.0,,,,,,,,,,,-1.08
July-2017,,,,,-4.26,-8.93,-2.03,-3.57,,,,,,,,,,,-4.7
August-2017,,,,,-12.41,-15.06,4.48,-2.8,,,,,,,,,,,-6.45
September-2017,,,,,-2.05,2.51,-13.7,0.86,,,,,,,,,,,-3.1
October-2017,,,,,-8.08,-3.83,-5.82,-7.92,,,,,,,,,,,-6.41
November-2017,,,,,1.21,1.3,3.54,-0.22,,,,,,,,,,,1.46
December-2017,,,,,-5.37,-5.97,4.78,2.05,,,,,,,,,,,-1.13
January-2016,,,,,,,,,3.66,-2.51,2.63,2.54,,,,,,,1.58
February-2016,,,,,,,,,0.38,-6.3,2.77,15.82,,,,,,,3.17
March-2016,,,,,,,,,-28.26,-13.81,6.17,-7.6,,,,,,,-10.88
April-2016,,,,,,,,,-9.72,-7.14,1.68,-7.76,,,,,,,-5.74
May-2016,,,,,,,,,4.59,-1.4,-1.58,-3.21,,,,,,,-0.4
June-2016,,,,,,,,,3.75,-5.3,-7.37,-9.18,,,,,,,-4.53
July-2016,,,,,,,,,-10.21,-14.25,-4.74,-1.31,,,,,,,-7.63
August-2016,,,,,,,,,-4.43,-4.88,-1.72,-0.5,,,,,,,-2.88
September-2016,,,,,,,,,-1.07,1.35,3.33,6.75,,,,,,,2.59
October-2016,,,,,,,,,-8.08,4.16,-1.07,-1.85,,,,,,,-1.71
November-2016,,,,,,,,,-2.55,-4.03,5.46,-7.87,,,,,,,-2.25
December-2016,,,,,,,,,5.75,5.9,2.66,-0.95,,,,,,,3.34
January-2015,,,,,,,,,,,,,2.23,6.7,5.97,,,,4.97
February-2015,,,,,,,,,,,,,8.91,-3.43,-9.15,,,,-1.22
March-2015,,,,,,,,,,,,,10.91,10.21,7.99,,,,9.7
April-2015,,,,,,,,,,,,,-13.78,-2.72,-0.17,,,,-5.56
May-2015,,,,,,,,,,,,,8.88,1.76,-7.8,,,,0.95
June-2015,,,,,,,,,,,,,7.25,4.79,-7.6,,,,1.48
July-2015,,,,,,,,,,,,,18.84,3.95,-4.33,,,,6.15
August-2015,,,,,,,,,,,,,9.0,-9.93,16.61,,,,5.23
September-2015,,,,,,,,,,,,,5.84,3.54,10.88,,,,6.75
October-2015,,,,,,,,,,,,,-16.45,-2.65,2.02,,,,-5.69
November-2015,,,,,,,,,,,,,6.77,0.81,-3.38,,,,1.4
December-2015,,,,,,,,,,,,,-12.82,-14.18,0.6,,,,-8.8
February-2014,,,,,,,,,,,,,,,,3.4,4.73,1.41,3.18
March-2014,,,,,,,,,,,,,,,,-14.47,-18.48,-17.99,-16.98
April-2014,,,,,,,,,,,,,,,,-1.71,-4.56,-1.32,-2.53
May-2014,,,,,,,,,,,,,,,,-18.57,-11.95,-27.24,-19.25
June-2014,,,,,,,,,,,,,,,,-11.22,-2.11,-3.81,-5.71
July-2014,,,,,,,,,,,,,,,,-4.75,4.67,4.24,1.39
August-2014,,,,,,,,,,,,,,,,7.2,-5.61,3.4,1.66
September-2014,,,,,,,,,,,,,,,,10.56,7.08,4.22,7.29
