Month,GAIL (INDIA) LTD.18ER,ITC LTD.18ER,TECH MAHINDRA LTD.18ER,POWER GRID CORPORATION OF INDIA LTD.17ER,ITC LTD.17ER,GODREJ CONSUMER PRODUCTS LTD.17ER,TECH MAHINDRA LTD.17ER,RELIANCE INDUSTRIES LTD.17ER,ITC LTD.16ER,TECH MAHINDRA LTD.16ER,RELIANCE INDUSTRIES LTD.16ER,ITC LTD.15ER,TECH MAHINDRA LTD.15ER,STATE BANK OF INDIA15ER,TATA CONSULTANCY SERVICES LTD.15ER,ITC LTD.14ER,PIDILITE INDUSTRIES LTD.14ER,TECH MAHINDRA LTD.14ER,meanER
January-2018,-3.8,3.1,21.24,,,,,,,,,,,,,,,,6.85
February-2018,-4.44,-2.27,0.28,,,,,,,,,,,,,,,,-2.14
March-2018,-28.1,-3.47,4.2,,,,,,,,,,,,,,,,-9.12
April-2018,-1.1,9.98,5.21,,,,,,,,,,,,,,,,4.7
May-2018,7.77,-3.5,6.02,,,,,,,,,,,,,,,,3.43
June-2018,-2.88,-2.04,-7.8,,,,,,,,,,,,,,,,-4.24
July-2018,10.16,11.71,3.63,,,,,,,,,,,,,,,,8.5
August-2018,-0.71,7.39,12.39,,,,,,,,,,,,,,,,6.36
September-2018,1.75,-7.03,-2.57,,,,,,,,,,,,,,,,-2.62
October-2018,-1.22,-5.7,-0.11,,,,,,,,,,,,,,,,-2.34
November-2018,-8.1,2.31,-5.19,,,,,,,,,,,,,,,,-3.66
December-2018,4.89,-1.61,2.21,,,,,,,,,,,,,,,,1.83
January-2017,,,,12.59,7.1,4.57,-7.56,-3.4,,,,,,,,,,,2.66
February-2017,,,,-7.04,1.59,4.41,10.65,18.67,,,,,,,,,,,5.66
March-2017,,,,2.71,6.98,1.17,-8.05,6.54,,,,,,,,,,,1.87
April-2017,,,,5.27,-0.66,4.36,-9.28,5.73,,,,,,,,,,,1.08
May-2017,,,,0.1,11.95,3.92,-6.49,-3.89,,,,,,,,,,,1.12
June-2017,,,,1.32,3.83,-46.7,-2.19,2.96,,,,,,,,,,,-8.16
July-2017,,,,5.94,-11.95,7.21,1.02,16.92,,,,,,,,,,,3.83
August-2017,,,,-2.11,-1.03,-10.29,11.11,-1.26,,,,,,,,,,,-0.72
September-2017,,,,-3.53,-8.49,-1.35,6.82,-50.92,,,,,,,,,,,-11.49
October-2017,,,,1.0,3.04,2.04,5.27,20.28,,,,,,,,,,,6.33
November-2017,,,,-3.2,-3.93,2.89,1.65,-1.93,,,,,,,,,,,-0.9
December-2017,,,,-2.72,2.91,3.93,2.97,-0.17,,,,,,,,,,,1.38
January-2016,,,,,,,,,-2.47,-3.84,2.22,,,,,,,,-1.36
February-2016,,,,,,,,,-7.42,-17.25,-6.62,,,,,,,,-10.43
March-2016,,,,,,,,,10.9,14.55,8.14,,,,,,,,11.2
April-2016,,,,,,,,,-0.99,2.47,-6.0,,,,,,,,-1.51
May-2016,,,,,,,,,8.25,10.51,-2.4,,,,,,,,5.45
June-2016,,,,,,,,,4.69,-5.94,1.09,,,,,,,,-0.05
July-2016,,,,,,,,,-31.42,-3.89,4.75,,,,,,,,-10.19
August-2016,,,,,,,,,3.01,-3.7,4.19,,,,,,,,1.17
September-2016,,,,,,,,,-7.11,-10.41,2.28,,,,,,,,-5.08
October-2016,,,,,,,,,0.14,4.67,-2.86,,,,,,,,0.65
November-2016,,,,,,,,,-3.72,10.44,-5.56,,,,,,,,0.39
December-2016,,,,,,,,,3.46,0.68,8.8,,,,,,,,4.31
January-2015,,,,,,,,,,,,0.05,11.06,-0.59,-2.88,,,,1.91
February-2015,,,,,,,,,,,,-1.99,-0.46,-2.71,7.83,,,,0.67
March-2015,,,,,,,,,,,,-9.91,-78.03,-11.47,-4.79,,,,-26.05
April-2015,,,,,,,,,,,,-0.98,-0.98,1.14,-3.16,,,,-1.0
May-2015,,,,,,,,,,,,1.4,-11.05,3.0,5.84,,,,-0.2
June-2015,,,,,,,,,,,,-3.58,-13.75,-5.52,-2.24,,,,-6.27
July-2015,,,,,,,,,,,,3.54,10.75,2.89,-1.65,,,,3.88
August-2015,,,,,,,,,,,,-0.28,-2.64,-8.62,2.2,,,,-2.34
September-2015,,,,,,,,,,,,1.11,8.23,-3.99,0.88,,,,1.56
October-2015,,,,,,,,,,,,1.76,-3.43,-0.02,-3.49,,,,-1.3
November-2015,,,,,,,,,,,,2.54,-1.02,5.59,-5.29,,,,0.45
December-2015,,,,,,,,,,,,-4.55,-2.21,-10.4,3.13,,,,-3.51
February-2014,,,,,,,,,,,,,,,,0.74,2.12,4.45,2.44
March-2014,,,,,,,,,,,,,,,,7.77,6.63,-4.07,3.44
April-2014,,,,,,,,,,,,,,,,-3.46,4.14,2.11,0.93
May-2014,,,,,,,,,,,,,,,,0.22,-4.81,4.52,-0.02
June-2014,,,,,,,,,,,,,,,,-4.86,7.68,12.38,5.07
July-2014,,,,,,,,,,,,,,,,9.63,14.06,-0.1,7.86
August-2014,,,,,,,,,,,,,,,,-0.29,10.23,9.85,6.6
September-2014,,,,,,,,,,,,,,,,4.39,-3.07,5.32,2.21
