Month,TITAN COMPANY LIMITED18ER,TITAN COMPANY LIMITED17ER,SUN PHARMACEUTICAL INDUSTRIES LTD.15ER,BAJAJ FINSERV LTD.15ER,SUN PHARMACEUTICAL INDUSTRIES LTD.14ER,GODREJ CONSUMER PRODUCTS LTD.14ER,BAJAJ FINANCE LIMITED14ER,meanER
January-2018,1.52,,,,,,,1.52
February-2018,-6.11,,,,,,,-6.11
March-2018,15.35,,,,,,,15.35
April-2018,4.23,,,,,,,4.23
May-2018,-8.12,,,,,,,-8.12
June-2018,-2.5,,,,,,,-2.5
July-2018,3.6,,,,,,,3.6
August-2018,-2.17,,,,,,,-2.17
September-2018,-9.57,,,,,,,-9.57
October-2018,4.79,,,,,,,4.79
November-2018,9.67,,,,,,,9.67
December-2018,0.46,,,,,,,0.46
January-2017,,11.37,,,,,,11.37
February-2017,,20.36,,,,,,20.36
March-2017,,5.65,,,,,,5.65
April-2017,,2.16,,,,,,2.16
May-2017,,0.73,,,,,,0.73
June-2017,,10.3,,,,,,10.3
July-2017,,3.74,,,,,,3.74
August-2017,,13.51,,,,,,13.51
September-2017,,-5.5,,,,,,-5.5
October-2017,,8.86,,,,,,8.86
November-2017,,29.13,,,,,,29.13
December-2017,,4.51,,,,,,4.51
January-2015,,,10.87,9.98,,,,10.42
February-2015,,,-0.54,-2.44,,,,-1.49
March-2015,,,12.21,-1.25,,,,5.48
April-2015,,,-8.1,2.77,,,,-2.66
May-2015,,,2.8,6.66,,,,4.73
June-2015,,,-9.48,0.2,,,,-4.64
July-2015,,,-5.89,20.95,,,,7.53
August-2015,,,9.11,-1.54,,,,3.78
September-2015,,,-3.26,-4.75,,,,-4.0
October-2015,,,2.37,13.01,,,,7.69
November-2015,,,-17.81,-0.98,,,,-9.4
December-2015,,,12.22,2.57,,,,7.4
February-2014,,,,,9.27,5.08,2.86,5.74
March-2014,,,,,-10.79,7.91,14.11,3.74
April-2014,,,,,10.15,-6.33,4.71,2.84
May-2014,,,,,-3.82,-2.5,7.82,0.5
June-2014,,,,,12.98,5.97,-0.98,5.99
July-2014,,,,,15.22,2.09,10.22,9.18
August-2014,,,,,8.08,17.16,11.94,12.39
September-2014,,,,,0.32,-0.08,9.81,3.35
