Month,BAJAJ AUTO LTD.18ER,HERO MOTOCORP LTD.18ER,DABUR INDIA LTD.18ER,HINDUSTAN ZINC LTD.18ER,BAJAJ AUTO LTD.17ER,DABUR INDIA LTD.17ER,TITAN COMPANY LIMITED16ER,BAJAJ AUTO LTD.16ER,DABUR INDIA LTD.16ER,HINDUSTAN ZINC LTD.16ER,TITAN COMPANY LIMITED15ER,WIPRO LTD.15ER,BAJAJ AUTO LTD.15ER,HINDUSTAN ZINC LTD.15ER,TITAN COMPANY LIMITED14ER,WIPRO LTD.14ER,BAJAJ AUTO LTD.14ER,HOUSING DEVELOPMENT FINANCE CORP.LTD.14ER,HDFC BANK LTD14ER,RELIANCE INDUSTRIES LTD.14ER,HERO MOTOCORP LTD.14ER,DABUR INDIA LTD.14ER,meanER
January-2018,-0.47,2.5,-1.65,-0.34,,,,,,,,,,,,,,,,,,,0.01
February-2018,9.58,2.47,8.27,-5.13,,,,,,,,,,,,,,,,,,,3.8
March-2018,8.94,1.53,-0.6,7.67,,,,,,,,,,,,,,,,,,,4.38
April-2018,-7.24,-5.31,-13.06,-8.69,,,,,,,,,,,,,,,,,,,-8.57
May-2018,6.64,4.99,-3.8,9.46,,,,,,,,,,,,,,,,,,,4.32
June-2018,-2.14,2.12,-1.86,6.89,,,,,,,,,,,,,,,,,,,1.25
July-2018,3.93,5.13,-7.51,-1.61,,,,,,,,,,,,,,,,,,,-0.01
August-2018,-1.69,1.24,-13.98,-6.76,,,,,,,,,,,,,,,,,,,-5.3
September-2018,2.16,9.87,10.73,2.92,,,,,,,,,,,,,,,,,,,6.42
October-2018,3.56,5.69,9.87,9.02,,,,,,,,,,,,,,,,,,,7.03
November-2018,-5.61,-10.6,-6.54,-0.79,,,,,,,,,,,,,,,,,,,-5.88
December-2018,0.67,-1.55,-4.97,-4.32,,,,,,,,,,,,,,,,,,,-2.54
January-2017,,,,,-7.74,0.29,,,,,,,,,,,,,,,,,-3.72
February-2017,,,,,2.8,0.14,,,,,,,,,,,,,,,,,1.47
March-2017,,,,,-1.79,-0.47,,,,,,,,,,,,,,,,,-1.13
April-2017,,,,,-2.17,-3.39,,,,,,,,,,,,,,,,,-2.78
May-2017,,,,,0.85,2.43,,,,,,,,,,,,,,,,,1.64
June-2017,,,,,1.88,-4.49,,,,,,,,,,,,,,,,,-1.31
July-2017,,,,,-0.61,-6.14,,,,,,,,,,,,,,,,,-3.38
August-2017,,,,,-0.03,-1.61,,,,,,,,,,,,,,,,,-0.82
September-2017,,,,,-10.67,3.19,,,,,,,,,,,,,,,,,-3.74
October-2017,,,,,-4.89,-9.2,,,,,,,,,,,,,,,,,-7.04
November-2017,,,,,-1.59,-4.11,,,,,,,,,,,,,,,,,-2.85
December-2017,,,,,-0.35,-0.52,,,,,,,,,,,,,,,,,-0.44
January-2016,,,,,,,-4.96,7.56,9.6,-9.58,,,,,,,,,,,,,0.65
February-2016,,,,,,,13.07,6.04,4.9,0.28,,,,,,,,,,,,,6.07
March-2016,,,,,,,-7.1,-9.35,-4.77,-14.54,,,,,,,,,,,,,-8.94
April-2016,,,,,,,-4.9,-3.26,-10.6,6.35,,,,,,,,,,,,,-3.1
May-2016,,,,,,,-1.07,-5.41,-5.24,0.58,,,,,,,,,,,,,-2.78
June-2016,,,,,,,-12.67,-2.57,-6.28,-5.24,,,,,,,,,,,,,-6.69
July-2016,,,,,,,-3.55,-0.59,1.46,-13.35,,,,,,,,,,,,,-4.01
August-2016,,,,,,,0.21,-10.32,4.28,-11.26,,,,,,,,,,,,,-4.27
September-2016,,,,,,,5.38,4.99,6.67,-2.87,,,,,,,,,,,,,3.54
October-2016,,,,,,,3.49,-0.05,-7.7,-8.27,,,,,,,,,,,,,-3.13
November-2016,,,,,,,15.66,5.28,3.03,-11.76,,,,,,,,,,,,,3.05
December-2016,,,,,,,-1.15,1.86,2.22,9.5,,,,,,,,,,,,,3.11
January-2015,,,,,,,,,,,-12.93,-9.48,2.01,-2.61,,,,,,,,,-5.75
February-2015,,,,,,,,,,,2.33,-8.73,9.52,-0.77,,,,,,,,,0.59
March-2015,,,,,,,,,,,6.78,4.77,6.68,8.12,,,,,,,,,6.59
April-2015,,,,,,,,,,,2.35,14.22,3.37,-4.6,,,,,,,,,3.84
May-2015,,,,,,,,,,,1.38,-4.28,-18.75,0.12,,,,,,,,,-5.38
June-2015,,,,,,,,,,,3.01,3.11,-9.53,1.24,,,,,,,,,-0.54
July-2015,,,,,,,,,,,11.55,-4.59,0.65,5.99,,,,,,,,,3.4
August-2015,,,,,,,,,,,-4.29,-0.4,10.49,19.14,,,,,,,,,6.24
September-2015,,,,,,,,,,,5.8,-4.5,-2.43,-10.0,,,,,,,,,-2.78
October-2015,,,,,,,,,,,-9.6,3.99,-10.38,-12.39,,,,,,,,,-7.1
November-2015,,,,,,,,,,,-9.55,0.1,2.67,8.44,,,,,,,,,0.41
December-2015,,,,,,,,,,,9.24,2.25,-2.09,-2.02,,,,,,,,,1.85
February-2014,,,,,,,,,,,,,,,-9.32,-3.79,-2.1,-1.28,-6.14,3.8,0.27,-0.55,-2.39
March-2014,,,,,,,,,,,,,,,-8.36,9.07,-6.98,-8.0,-12.19,-16.3,-15.66,-3.82,-7.78
April-2014,,,,,,,,,,,,,,,2.93,3.8,7.93,-1.56,4.09,-0.62,3.48,0.11,2.52
May-2014,,,,,,,,,,,,,,,-21.98,3.26,-2.07,2.33,-10.56,-13.88,-6.83,-4.54,-6.78
June-2014,,,,,,,,,,,,,,,-13.48,-7.91,-18.43,-13.01,-3.43,4.74,-12.09,0.13,-7.94
July-2014,,,,,,,,,,,,,,,3.29,0.24,10.16,-7.74,-1.5,0.86,1.19,-10.39,-0.49
August-2014,,,,,,,,,,,,,,,-6.42,-4.0,-8.74,-0.61,-1.12,0.67,-0.47,-12.43,-4.14
September-2014,,,,,,,,,,,,,,,-12.32,-5.47,-3.95,1.98,-3.39,5.39,-8.97,4.39,-2.79
