Month,SHREE CEMENT LTD.18ER,HCL TECHNOLOGIES LTD.18ER,SHREE CEMENT LTD.17ER,POWER GRID CORPORATION OF INDIA LTD.17ER,BRITANNIA INDUSTRIES LTD.17ER,BAJAJ FINSERV LTD.17ER,SHREE CEMENT LTD.16ER,HERO MOTOCORP LTD.16ER,POWER GRID CORPORATION OF INDIA LTD.16ER,NTPC LTD.16ER,BHARTI AIRTEL LTD.16ER,BRITANNIA INDUSTRIES LTD.16ER,HINDUSTAN UNILEVER LTD.16ER,SHREE CEMENT LTD.15ER,POWER GRID CORPORATION OF INDIA LTD.15ER,NTPC LTD.15ER,BRITANNIA INDUSTRIES LTD.15ER,KOTAK MAHINDRA BANK LTD.15ER,HINDUSTAN UNILEVER LTD.15ER,SHREE CEMENT LTD.14ER,BHARTI INFRATEL LTD.14ER,POWER GRID CORPORATION OF INDIA LTD.14ER,NTPC LTD.14ER,BRITANNIA INDUSTRIES LTD.14ER,WIPRO LTD.14ER,AXIS BANK LTD.14ER,meanER
January-2018,-4.58,10.67,,,,,,,,,,,,,,,,,,,,,,,,,3.04
February-2018,-3.11,-4.6,,,,,,,,,,,,,,,,,,,,,,,,,-3.85
March-2018,-2.98,3.11,,,,,,,,,,,,,,,,,,,,,,,,,0.06
April-2018,4.1,8.45,,,,,,,,,,,,,,,,,,,,,,,,,6.28
May-2018,-0.05,-13.39,,,,,,,,,,,,,,,,,,,,,,,,,-6.72
June-2018,-7.6,1.79,,,,,,,,,,,,,,,,,,,,,,,,,-2.9
July-2018,9.69,4.09,,,,,,,,,,,,,,,,,,,,,,,,,6.89
August-2018,11.11,8.46,,,,,,,,,,,,,,,,,,,,,,,,,9.78
September-2018,-11.2,3.98,,,,,,,,,,,,,,,,,,,,,,,,,-3.61
October-2018,-17.46,-3.43,,,,,,,,,,,,,,,,,,,,,,,,,-10.44
November-2018,18.57,-3.46,,,,,,,,,,,,,,,,,,,,,,,,,7.56
December-2018,4.47,-5.11,,,,,,,,,,,,,,,,,,,,,,,,,-0.32
January-2017,,,5.13,12.59,8.5,11.96,,,,,,,,,,,,,,,,,,,,,9.54
February-2017,,,3.94,-7.04,3.26,22.33,,,,,,,,,,,,,,,,,,,,,5.62
March-2017,,,5.78,2.71,4.76,3.12,,,,,,,,,,,,,,,,,,,,,4.09
April-2017,,,13.18,5.27,7.23,11.76,,,,,,,,,,,,,,,,,,,,,9.36
May-2017,,,-6.55,0.1,-2.6,-8.26,,,,,,,,,,,,,,,,,,,,,-4.33
June-2017,,,-5.87,1.32,4.57,-1.8,,,,,,,,,,,,,,,,,,,,,-0.44
July-2017,,,10.0,5.94,6.15,21.47,,,,,,,,,,,,,,,,,,,,,10.89
August-2017,,,-5.6,-2.11,7.41,10.08,,,,,,,,,,,,,,,,,,,,,2.45
September-2017,,,5.54,-3.53,3.12,-6.49,,,,,,,,,,,,,,,,,,,,,-0.34
October-2017,,,2.18,1.0,7.03,-2.38,,,,,,,,,,,,,,,,,,,,,1.96
November-2017,,,-9.24,-3.2,2.87,3.97,,,,,,,,,,,,,,,,,,,,,-1.4
December-2017,,,4.74,-2.72,-1.4,0.28,,,,,,,,,,,,,,,,,,,,,0.23
January-2016,,,,,,,-8.71,-4.91,4.53,-2.54,-14.77,-9.48,-5.27,,,,,,,,,,,,,,-5.88
February-2016,,,,,,,-3.78,-2.46,-11.86,-15.82,9.34,2.82,1.58,,,,,,,,,,,,,,-2.88
March-2016,,,,,,,23.25,17.75,6.92,7.6,10.78,-3.01,4.78,,,,,,,,,,,,,,9.72
April-2016,,,,,,,2.61,-1.43,3.13,7.76,3.68,6.79,-0.33,,,,,,,,,,,,,,3.17
May-2016,,,,,,,3.56,6.82,4.57,3.21,-3.34,-5.29,-1.93,,,,,,,,,,,,,,1.09
June-2016,,,,,,,10.19,2.64,8.63,9.18,4.12,1.88,5.73,,,,,,,,,,,,,,6.05
July-2016,,,,,,,10.76,0.8,7.95,1.31,-1.12,6.28,2.55,,,,,,,,,,,,,,4.08
August-2016,,,,,,,6.15,10.64,4.6,0.5,-8.34,17.88,-0.53,,,,,,,,,,,,,,4.41
September-2016,,,,,,,-0.51,-3.75,-4.16,-6.75,-5.36,-2.52,-5.33,,,,,,,,,,,,,,-4.05
October-2016,,,,,,,-0.59,-1.75,-0.79,1.85,1.42,-1.61,-3.17,,,,,,,,,,,,,,-0.66
November-2016,,,,,,,-7.95,-5.53,9.75,7.87,1.88,-8.3,0.48,,,,,,,,,,,,,,-0.26
December-2016,,,,,,,-5.42,-3.92,-4.45,0.95,-5.9,-5.12,-2.13,,,,,,,,,,,,,,-3.71
January-2015,,,,,,,,,,,,,,16.41,7.17,-0.21,2.63,4.57,22.82,,,,,,,,8.9
February-2015,,,,,,,,,,,,,,-1.22,6.02,8.31,10.87,5.8,-2.47,,,,,,,,4.55
March-2015,,,,,,,,,,,,,,-0.51,-7.43,-5.39,3.09,-6.03,-4.06,,,,,,,,-3.39
April-2015,,,,,,,,,,,,,,-5.18,-2.0,2.0,1.61,1.58,-2.68,,,,,,,,-0.78
May-2015,,,,,,,,,,,,,,7.67,0.98,-9.05,16.22,4.97,1.21,,,,,,,,3.67
June-2015,,,,,,,,,,,,,,3.02,-3.2,0.8,8.41,-0.89,6.59,,,,,,,,2.45
July-2015,,,,,,,,,,,,,,0.56,1.76,-2.1,14.22,-49.87,0.5,,,,,,,,-5.82
August-2015,,,,,,,,,,,,,,-5.14,-7.7,-10.04,-7.2,-6.43,-6.47,,,,,,,,-7.16
September-2015,,,,,,,,,,,,,,9.03,1.15,1.98,5.26,-0.32,-5.59,,,,,,,,1.92
October-2015,,,,,,,,,,,,,,4.68,-2.57,7.23,4.68,6.13,-1.41,,,,,,,,3.12
November-2015,,,,,,,,,,,,,,-9.96,5.59,-1.28,-9.39,0.52,0.95,,,,,,,,-2.26
December-2015,,,,,,,,,,,,,,3.36,3.86,11.37,1.36,3.81,6.54,,,,,,,,5.05
February-2014,,,,,,,,,,,,,,,,,,,,5.87,4.89,-0.94,-10.92,0.47,3.79,13.07,2.32
March-2014,,,,,,,,,,,,,,,,,,,,20.51,13.01,11.05,6.53,-4.94,-9.07,15.37,7.49
April-2014,,,,,,,,,,,,,,,,,,,,0.77,6.41,0.67,-3.08,2.32,-3.8,4.02,1.04
May-2014,,,,,,,,,,,,,,,,,,,,19.74,6.83,15.13,37.51,1.95,-3.26,20.86,14.11
June-2014,,,,,,,,,,,,,,,,,,,,6.51,10.22,14.29,-2.47,14.45,7.91,4.64,7.94
July-2014,,,,,,,,,,,,,,,,,,,,1.57,0.67,-4.6,-6.99,13.63,-0.24,-79.61,-10.8
August-2014,,,,,,,,,,,,,,,,,,,,6.94,2.34,-2.6,-5.03,8.92,4.0,1.39,2.28
September-2014,,,,,,,,,,,,,,,,,,,,6.83,12.4,4.64,0.69,12.09,5.47,-4.91,5.32
